Date,EU-INSURE
2021-03-03 00:00:00+00:00,0.00834054
2021-03-04 00:00:00+00:00,0.00198438
2021-03-05 00:00:00+00:00,-0.00792708
2021-03-08 00:00:00+00:00,0.02929313
2021-03-09 00:00:00+00:00,0.06015410
2021-03-10 00:00:00+00:00,-0.04045605
2021-03-12 00:00:00+00:00,0.00471774
2021-03-15 00:00:00+00:00,-0.00335527
2021-03-16 00:00:00+00:00,0.00269220
2021-03-17 00:00:00+00:00,-0.00973531
2021-03-18 00:00:00+00:00,0.01593179
2021-03-19 00:00:00+00:00,-0.00633995
2021-03-22 00:00:00+00:00,-0.00873097
2021-03-23 00:00:00+00:00,0.00203210
2021-03-24 00:00:00+00:00,0.00439431
2021-03-25 00:00:00+00:00,0.00235555
2021-03-26 00:00:00+00:00,0.00604377
2021-03-29 00:00:00+00:00,0.00567382
2021-03-30 00:00:00+00:00,0.01692601
2021-03-31 00:00:00+00:00,-0.01044450
2021-04-01 00:00:00+00:00,0.00296784
2021-04-06 00:00:00+00:00,0.00558971
2021-04-07 00:00:00+00:00,0.00621279
2021-04-08 00:00:00+00:00,-0.00845021
2021-04-09 00:00:00+00:00,0.00032740
2021-04-12 00:00:00+00:00,0.00294839
2021-04-13 00:00:00+00:00,-0.00522761
2021-04-14 00:00:00+00:00,-0.00394144
2021-04-15 00:00:00+00:00,-0.00527572
2021-04-16 00:00:00+00:00,0.00762297
2021-04-19 00:00:00+00:00,0.00328892
2021-04-20 00:00:00+00:00,-0.02327938
2021-04-21 00:00:00+00:00,0.00167778
2021-04-22 00:00:00+00:00,-0.00536249
2021-04-23 00:00:00+00:00,0.00202101
2021-04-26 00:00:00+00:00,0.00739703
2021-04-27 00:00:00+00:00,-0.00901243
2021-04-28 00:00:00+00:00,0.01010391
2021-04-29 00:00:00+00:00,-0.00733614
2021-04-30 00:00:00+00:00,0.00100736
2021-05-03 00:00:00+00:00,0.01107341
2021-05-04 00:00:00+00:00,-0.01593138
2021-05-05 00:00:00+00:00,0.01517657
2021-05-06 00:00:00+00:00,0.00830523
2021-05-07 00:00:00+00:00,0.00922528
2021-05-10 00:00:00+00:00,0.00848813
2021-05-11 00:00:00+00:00,-0.02395639
2021-05-12 00:00:00+00:00,0.00895481
2021-05-13 00:00:00+00:00,-0.00493133
2021-05-14 00:00:00+00:00,0.01189269
2021-05-17 00:00:00+00:00,-0.00195914
2021-05-18 00:00:00+00:00,-0.00229024
2021-05-19 00:00:00+00:00,-0.01639386
2021-05-20 00:00:00+00:00,0.00433311
2021-05-21 00:00:00+00:00,0.00829724
2021-05-24 00:00:00+00:00,0.00197471
2021-05-25 00:00:00+00:00,-0.00788478
2021-05-26 00:00:00+00:00,-0.00629167
2021-05-27 00:00:00+00:00,0.01099606
2021-05-28 00:00:00+00:00,0.00593240
2021-05-31 00:00:00+00:00,-0.00819171
2021-06-01 00:00:00+00:00,0.00792823
2021-06-02 00:00:00+00:00,0.00032721
2021-06-03 00:00:00+00:00,0.00163771
2021-06-04 00:00:00+00:00,-0.00196326
2021-06-07 00:00:00+00:00,-0.00000069
2021-06-08 00:00:00+00:00,-0.00327831
2021-06-10 00:00:00+00:00,-0.01545614
2021-06-11 00:00:00+00:00,0.00667925
2021-06-14 00:00:00+00:00,0.00165823
2021-06-15 00:00:00+00:00,0.00629278
2021-06-16 00:00:00+00:00,0.00691111
2021-06-17 00:00:00+00:00,0.00163347
2021-06-18 00:00:00+00:00,-0.02382620
2021-06-21 00:00:00+00:00,0.00467957
2021-06-22 00:00:00+00:00,-0.00399454
2021-06-23 00:00:00+00:00,-0.00868821
2021-06-24 00:00:00+00:00,0.00505414
2021-06-25 00:00:00+00:00,0.00469336
2021-06-28 00:00:00+00:00,-0.00901343
2021-06-29 00:00:00+00:00,-0.00134867
2021-06-30 00:00:00+00:00,-0.01416654
2021-07-01 00:00:00+00:00,0.00855152
2021-07-02 00:00:00+00:00,-0.00000142
2021-07-05 00:00:00+00:00,0.01085340
2021-07-06 00:00:00+00:00,-0.01510200
2021-07-07 00:00:00+00:00,0.00613141
2021-07-08 00:00:00+00:00,-0.02065843
2021-07-09 00:00:00+00:00,0.01901651
2021-07-12 00:00:00+00:00,0.00814240
2021-07-13 00:00:00+00:00,-0.00336729
2021-07-14 00:00:00+00:00,-0.00304093
2021-07-15 00:00:00+00:00,-0.00372762
2021-07-16 00:00:00+00:00,-0.00544160
2021-07-19 00:00:00+00:00,-0.03726624
2021-07-20 00:00:00+00:00,0.01384802
2021-07-21 00:00:00+00:00,0.02346618
2021-07-22 00:00:00+00:00,0.00239429
2021-07-23 00:00:00+00:00,0.00546120
2021-07-26 00:00:00+00:00,0.00475254
2021-07-27 00:00:00+00:00,-0.00439479
