Date,HEATOIL
2000-01-05 00:00:00+00:00,
2000-01-06 00:00:00+00:00,-0.01081047
2000-01-07 00:00:00+00:00,-0.04557129
2000-01-10 00:00:00+00:00,0.00223953
2000-01-11 00:00:00+00:00,0.06438505
2000-01-12 00:00:00+00:00,0.05268669
2000-01-13 00:00:00+00:00,0.01736124
2000-01-14 00:00:00+00:00,0.12799791
2000-01-18 00:00:00+00:00,-0.02203405
2000-01-19 00:00:00+00:00,0.03298867
2000-01-20 00:00:00+00:00,0.05014246
2000-01-21 00:00:00+00:00,-0.02151910
2000-01-24 00:00:00+00:00,-0.05000697
2000-01-25 00:00:00+00:00,0.02298880
2000-01-26 00:00:00+00:00,-0.01542294
2000-01-27 00:00:00+00:00,-0.03729962
2000-01-28 00:00:00+00:00,-0.00775348
2000-01-31 00:00:00+00:00,0.03347453
2000-02-01 00:00:00+00:00,0.06531551
2000-02-02 00:00:00+00:00,-0.04003374
2000-02-03 00:00:00+00:00,0.04614593
2000-02-04 00:00:00+00:00,0.03138128
2000-02-07 00:00:00+00:00,-0.05521192
2000-02-08 00:00:00+00:00,-0.06502067
2000-02-09 00:00:00+00:00,0.04916783
2000-02-10 00:00:00+00:00,0.01171313
2000-02-11 00:00:00+00:00,-0.00377508
2000-02-14 00:00:00+00:00,0.03874374
2000-02-15 00:00:00+00:00,-0.01028356
2000-02-16 00:00:00+00:00,-0.02926736
2000-02-17 00:00:00+00:00,-0.03989998
2000-02-18 00:00:00+00:00,-0.01169571
2000-02-22 00:00:00+00:00,0.00158794
2000-02-23 00:00:00+00:00,0.03088929
2000-02-24 00:00:00+00:00,0.02679713
2000-02-25 00:00:00+00:00,0.03544669
2000-02-28 00:00:00+00:00,-0.00746801
2000-02-29 00:00:00+00:00,0.02350250
2000-03-01 00:00:00+00:00,0.08089910
2000-03-02 00:00:00+00:00,-0.00725335
2000-03-03 00:00:00+00:00,-0.01804492
2000-03-06 00:00:00+00:00,0.02593325
2000-03-07 00:00:00+00:00,0.08750091
2000-03-08 00:00:00+00:00,-0.17447986
2000-03-09 00:00:00+00:00,0.02819169
2000-03-10 00:00:00+00:00,-0.04696675
2000-03-13 00:00:00+00:00,0.01974046
2000-03-14 00:00:00+00:00,-0.04426606
2000-03-15 00:00:00+00:00,-0.05039223
2000-03-16 00:00:00+00:00,0.01362973
2000-03-17 00:00:00+00:00,-0.03855961
2000-03-20 00:00:00+00:00,-0.09752708
2000-03-21 00:00:00+00:00,0.03681389
2000-03-22 00:00:00+00:00,-0.00108115
2000-03-23 00:00:00+00:00,0.00816386
2000-03-24 00:00:00+00:00,0.04116157
2000-03-27 00:00:00+00:00,-0.00831273
2000-03-28 00:00:00+00:00,-0.00665243
2000-03-29 00:00:00+00:00,-0.03463159
2000-03-30 00:00:00+00:00,0.02121035
2000-03-31 00:00:00+00:00,0.02529339
2000-04-03 00:00:00+00:00,-0.03706014
2000-04-04 00:00:00+00:00,-0.07483736
2000-04-05 00:00:00+00:00,0.04994502
2000-04-06 00:00:00+00:00,-0.00638654
2000-04-07 00:00:00+00:00,-0.03563904
2000-04-10 00:00:00+00:00,-0.05578456
2000-04-11 00:00:00+00:00,0.00901528
2000-04-12 00:00:00+00:00,0.11289589
2000-04-13 00:00:00+00:00,0.00295006
2000-04-14 00:00:00+00:00,-0.04000754
2000-04-17 00:00:00+00:00,0.07818404
2000-04-18 00:00:00+00:00,-0.02624125
2000-04-19 00:00:00+00:00,0.10364654
2000-04-20 00:00:00+00:00,-0.01330835
2000-04-24 00:00:00+00:00,0.00227611
2000-04-25 00:00:00+00:00,-0.02978283
2000-04-26 00:00:00+00:00,-0.03030004
2000-04-27 00:00:00+00:00,0.04457444
2000-04-28 00:00:00+00:00,-0.00871733
2000-05-01 00:00:00+00:00,0.01070040
2000-05-02 00:00:00+00:00,0.06741807
2000-05-03 00:00:00+00:00,-0.04615333
2000-05-04 00:00:00+00:00,0.01256535
2000-05-05 00:00:00+00:00,-0.02306079
2000-05-08 00:00:00+00:00,0.06785524
2000-05-09 00:00:00+00:00,0.04950040
2000-05-10 00:00:00+00:00,0.04197388
2000-05-11 00:00:00+00:00,0.09627061
2000-05-12 00:00:00+00:00,-0.00930292
2000-05-15 00:00:00+00:00,0.01425157
2000-05-16 00:00:00+00:00,-0.00938323
2000-05-17 00:00:00+00:00,-0.00472162
2000-05-18 00:00:00+00:00,0.05977294
2000-05-19 00:00:00+00:00,-0.03730711
2000-05-22 00:00:00+00:00,-0.05451228
2000-05-23 00:00:00+00:00,-0.01288135
2000-05-24 00:00:00+00:00,0.07336387
2000-05-25 00:00:00+00:00,0.03137911
2000-05-26 00:00:00+00:00,-0.06768741
2000-05-30 00:00:00+00:00,0.01796966
2000-05-31 00:00:00+00:00,-0.06360607
2000-06-01 00:00:00+00:00,0.09904502
2000-06-02 00:00:00+00:00,-0.01017814
2000-06-05 00:00:00+00:00,-0.02475234
