Date,CLP
2015-06-22 00:00:00+00:00,0.00288289
2015-06-23 00:00:00+00:00,-0.00772405
2015-06-24 00:00:00+00:00,0.00289196
2015-06-25 00:00:00+00:00,0.00751418
2015-06-26 00:00:00+00:00,-0.01395870
2015-06-29 00:00:00+00:00,-0.01092098
2015-06-30 00:00:00+00:00,0.00669653
2015-07-01 00:00:00+00:00,-0.01071047
2015-07-02 00:00:00+00:00,0.01219203
2015-07-06 00:00:00+00:00,-0.01811837
2015-07-07 00:00:00+00:00,-0.02607298
2015-07-08 00:00:00+00:00,-0.00794538
2015-07-09 00:00:00+00:00,0.01366957
2015-07-10 00:00:00+00:00,0.00078281
2015-07-13 00:00:00+00:00,0.01139162
2015-07-14 00:00:00+00:00,0.00520891
2015-07-15 00:00:00+00:00,0.00378441
2015-07-16 00:00:00+00:00,0.00038669
2015-07-17 00:00:00+00:00,-0.01040868
2015-07-20 00:00:00+00:00,-0.01128553
2015-07-21 00:00:00+00:00,-0.00352135
2015-07-22 00:00:00+00:00,-0.00906653
2015-07-23 00:00:00+00:00,-0.00881361
2015-07-24 00:00:00+00:00,-0.01081733
2015-07-27 00:00:00+00:00,-0.01567200
2015-07-28 00:00:00+00:00,-0.00097424
2015-07-29 00:00:00+00:00,-0.00012124
2015-07-30 00:00:00+00:00,-0.01701590
2015-07-31 00:00:00+00:00,-0.00280268
2015-08-03 00:00:00+00:00,-0.01428491
2015-08-04 00:00:00+00:00,-0.00673467
2015-08-05 00:00:00+00:00,0.00214219
2015-08-06 00:00:00+00:00,0.00874613
2015-08-07 00:00:00+00:00,0.00399219
2015-08-10 00:00:00+00:00,0.01562225
2015-08-11 00:00:00+00:00,-0.02510476
2015-08-12 00:00:00+00:00,-0.00654150
2015-08-13 00:00:00+00:00,-0.00572349
2015-08-14 00:00:00+00:00,0.00423148
2015-08-17 00:00:00+00:00,-0.01704105
2015-08-18 00:00:00+00:00,-0.00987959
2015-08-19 00:00:00+00:00,-0.00278230
2015-08-20 00:00:00+00:00,0.01770226
2015-08-21 00:00:00+00:00,-0.02597520
2015-08-24 00:00:00+00:00,-0.01863703
2015-08-25 00:00:00+00:00,-0.00019981
2015-08-26 00:00:00+00:00,-0.00257193
2015-08-27 00:00:00+00:00,0.03403753
2015-08-28 00:00:00+00:00,0.00638101
2015-08-31 00:00:00+00:00,0.00186480
2015-09-01 00:00:00+00:00,-0.00519089
2015-09-02 00:00:00+00:00,0.00469754
2015-09-03 00:00:00+00:00,0.00307261
2015-09-04 00:00:00+00:00,-0.00879345
2015-09-08 00:00:00+00:00,0.00524250
2015-09-09 00:00:00+00:00,0.00148313
2015-09-10 00:00:00+00:00,0.01947581
2015-09-11 00:00:00+00:00,-0.01061300
2015-09-14 00:00:00+00:00,-0.00138940
2015-09-15 00:00:00+00:00,0.01279622
2015-09-16 00:00:00+00:00,0.02231949
2015-09-17 00:00:00+00:00,-0.00396729
2015-09-18 00:00:00+00:00,-0.00368169
2015-09-21 00:00:00+00:00,-0.01714457
2015-09-22 00:00:00+00:00,-0.03458237
2015-09-23 00:00:00+00:00,-0.01785939
2015-09-24 00:00:00+00:00,0.01656472
2015-09-25 00:00:00+00:00,-0.01031278
2015-09-28 00:00:00+00:00,-0.01449760
2015-09-29 00:00:00+00:00,0.00969245
2015-09-30 00:00:00+00:00,0.00962901
2015-10-01 00:00:00+00:00,0.00916566
2015-10-02 00:00:00+00:00,0.02258562
2015-10-05 00:00:00+00:00,0.01593965
2015-10-06 00:00:00+00:00,0.00775912
2015-10-07 00:00:00+00:00,0.00324956
2015-10-08 00:00:00+00:00,0.00590110
2015-10-09 00:00:00+00:00,0.00107202
2015-10-12 00:00:00+00:00,0.00565636
2015-10-13 00:00:00+00:00,-0.02231467
2015-10-14 00:00:00+00:00,0.00773524
2015-10-15 00:00:00+00:00,0.02015959
2015-10-16 00:00:00+00:00,0.00029538
2015-10-19 00:00:00+00:00,-0.01578405
2015-10-20 00:00:00+00:00,-0.02227614
2015-10-21 00:00:00+00:00,-0.01568680
2015-10-22 00:00:00+00:00,0.00860579
2015-10-23 00:00:00+00:00,0.01087424
2015-10-26 00:00:00+00:00,-0.00282791
2015-10-27 00:00:00+00:00,-0.00008770
2015-10-28 00:00:00+00:00,-0.00356145
2015-10-29 00:00:00+00:00,0.00024432
2015-10-30 00:00:00+00:00,-0.00456291
2015-11-02 00:00:00+00:00,-0.00437174
2015-11-03 00:00:00+00:00,0.00930741
2015-11-04 00:00:00+00:00,-0.01133851
2015-11-05 00:00:00+00:00,-0.00593239
2015-11-06 00:00:00+00:00,-0.00965399
2015-11-09 00:00:00+00:00,-0.01187765
2015-11-10 00:00:00+00:00,0.00636547
2015-11-11 00:00:00+00:00,0.00254352
2015-11-12 00:00:00+00:00,-0.00593596
2015-11-13 00:00:00+00:00,-0.01279314
2015-11-16 00:00:00+00:00,-0.01758662
2015-11-17 00:00:00+00:00,0.00262770
2015-11-18 00:00:00+00:00,-0.00908682
2015-11-19 00:00:00+00:00,0.01066922
2015-11-20 00:00:00+00:00,-0.00127603
2015-11-23 00:00:00+00:00,-0.01051460
2015-11-24 00:00:00+00:00,0.01244976
2015-11-25 00:00:00+00:00,-0.00630304
2015-11-27 00:00:00+00:00,0.00251005
2015-11-30 00:00:00+00:00,0.00370444
2015-12-01 00:00:00+00:00,0.01055868
2015-12-02 00:00:00+00:00,-0.00201027
2015-12-03 00:00:00+00:00,0.00770321
2015-12-04 00:00:00+00:00,0.00144123
2015-12-07 00:00:00+00:00,-0.01443904
2015-12-08 00:00:00+00:00,-0.00969006
2015-12-09 00:00:00+00:00,0.01558293
2015-12-10 00:00:00+00:00,-0.00257380
2015-12-11 00:00:00+00:00,-0.01124014
2015-12-14 00:00:00+00:00,-0.00590687
2015-12-15 00:00:00+00:00,0.00359298
2015-12-16 00:00:00+00:00,0.01286554
2015-12-17 00:00:00+00:00,-0.00321598
2015-12-18 00:00:00+00:00,0.02310114
2015-12-21 00:00:00+00:00,0.01803403
2015-12-22 00:00:00+00:00,-0.01213112
2015-12-23 00:00:00+00:00,-0.00416707
2015-12-24 00:00:00+00:00,-0.00316415
2015-12-28 00:00:00+00:00,-0.02089928
2015-12-29 00:00:00+00:00,-0.00217189
2015-12-30 00:00:00+00:00,0.00156496
2015-12-31 00:00:00+00:00,-0.00309418
2016-01-04 00:00:00+00:00,-0.01185973
2016-01-05 00:00:00+00:00,0.00936832
2016-01-06 00:00:00+00:00,-0.00441187
2016-01-07 00:00:00+00:00,-0.01796610
2016-01-08 00:00:00+00:00,-0.01660213
2016-01-11 00:00:00+00:00,-0.00969808
2016-01-12 00:00:00+00:00,0.00444905
2016-01-13 00:00:00+00:00,0.01070624
2016-01-14 00:00:00+00:00,0.00714200
2016-01-15 00:00:00+00:00,-0.02054996
2016-01-19 00:00:00+00:00,0.01423083
2016-01-20 00:00:00+00:00,-0.00375518
2016-01-21 00:00:00+00:00,0.00804025
2016-01-22 00:00:00+00:00,0.02795363
2016-01-25 00:00:00+00:00,-0.01829270
2016-01-26 00:00:00+00:00,0.01156853
2016-01-27 00:00:00+00:00,0.00906737
2016-01-28 00:00:00+00:00,0.01162997
2016-01-29 00:00:00+00:00,-0.00439298
2016-02-01 00:00:00+00:00,-0.00159380
2016-02-02 00:00:00+00:00,-0.00976548
2016-02-03 00:00:00+00:00,0.02926314
2016-02-04 00:00:00+00:00,0.02253848
2016-02-05 00:00:00+00:00,-0.02709486
2016-02-08 00:00:00+00:00,-0.02011536
2016-02-09 00:00:00+00:00,-0.00127676
2016-02-10 00:00:00+00:00,0.00288048
2016-02-11 00:00:00+00:00,0.00071755
2016-02-12 00:00:00+00:00,0.02352402
2016-02-16 00:00:00+00:00,-0.01245794
2016-02-17 00:00:00+00:00,0.02465875
2016-02-18 00:00:00+00:00,-0.00776447
2016-02-19 00:00:00+00:00,0.01231003
2016-02-22 00:00:00+00:00,0.01995576
2016-02-23 00:00:00+00:00,-0.00860289
2016-02-24 00:00:00+00:00,0.00864995
2016-02-25 00:00:00+00:00,0.00779112
2016-02-26 00:00:00+00:00,-0.01025459
2016-02-29 00:00:00+00:00,0.00305829
2016-03-01 00:00:00+00:00,-0.00349403
2016-03-02 00:00:00+00:00,0.01359055
2016-03-03 00:00:00+00:00,-0.00208142
2016-03-04 00:00:00+00:00,0.01537718
2016-03-07 00:00:00+00:00,0.00616243
2016-03-08 00:00:00+00:00,-0.00794976
2016-03-09 00:00:00+00:00,0.01265389
2016-03-10 00:00:00+00:00,-0.01629868
2016-03-11 00:00:00+00:00,-0.00060664
2016-03-14 00:00:00+00:00,0.00931423
2016-03-15 00:00:00+00:00,-0.01869643
2016-03-16 00:00:00+00:00,0.01430045
2016-03-17 00:00:00+00:00,0.03675072
2016-03-18 00:00:00+00:00,-0.01718379
2016-03-21 00:00:00+00:00,-0.00006705
2016-03-22 00:00:00+00:00,0.01045476
2016-03-23 00:00:00+00:00,-0.02416481
2016-03-24 00:00:00+00:00,-0.00076967
2016-03-28 00:00:00+00:00,0.00727766
2016-03-29 00:00:00+00:00,-0.00194374
2016-03-30 00:00:00+00:00,0.01789692
