Date,BRENT_W
2000-01-05 00:00:00+00:00,
2000-01-06 00:00:00+00:00,-0.01134408
2000-01-07 00:00:00+00:00,-0.04132502
2000-01-10 00:00:00+00:00,0.05371658
2000-01-11 00:00:00+00:00,0.07146607
2000-01-12 00:00:00+00:00,0.01735206
2000-01-13 00:00:00+00:00,0.01925061
2000-01-14 00:00:00+00:00,0.04591921
2000-01-17 00:00:00+00:00,-0.01603877
2000-01-18 00:00:00+00:00,0.03578500
2000-01-19 00:00:00+00:00,-0.01638081
2000-01-20 00:00:00+00:00,0.01661100
2000-01-21 00:00:00+00:00,0.01610844
2000-01-24 00:00:00+00:00,-0.02103136
2000-01-25 00:00:00+00:00,0.03644407
2000-01-26 00:00:00+00:00,-0.03455316
2000-01-27 00:00:00+00:00,-0.03639210
2000-01-28 00:00:00+00:00,0.00106086
2000-01-31 00:00:00+00:00,0.02699288
2000-02-01 00:00:00+00:00,0.03216754
2000-02-02 00:00:00+00:00,-0.03590988
2000-02-03 00:00:00+00:00,0.04904733
2000-02-04 00:00:00+00:00,0.03435603
2000-02-07 00:00:00+00:00,-0.01671051
2000-02-08 00:00:00+00:00,-0.03357835
2000-02-09 00:00:00+00:00,0.04082365
2000-02-10 00:00:00+00:00,0.03734139
2000-02-11 00:00:00+00:00,0.01696979
2000-02-14 00:00:00+00:00,0.06350753
2000-02-15 00:00:00+00:00,-0.03627837
2000-02-16 00:00:00+00:00,0.01514192
2000-02-17 00:00:00+00:00,-0.05184709
2000-02-18 00:00:00+00:00,-0.03173495
2000-02-21 00:00:00+00:00,-0.02467162
2000-02-22 00:00:00+00:00,0.05593319
2000-02-23 00:00:00+00:00,0.02551328
2000-02-24 00:00:00+00:00,0.01645134
2000-02-25 00:00:00+00:00,0.00599437
2000-02-28 00:00:00+00:00,-0.00054112
2000-02-29 00:00:00+00:00,0.04540185
2000-03-01 00:00:00+00:00,0.07607326
2000-03-02 00:00:00+00:00,0.00851083
2000-03-03 00:00:00+00:00,-0.01384122
2000-03-06 00:00:00+00:00,0.04328855
2000-03-07 00:00:00+00:00,0.15420629
2000-03-08 00:00:00+00:00,-0.19480489
2000-03-09 00:00:00+00:00,0.02787236
2000-03-10 00:00:00+00:00,-0.02502420
2000-03-13 00:00:00+00:00,-0.00088927
2000-03-14 00:00:00+00:00,-0.02530538
2000-03-15 00:00:00+00:00,-0.06023232
2000-03-16 00:00:00+00:00,0.00701860
2000-03-17 00:00:00+00:00,-0.03189999
2000-03-20 00:00:00+00:00,-0.08307499
2000-03-21 00:00:00+00:00,0.03485746
2000-03-22 00:00:00+00:00,-0.02525848
2000-03-23 00:00:00+00:00,0.00698836
2000-03-24 00:00:00+00:00,0.02990285
2000-03-27 00:00:00+00:00,-0.01499701
2000-03-28 00:00:00+00:00,-0.01037199
2000-03-29 00:00:00+00:00,-0.07189844
2000-03-30 00:00:00+00:00,0.00957275
2000-03-31 00:00:00+00:00,0.01037923
2000-04-03 00:00:00+00:00,-0.01911831
2000-04-04 00:00:00+00:00,-0.06606574
2000-04-05 00:00:00+00:00,0.00697753
2000-04-06 00:00:00+00:00,-0.02778651
2000-04-07 00:00:00+00:00,-0.06645851
2000-04-10 00:00:00+00:00,-0.11136774
2000-04-11 00:00:00+00:00,0.02857180
2000-04-12 00:00:00+00:00,0.12535685
2000-04-13 00:00:00+00:00,-0.03432750
2000-04-14 00:00:00+00:00,-0.01551556
2000-04-17 00:00:00+00:00,0.02658102
2000-04-18 00:00:00+00:00,0.02802347
2000-04-19 00:00:00+00:00,0.05886983
2000-04-20 00:00:00+00:00,0.00533248
2000-04-25 00:00:00+00:00,-0.03721002
2000-04-26 00:00:00+00:00,-0.03224871
2000-04-27 00:00:00+00:00,0.06122814
2000-04-28 00:00:00+00:00,0.00958754
2000-05-02 00:00:00+00:00,0.09266628
2000-05-03 00:00:00+00:00,-0.01432475
2000-05-04 00:00:00+00:00,0.01497895
2000-05-05 00:00:00+00:00,0.01524774
2000-05-08 00:00:00+00:00,0.06650261
2000-05-09 00:00:00+00:00,0.05416018
2000-05-10 00:00:00+00:00,-0.02135460
2000-05-11 00:00:00+00:00,0.07444327
2000-05-12 00:00:00+00:00,0.03696580
2000-05-15 00:00:00+00:00,0.02011651
2000-05-16 00:00:00+00:00,0.02349617
2000-05-17 00:00:00+00:00,-0.03041344
