Date,CHEESE
2010-12-27 00:00:00+00:00,-0.00000393
2010-12-28 00:00:00+00:00,-0.00000408
2010-12-29 00:00:00+00:00,0.01921342
2010-12-30 00:00:00+00:00,0.01470242
2010-12-31 00:00:00+00:00,0.00138130
2011-01-03 00:00:00+00:00,-0.01042764
2011-01-04 00:00:00+00:00,-0.00419996
2011-01-05 00:00:00+00:00,-0.00490955
2011-01-06 00:00:00+00:00,0.00840496
2011-01-07 00:00:00+00:00,0.01113015
2011-01-10 00:00:00+00:00,0.01169599
2011-01-11 00:00:00+00:00,0.07142435
2011-01-12 00:00:00+00:00,0.01312760
2011-01-13 00:00:00+00:00,-0.00261016
2011-01-14 00:00:00+00:00,0.00391479
2011-01-18 00:00:00+00:00,0.00781316
2011-01-19 00:00:00+00:00,-0.02799950
2011-01-20 00:00:00+00:00,0.05065319
2011-01-21 00:00:00+00:00,0.07468957
2011-01-24 00:00:00+00:00,0.05793935
2011-01-25 00:00:00+00:00,0.01202912
2011-01-26 00:00:00+00:00,0.03031655
2011-01-27 00:00:00+00:00,-0.00000408
2011-01-28 00:00:00+00:00,0.00922846
2011-01-31 00:00:00+00:00,0.04761462
2011-02-01 00:00:00+00:00,0.02166210
2011-02-02 00:00:00+00:00,-0.02447418
2011-02-03 00:00:00+00:00,0.01215026
2011-02-04 00:00:00+00:00,0.01482259
2011-02-07 00:00:00+00:00,-0.02391742
2011-02-08 00:00:00+00:00,0.02004032
2011-02-09 00:00:00+00:00,-0.01934103
2011-02-10 00:00:00+00:00,-0.00500346
2011-02-11 00:00:00+00:00,0.01004695
2011-02-14 00:00:00+00:00,0.01166969
2011-02-15 00:00:00+00:00,0.01370987
2011-02-16 00:00:00+00:00,0.01648014
2011-02-17 00:00:00+00:00,-0.01253694
2011-02-18 00:00:00+00:00,-0.04468021
2011-02-22 00:00:00+00:00,0.01073114
2011-02-23 00:00:00+00:00,-0.02542747
2011-02-24 00:00:00+00:00,-0.03304692
2011-02-25 00:00:00+00:00,0.05874933
2011-02-28 00:00:00+00:00,0.02354553
2011-03-01 00:00:00+00:00,0.01936907
2011-03-02 00:00:00+00:00,0.00224846
2011-03-03 00:00:00+00:00,0.02090016
2011-03-04 00:00:00+00:00,0.01113855
2011-03-07 00:00:00+00:00,0.01377099
2011-03-08 00:00:00+00:00,-0.07060453
2011-03-09 00:00:00+00:00,0.01364705
2011-03-10 00:00:00+00:00,-0.01721292
2011-03-11 00:00:00+00:00,-0.05033186
2011-03-14 00:00:00+00:00,-0.08450102
2011-03-15 00:00:00+00:00,0.01074967
2011-03-16 00:00:00+00:00,0.02675506
2011-03-17 00:00:00+00:00,0.02944539
2011-03-18 00:00:00+00:00,0.00481709
2011-03-21 00:00:00+00:00,-0.01867702
2011-03-22 00:00:00+00:00,-0.01455729
2011-03-23 00:00:00+00:00,-0.00554157
2011-03-24 00:00:00+00:00,0.03630509
2011-03-25 00:00:00+00:00,0.04126526
2011-03-28 00:00:00+00:00,0.01045036
2011-03-29 00:00:00+00:00,-0.03293190
2011-03-30 00:00:00+00:00,-0.01428854
2011-03-31 00:00:00+00:00,0.01569787
2011-04-01 00:00:00+00:00,-0.00774006
2011-04-04 00:00:00+00:00,-0.01970284
2011-04-05 00:00:00+00:00,-0.00000218
2011-04-06 00:00:00+00:00,0.00847788
2011-04-07 00:00:00+00:00,0.03013729
2011-04-08 00:00:00+00:00,0.03861794
2011-04-11 00:00:00+00:00,0.03033637
2011-04-12 00:00:00+00:00,-0.00841913
2011-04-13 00:00:00+00:00,-0.00841927
2011-04-14 00:00:00+00:00,-0.02193694
2011-04-15 00:00:00+00:00,0.00056608
2011-04-18 00:00:00+00:00,-0.05341100
2011-04-19 00:00:00+00:00,0.00700744
2011-04-20 00:00:00+00:00,0.00813749
2011-04-21 00:00:00+00:00,-0.01560876
2011-04-25 00:00:00+00:00,-0.01166349
2011-04-26 00:00:00+00:00,0.01813722
2011-04-27 00:00:00+00:00,0.01500964
2011-04-28 00:00:00+00:00,-0.01609336
2011-04-29 00:00:00+00:00,-0.00290332
2011-05-02 00:00:00+00:00,0.01388768
2011-05-03 00:00:00+00:00,0.00230045
2011-05-04 00:00:00+00:00,-0.00172717
2011-05-05 00:00:00+00:00,-0.01445135
2011-05-06 00:00:00+00:00,-0.00000063
2011-05-09 00:00:00+00:00,0.03058796
2011-05-10 00:00:00+00:00,-0.00000092
2011-05-11 00:00:00+00:00,-0.05251211
2011-05-12 00:00:00+00:00,0.01284962
2011-05-13 00:00:00+00:00,0.00231928
2011-05-16 00:00:00+00:00,0.01276012
2011-05-17 00:00:00+00:00,0.02876735
2011-05-18 00:00:00+00:00,0.02092625
2011-05-19 00:00:00+00:00,0.01119040
2011-05-20 00:00:00+00:00,0.06099460
2011-05-23 00:00:00+00:00,-0.00806181
2011-05-24 00:00:00+00:00,0.00537169
2011-05-25 00:00:00+00:00,0.02310409
2011-05-26 00:00:00+00:00,0.00214315
2011-05-27 00:00:00+00:00,0.00857760
2011-05-31 00:00:00+00:00,0.04598762
2011-06-01 00:00:00+00:00,0.02695549
2011-06-02 00:00:00+00:00,-0.00000135
2011-06-03 00:00:00+00:00,0.00152805
2011-06-06 00:00:00+00:00,0.01731938
2011-06-07 00:00:00+00:00,-0.07236329
2011-06-08 00:00:00+00:00,0.01516679
2011-06-09 00:00:00+00:00,-0.00000140
2011-06-10 00:00:00+00:00,-0.00000114
2011-06-13 00:00:00+00:00,0.00324723
2011-06-14 00:00:00+00:00,0.01025750
2011-06-15 00:00:00+00:00,-0.00000177
2011-06-16 00:00:00+00:00,0.01874546
2011-06-17 00:00:00+00:00,0.00158884
2011-06-20 00:00:00+00:00,0.01640148
2011-06-21 00:00:00+00:00,0.00260326
2011-06-22 00:00:00+00:00,-0.00781313
2011-06-23 00:00:00+00:00,-0.02099765
2011-06-24 00:00:00+00:00,0.02925461
2011-06-27 00:00:00+00:00,0.00791898
2011-06-28 00:00:00+00:00,0.01157790
2011-06-29 00:00:00+00:00,-0.00260210
2011-06-30 00:00:00+00:00,-0.00470788
2011-07-01 00:00:00+00:00,-0.01158575
2011-07-05 00:00:00+00:00,0.00799134
2011-07-06 00:00:00+00:00,0.00638929
2011-07-07 00:00:00+00:00,0.00372638
2011-07-08 00:00:00+00:00,-0.02652598
2011-07-11 00:00:00+00:00,0.03269699
2011-07-12 00:00:00+00:00,-0.00000104
2011-07-13 00:00:00+00:00,0.00427794
2011-07-14 00:00:00+00:00,0.01069470
2011-07-15 00:00:00+00:00,0.07427012
2011-07-18 00:00:00+00:00,0.04666618
2011-07-19 00:00:00+00:00,-0.00000085
2011-07-20 00:00:00+00:00,0.00451965
2011-07-21 00:00:00+00:00,0.01004394
2011-07-22 00:00:00+00:00,0.01305755
2011-07-25 00:00:00+00:00,0.00299865
2011-07-26 00:00:00+00:00,-0.00000197
2011-07-27 00:00:00+00:00,0.00548158
2011-07-28 00:00:00+00:00,0.01140096
2011-07-29 00:00:00+00:00,-0.00000275
2011-08-01 00:00:00+00:00,0.00195853
2011-08-02 00:00:00+00:00,0.00244899
2011-08-03 00:00:00+00:00,-0.00344418
2011-08-04 00:00:00+00:00,-0.01085906
2011-08-05 00:00:00+00:00,0.00249479
2011-08-08 00:00:00+00:00,-0.00000090
2011-08-09 00:00:00+00:00,-0.06446876
2011-08-10 00:00:00+00:00,-0.01228674
2011-08-11 00:00:00+00:00,-0.05531744
2011-08-12 00:00:00+00:00,0.02245302
2011-08-15 00:00:00+00:00,0.01514289
2011-08-16 00:00:00+00:00,-0.00321118
2011-08-17 00:00:00+00:00,-0.06749517
2011-08-18 00:00:00+00:00,0.00111377
2011-08-19 00:00:00+00:00,-0.02222265
2011-08-22 00:00:00+00:00,0.00501087
2011-08-23 00:00:00+00:00,-0.06625884
2011-08-24 00:00:00+00:00,-0.01377776
2011-08-25 00:00:00+00:00,0.03329471
2011-08-26 00:00:00+00:00,0.05611097
2011-08-29 00:00:00+00:00,0.00273779
2011-08-30 00:00:00+00:00,0.00491493
2011-08-31 00:00:00+00:00,-0.00000042
2011-09-01 00:00:00+00:00,0.00978219
2011-09-02 00:00:00+00:00,0.01518362
2011-09-06 00:00:00+00:00,-0.00000077
2011-09-07 00:00:00+00:00,-0.02050784
2011-09-08 00:00:00+00:00,-0.01983513
2011-09-09 00:00:00+00:00,-0.01165421
2011-09-12 00:00:00+00:00,0.00616198
2011-09-13 00:00:00+00:00,0.04652409
2011-09-14 00:00:00+00:00,-0.02958939
2011-09-15 00:00:00+00:00,-0.00442016
2011-09-16 00:00:00+00:00,0.00055406
2011-09-19 00:00:00+00:00,-0.06596495
2011-09-20 00:00:00+00:00,-0.03266525
2011-09-21 00:00:00+00:00,0.03571380
2011-09-22 00:00:00+00:00,0.00679082
2011-09-23 00:00:00+00:00,0.00396117
2011-09-26 00:00:00+00:00,-0.04147771
2011-09-27 00:00:00+00:00,-0.03376081
2011-09-28 00:00:00+00:00,-0.02962134
2011-09-29 00:00:00+00:00,0.03389768
2011-09-30 00:00:00+00:00,-0.04285805
2011-10-03 00:00:00+00:00,-0.01666710
2011-10-04 00:00:00+00:00,0.04374957
2011-10-05 00:00:00+00:00,0.02779430
2011-10-06 00:00:00+00:00,0.00712131
2011-10-07 00:00:00+00:00,0.03493143
2011-10-10 00:00:00+00:00,-0.07940210
2011-10-11 00:00:00+00:00,0.00687479
2011-10-12 00:00:00+00:00,-0.00740818
2011-10-13 00:00:00+00:00,0.02347050
2011-10-14 00:00:00+00:00,-0.02129031
2011-10-17 00:00:00+00:00,0.04075334
2011-10-18 00:00:00+00:00,0.01322805
2011-10-19 00:00:00+00:00,-0.02155780
2011-10-20 00:00:00+00:00,-0.01882281
2011-10-21 00:00:00+00:00,0.02712623
2011-10-24 00:00:00+00:00,0.03525786
2011-10-25 00:00:00+00:00,-0.01964363
2011-10-26 00:00:00+00:00,0.01377175
2011-10-27 00:00:00+00:00,0.01676583
2011-10-28 00:00:00+00:00,0.02794243
2011-10-31 00:00:00+00:00,0.00000007
2011-11-01 00:00:00+00:00,0.00234865
2011-11-02 00:00:00+00:00,0.01583536
2011-11-03 00:00:00+00:00,0.04645719
2011-11-04 00:00:00+00:00,0.01068588
2011-11-07 00:00:00+00:00,0.00337423
2011-11-08 00:00:00+00:00,-0.04499486
2011-11-09 00:00:00+00:00,-0.00000028
2011-11-10 00:00:00+00:00,-0.00000021
2011-11-11 00:00:00+00:00,0.02002335
2011-11-14 00:00:00+00:00,0.04753472
2011-11-15 00:00:00+00:00,0.02036004
2011-11-16 00:00:00+00:00,-0.04092268
2011-11-17 00:00:00+00:00,-0.07093065
2011-11-18 00:00:00+00:00,0.00418869
2011-11-21 00:00:00+00:00,0.02511912
2011-11-22 00:00:00+00:00,-0.01649090
2011-11-23 00:00:00+00:00,-0.03384876
2011-11-25 00:00:00+00:00,-0.00000077
2011-11-28 00:00:00+00:00,0.05301560
2011-11-29 00:00:00+00:00,0.00177753
2011-11-30 00:00:00+00:00,-0.04208697
2011-12-01 00:00:00+00:00,0.01158523
2011-12-02 00:00:00+00:00,0.00362729
2011-12-05 00:00:00+00:00,0.00846384
2011-12-06 00:00:00+00:00,-0.00720770
2011-12-07 00:00:00+00:00,-0.01265102
2011-12-08 00:00:00+00:00,-0.00606838
2011-12-09 00:00:00+00:00,-0.04334575
2011-12-12 00:00:00+00:00,-0.00434562
2011-12-13 00:00:00+00:00,0.00310510
2011-12-14 00:00:00+00:00,0.00309591
2011-12-15 00:00:00+00:00,-0.00925933
2011-12-16 00:00:00+00:00,0.02846508
2011-12-19 00:00:00+00:00,0.01348831
2011-12-20 00:00:00+00:00,0.00245206
2011-12-21 00:00:00+00:00,0.00734795
2011-12-22 00:00:00+00:00,0.00303356
2011-12-23 00:00:00+00:00,-0.04058173
2011-12-27 00:00:00+00:00,0.00680608
2011-12-28 00:00:00+00:00,0.00678551
2011-12-29 00:00:00+00:00,0.03997491
2011-12-30 00:00:00+00:00,-0.00963353
