Date,EURO600
2005-12-14 00:00:00+00:00,
2005-12-15 00:00:00+00:00,-0.00271607
2005-12-16 00:00:00+00:00,0.00676084
2005-12-19 00:00:00+00:00,-0.00010764
2005-12-20 00:00:00+00:00,0.00346481
2005-12-21 00:00:00+00:00,0.00506966
2005-12-22 00:00:00+00:00,-0.00365014
2005-12-23 00:00:00+00:00,0.00053787
2005-12-27 00:00:00+00:00,0.00344391
2005-12-28 00:00:00+00:00,-0.00139408
2005-12-29 00:00:00+00:00,0.00569189
2005-12-30 00:00:00+00:00,-0.00587609
2006-01-02 00:00:00+00:00,0.00343326
2006-01-03 00:00:00+00:00,0.00598799
2006-01-04 00:00:00+00:00,0.00945882
2006-01-05 00:00:00+00:00,-0.00359078
2006-01-06 00:00:00+00:00,0.00559482
2006-01-09 00:00:00+00:00,0.00272392
2006-01-10 00:00:00+00:00,-0.00797830
2006-01-11 00:00:00+00:00,0.00463769
2006-01-12 00:00:00+00:00,0.00398414
2006-01-13 00:00:00+00:00,-0.00451587
2006-01-16 00:00:00+00:00,0.00082917
2006-01-17 00:00:00+00:00,-0.00705319
2006-01-18 00:00:00+00:00,-0.01122931
2006-01-19 00:00:00+00:00,0.00598119
2006-01-20 00:00:00+00:00,-0.00618115
2006-01-23 00:00:00+00:00,0.00020297
2006-01-24 00:00:00+00:00,-0.00300776
2006-01-25 00:00:00+00:00,0.01114502
2006-01-26 00:00:00+00:00,0.01038273
2006-01-27 00:00:00+00:00,0.01027328
2006-01-30 00:00:00+00:00,-0.00012069
2006-01-31 00:00:00+00:00,0.00237265
2006-02-01 00:00:00+00:00,0.00796361
2006-02-02 00:00:00+00:00,-0.00906635
2006-02-03 00:00:00+00:00,0.00050136
2006-02-06 00:00:00+00:00,0.00205674
2006-02-07 00:00:00+00:00,-0.00322547
2006-02-08 00:00:00+00:00,-0.00230141
2006-02-09 00:00:00+00:00,0.00923787
2006-02-10 00:00:00+00:00,0.00080430
2006-02-13 00:00:00+00:00,0.00080330
2006-02-14 00:00:00+00:00,-0.00135794
2006-02-15 00:00:00+00:00,0.00111252
2006-02-16 00:00:00+00:00,0.00543079
2006-02-17 00:00:00+00:00,0.00355892
2006-02-20 00:00:00+00:00,0.00660258
2006-02-21 00:00:00+00:00,-0.00103505
2006-02-22 00:00:00+00:00,0.00504342
2006-02-23 00:00:00+00:00,-0.00193864
2006-02-24 00:00:00+00:00,0.00381362
2006-02-27 00:00:00+00:00,0.00349628
2006-02-28 00:00:00+00:00,-0.01365477
2006-03-01 00:00:00+00:00,0.00688561
2006-03-02 00:00:00+00:00,-0.00890182
2006-03-03 00:00:00+00:00,-0.00134624
2006-03-06 00:00:00+00:00,0.00995235
2006-03-07 00:00:00+00:00,-0.01137279
2006-03-08 00:00:00+00:00,-0.01540651
2006-03-09 00:00:00+00:00,0.00479624
2006-03-10 00:00:00+00:00,0.02812511
2006-03-13 00:00:00+00:00,-0.00346146
2006-03-14 00:00:00+00:00,0.00078672
2006-03-15 00:00:00+00:00,0.00533920
2006-03-16 00:00:00+00:00,-0.00404984
2006-03-17 00:00:00+00:00,0.00078381
2006-03-20 00:00:00+00:00,0.00199409
2006-03-21 00:00:00+00:00,0.01377454
2006-03-22 00:00:00+00:00,0.00285368
2006-03-23 00:00:00+00:00,-0.00101778
2006-03-24 00:00:00+00:00,-0.00339742
2006-03-27 00:00:00+00:00,-0.00788457
2006-03-28 00:00:00+00:00,-0.00523862
2006-03-29 00:00:00+00:00,0.00017730
2006-03-30 00:00:00+00:00,0.00863912
2006-03-31 00:00:00+00:00,-0.00671577
2006-04-03 00:00:00+00:00,0.00892135
2006-04-04 00:00:00+00:00,-0.00520722
2006-04-05 00:00:00+00:00,0.00377855
2006-04-06 00:00:00+00:00,0.00107050
2006-04-07 00:00:00+00:00,-0.00461005
2006-04-10 00:00:00+00:00,0.00497663
2006-04-11 00:00:00+00:00,-0.01207479
2006-04-12 00:00:00+00:00,-0.00163899
2006-04-13 00:00:00+00:00,0.00350570
2006-04-18 00:00:00+00:00,0.00801730
2006-04-19 00:00:00+00:00,0.00286472
2006-04-20 00:00:00+00:00,0.00434688
2006-04-21 00:00:00+00:00,0.00551467
2006-04-24 00:00:00+00:00,-0.00455848
2006-04-25 00:00:00+00:00,-0.00161241
2006-04-26 00:00:00+00:00,0.00224699
2006-04-27 00:00:00+00:00,-0.00487145
2006-04-28 00:00:00+00:00,-0.00429804
2006-05-02 00:00:00+00:00,0.01003719
2006-05-03 00:00:00+00:00,-0.00812359
2006-05-04 00:00:00+00:00,0.00524167
2006-05-05 00:00:00+00:00,0.01085221
2006-05-08 00:00:00+00:00,0.00280544
2006-05-09 00:00:00+00:00,0.00396600
2006-05-10 00:00:00+00:00,-0.00479653
2006-05-11 00:00:00+00:00,-0.00452423
2006-05-12 00:00:00+00:00,-0.02101947
2006-05-15 00:00:00+00:00,-0.01485397
2006-05-16 00:00:00+00:00,0.00139319
