Date,SP400
2002-08-29 00:00:00+00:00,0.00856509
2002-08-30 00:00:00+00:00,-0.00341614
2002-09-03 00:00:00+00:00,-0.02957583
2002-09-04 00:00:00+00:00,0.03177902
2002-09-05 00:00:00+00:00,-0.02476925
2002-09-06 00:00:00+00:00,0.04274480
2002-09-09 00:00:00+00:00,0.00535837
2002-09-10 00:00:00+00:00,0.01573938
2002-09-11 00:00:00+00:00,-0.00209805
2002-09-12 00:00:00+00:00,-0.02140447
2002-09-13 00:00:00+00:00,0.00866949
2002-09-16 00:00:00+00:00,-0.00595844
2002-09-17 00:00:00+00:00,-0.01765847
2002-09-18 00:00:00+00:00,-0.01052313
2002-09-19 00:00:00+00:00,-0.02828029
2002-09-20 00:00:00+00:00,0.00237631
2002-09-23 00:00:00+00:00,-0.01333002
2002-09-24 00:00:00+00:00,-0.01106091
2002-09-25 00:00:00+00:00,0.02594482
2002-09-26 00:00:00+00:00,0.01925536
2002-09-27 00:00:00+00:00,-0.02939356
2002-09-30 00:00:00+00:00,-0.00540732
2002-10-01 00:00:00+00:00,0.03084659
2002-10-02 00:00:00+00:00,-0.03262332
2002-10-03 00:00:00+00:00,-0.01602115
2002-10-04 00:00:00+00:00,-0.02577459
2002-10-07 00:00:00+00:00,-0.02440342
2002-10-08 00:00:00+00:00,0.01519921
2002-10-09 00:00:00+00:00,-0.03706064
2002-10-10 00:00:00+00:00,0.04162361
2002-10-11 00:00:00+00:00,0.03556985
2002-10-14 00:00:00+00:00,0.01416078
2002-10-15 00:00:00+00:00,0.03803771
2002-10-16 00:00:00+00:00,-0.02655415
2002-10-17 00:00:00+00:00,0.02572639
2002-10-18 00:00:00+00:00,0.00327277
2002-10-21 00:00:00+00:00,0.01578135
2002-10-22 00:00:00+00:00,-0.01562751
2002-10-23 00:00:00+00:00,0.01412851
2002-10-24 00:00:00+00:00,-0.01821411
2002-10-25 00:00:00+00:00,0.01774887
2002-10-28 00:00:00+00:00,-0.01169834
2002-10-29 00:00:00+00:00,-0.00829583
2002-10-30 00:00:00+00:00,0.01137387
2002-10-31 00:00:00+00:00,-0.00097996
2002-11-01 00:00:00+00:00,0.01855344
2002-11-04 00:00:00+00:00,0.00342664
2002-11-05 00:00:00+00:00,0.00157290
2002-11-06 00:00:00+00:00,0.01215030
2002-11-07 00:00:00+00:00,-0.02569765
2002-11-08 00:00:00+00:00,-0.01401935
2002-11-11 00:00:00+00:00,-0.01658180
2002-11-12 00:00:00+00:00,0.00789936
2002-11-13 00:00:00+00:00,0.00044393
2002-11-14 00:00:00+00:00,0.01879861
2002-11-15 00:00:00+00:00,0.00909161
2002-11-18 00:00:00+00:00,-0.00536633
2002-11-19 00:00:00+00:00,-0.00749226
2002-11-20 00:00:00+00:00,0.02274732
2002-11-21 00:00:00+00:00,0.02178067
2002-11-22 00:00:00+00:00,-0.00003361
2002-11-25 00:00:00+00:00,0.00221330
2002-11-26 00:00:00+00:00,-0.01684948
2002-11-27 00:00:00+00:00,0.02505191
2002-11-29 00:00:00+00:00,-0.00159062
2002-12-02 00:00:00+00:00,0.00598215
2002-12-03 00:00:00+00:00,-0.02838355
2002-12-04 00:00:00+00:00,-0.01826958
2002-12-05 00:00:00+00:00,-0.00891087
2002-12-06 00:00:00+00:00,0.00448875
2002-12-09 00:00:00+00:00,-0.05256761
2002-12-10 00:00:00+00:00,0.03167157
2002-12-11 00:00:00+00:00,0.00314912
2002-12-12 00:00:00+00:00,0.00222652
