Date,PLAT
2000-01-05 00:00:00+00:00,
2000-01-06 00:00:00+00:00,-0.03948209
2000-01-07 00:00:00+00:00,0.00998428
2000-01-10 00:00:00+00:00,0.01245771
2000-01-11 00:00:00+00:00,-0.00016939
2000-01-12 00:00:00+00:00,0.02194061
2000-01-13 00:00:00+00:00,0.01225661
2000-01-14 00:00:00+00:00,0.02452862
2000-01-18 00:00:00+00:00,0.02565990
2000-01-19 00:00:00+00:00,0.05876512
2000-01-20 00:00:00+00:00,-0.02212314
2000-01-21 00:00:00+00:00,0.01635843
2000-01-24 00:00:00+00:00,0.03964187
2000-01-25 00:00:00+00:00,0.02574443
2000-01-26 00:00:00+00:00,-0.04271684
2000-01-27 00:00:00+00:00,0.05809234
2000-01-28 00:00:00+00:00,0.03214076
2000-01-31 00:00:00+00:00,0.00511206
2000-02-01 00:00:00+00:00,-0.00940766
2000-02-02 00:00:00+00:00,0.05855711
2000-02-03 00:00:00+00:00,0.03671937
2000-02-04 00:00:00+00:00,0.01962203
2000-02-07 00:00:00+00:00,-0.02186420
2000-02-08 00:00:00+00:00,0.10186879
2000-02-09 00:00:00+00:00,0.11236211
2000-02-10 00:00:00+00:00,-0.02906551
2000-02-11 00:00:00+00:00,0.03071849
2000-02-14 00:00:00+00:00,-0.03322966
2000-02-15 00:00:00+00:00,0.04119864
2000-02-16 00:00:00+00:00,0.04907431
2000-02-17 00:00:00+00:00,-0.04626917
2000-02-18 00:00:00+00:00,-0.09160225
2000-02-22 00:00:00+00:00,0.02406628
2000-02-23 00:00:00+00:00,-0.12270077
2000-02-24 00:00:00+00:00,-0.04298507
2000-02-25 00:00:00+00:00,-0.07240133
2000-02-28 00:00:00+00:00,0.05733001
2000-02-29 00:00:00+00:00,0.02820188
2000-03-01 00:00:00+00:00,-0.01501850
2000-03-02 00:00:00+00:00,-0.05882582
2000-03-03 00:00:00+00:00,0.04843939
2000-03-06 00:00:00+00:00,0.00025128
2000-03-07 00:00:00+00:00,0.02309035
2000-03-08 00:00:00+00:00,-0.00465811
2000-03-09 00:00:00+00:00,0.00216920
2000-03-10 00:00:00+00:00,0.00921034
2000-03-13 00:00:00+00:00,0.02616213
2000-03-14 00:00:00+00:00,0.00380162
2000-03-15 00:00:00+00:00,0.00065559
2000-03-16 00:00:00+00:00,0.01299032
2000-03-17 00:00:00+00:00,0.01061321
2000-03-20 00:00:00+00:00,0.01033736
2000-03-21 00:00:00+00:00,0.01418537
2000-03-22 00:00:00+00:00,0.00571666
2000-03-23 00:00:00+00:00,-0.05769533
2000-03-24 00:00:00+00:00,0.00065333
2000-03-27 00:00:00+00:00,-0.00979041
2000-03-28 00:00:00+00:00,0.01369824
2000-03-29 00:00:00+00:00,-0.01729045
2000-03-30 00:00:00+00:00,-0.00586941
2000-03-31 00:00:00+00:00,0.06509535
2000-04-03 00:00:00+00:00,0.00719751
2000-04-04 00:00:00+00:00,0.07210866
2000-04-05 00:00:00+00:00,-0.02183914
2000-04-06 00:00:00+00:00,-0.03959272
2000-04-07 00:00:00+00:00,-0.11104511
2000-04-10 00:00:00+00:00,0.04043219
2000-04-11 00:00:00+00:00,0.00615396
2000-04-12 00:00:00+00:00,0.00908071
2000-04-13 00:00:00+00:00,0.01448588
2000-04-14 00:00:00+00:00,0.01978678
2000-04-17 00:00:00+00:00,-0.05145148
2000-04-18 00:00:00+00:00,0.01329090
2000-04-19 00:00:00+00:00,-0.02735954
