Date,BRE
2000-06-23 00:00:00+00:00,-0.01467693
2000-06-26 00:00:00+00:00,-0.00289946
2000-06-27 00:00:00+00:00,0.00808407
2000-06-28 00:00:00+00:00,0.00075481
2000-06-29 00:00:00+00:00,0.00440010
2000-06-30 00:00:00+00:00,0.01661422
2000-07-03 00:00:00+00:00,-0.01042630
2000-07-05 00:00:00+00:00,0.00238592
2000-07-06 00:00:00+00:00,0.00456477
2000-07-07 00:00:00+00:00,0.00165036
2000-07-10 00:00:00+00:00,-0.00378708
2000-07-11 00:00:00+00:00,0.00074419
2000-07-12 00:00:00+00:00,0.00074105
2000-07-13 00:00:00+00:00,-0.00560638
2000-07-14 00:00:00+00:00,0.00528815
2000-07-17 00:00:00+00:00,0.00527360
2000-07-18 00:00:00+00:00,0.00345052
2000-07-19 00:00:00+00:00,-0.00919194
2000-07-20 00:00:00+00:00,0.00799289
2000-07-21 00:00:00+00:00,0.00524988
2000-07-24 00:00:00+00:00,0.00073398
2000-07-25 00:00:00+00:00,0.00613340
2000-07-26 00:00:00+00:00,0.00521450
2000-07-27 00:00:00+00:00,0.00788249
2000-07-28 00:00:00+00:00,-0.01086259
2000-07-31 00:00:00+00:00,0.01452784
2000-08-01 00:00:00+00:00,-0.02003734
2000-08-02 00:00:00+00:00,-0.00559848
2000-08-03 00:00:00+00:00,0.00346171
2000-08-04 00:00:00+00:00,0.00798411
2000-08-07 00:00:00+00:00,-0.00468097
2000-08-08 00:00:00+00:00,-0.00288137
2000-08-09 00:00:00+00:00,0.00707776
2000-08-10 00:00:00+00:00,-0.00016861
2000-08-11 00:00:00+00:00,-0.00377983
2000-08-14 00:00:00+00:00,-0.00740226
2000-08-15 00:00:00+00:00,0.00708990
2000-08-16 00:00:00+00:00,-0.01011492
2000-08-17 00:00:00+00:00,0.00164901
2000-08-18 00:00:00+00:00,-0.01015102
2000-08-21 00:00:00+00:00,-0.00290640
2000-08-22 00:00:00+00:00,0.00439694
2000-08-23 00:00:00+00:00,-0.00016973
2000-08-24 00:00:00+00:00,-0.00381621
2000-08-25 00:00:00+00:00,0.00074213
2000-08-28 00:00:00+00:00,-0.00655724
2000-08-29 00:00:00+00:00,-0.00291772
2000-08-30 00:00:00+00:00,0.01356589
2000-08-31 00:00:00+00:00,-0.00290022
2000-09-01 00:00:00+00:00,-0.00709716
2000-09-05 00:00:00+00:00,-0.00071937
2000-09-06 00:00:00+00:00,0.00185307
2000-09-07 00:00:00+00:00,-0.00016723
2000-09-08 00:00:00+00:00,0.00166903
2000-09-11 00:00:00+00:00,0.00350126
2000-09-12 00:00:00+00:00,-0.00931376
2000-09-13 00:00:00+00:00,-0.00384092
2000-09-14 00:00:00+00:00,-0.00163913
2000-09-15 00:00:00+00:00,-0.01251607
2000-09-18 00:00:00+00:00,-0.01221403
2000-09-19 00:00:00+00:00,0.00822131
2000-09-20 00:00:00+00:00,-0.00573715
2000-09-21 00:00:00+00:00,0.00542048
2000-09-22 00:00:00+00:00,0.00169062
2000-09-25 00:00:00+00:00,0.00911005
2000-09-26 00:00:00+00:00,-0.00478348
2000-09-27 00:00:00+00:00,-0.00016723
2000-09-28 00:00:00+00:00,0.00723898
2000-09-29 00:00:00+00:00,0.00075427
