Date,NZD
2003-08-29 00:00:00+00:00,0.02095235
2003-09-02 00:00:00+00:00,-0.05192951
2003-09-03 00:00:00+00:00,0.01720232
2003-09-04 00:00:00+00:00,0.00420059
2003-09-05 00:00:00+00:00,0.02457891
2003-09-08 00:00:00+00:00,0.00570288
2003-09-09 00:00:00+00:00,0.02074609
2003-09-10 00:00:00+00:00,-0.01236166
2003-09-11 00:00:00+00:00,0.00101479
2003-09-12 00:00:00+00:00,-0.00106620
2003-09-15 00:00:00+00:00,0.01558561
2003-09-16 00:00:00+00:00,-0.00759954
2003-09-17 00:00:00+00:00,-0.00486371
2003-09-18 00:00:00+00:00,0.00724801
2003-09-19 00:00:00+00:00,0.02413264
2003-09-22 00:00:00+00:00,0.02384475
2003-09-23 00:00:00+00:00,-0.01182044
2003-09-24 00:00:00+00:00,-0.00172030
2003-09-25 00:00:00+00:00,0.00336715
2003-09-26 00:00:00+00:00,-0.01763820
2003-09-29 00:00:00+00:00,0.01090887
2003-09-30 00:00:00+00:00,0.00405233
2003-10-01 00:00:00+00:00,0.01625380
2003-10-02 00:00:00+00:00,0.00132022
2003-10-03 00:00:00+00:00,-0.03027752
2003-10-06 00:00:00+00:00,0.01601554
2003-10-07 00:00:00+00:00,0.00708493
2003-10-08 00:00:00+00:00,0.00233695
2003-10-09 00:00:00+00:00,-0.00103554
2003-10-10 00:00:00+00:00,0.01110154
2003-10-14 00:00:00+00:00,-0.01678963
2003-10-15 00:00:00+00:00,-0.00002514
2003-10-16 00:00:00+00:00,-0.00340620
2003-10-17 00:00:00+00:00,0.01182877
2003-10-20 00:00:00+00:00,-0.00036212
2003-10-21 00:00:00+00:00,0.01344190
2003-10-22 00:00:00+00:00,0.01535881
2003-10-23 00:00:00+00:00,0.00628003
2003-10-24 00:00:00+00:00,0.00328238
2003-10-27 00:00:00+00:00,0.00823139
2003-10-28 00:00:00+00:00,0.00161835
2003-10-29 00:00:00+00:00,0.00424669
2003-10-30 00:00:00+00:00,-0.00592955
2003-10-31 00:00:00+00:00,0.00984245
2003-11-03 00:00:00+00:00,-0.01802869
2003-11-04 00:00:00+00:00,0.01318613
2003-11-05 00:00:00+00:00,0.01457599
2003-11-06 00:00:00+00:00,-0.01142646
2003-11-07 00:00:00+00:00,0.01471560
2003-11-10 00:00:00+00:00,0.01460820
2003-11-12 00:00:00+00:00,0.01611608
2003-11-13 00:00:00+00:00,0.01118283
2003-11-14 00:00:00+00:00,0.00347707
2003-11-17 00:00:00+00:00,-0.01560131
2003-11-18 00:00:00+00:00,0.03425271
2003-11-19 00:00:00+00:00,0.00406822
2003-11-20 00:00:00+00:00,0.01631911
2003-11-21 00:00:00+00:00,-0.00314356
2003-11-24 00:00:00+00:00,-0.01407722
2003-11-25 00:00:00+00:00,-0.00065491
2003-11-26 00:00:00+00:00,0.01318614
2003-11-28 00:00:00+00:00,-0.00315025
2003-12-01 00:00:00+00:00,0.01124229
2003-12-02 00:00:00+00:00,0.01195487
2003-12-03 00:00:00+00:00,0.00739804
2003-12-04 00:00:00+00:00,-0.01204363
2003-12-05 00:00:00+00:00,-0.00312564
2003-12-08 00:00:00+00:00,0.00804937
2003-12-09 00:00:00+00:00,0.00306796
2003-12-10 00:00:00+00:00,-0.01021634
2003-12-11 00:00:00+00:00,-0.00938482
2003-12-12 00:00:00+00:00,0.01251460
2003-12-15 00:00:00+00:00,0.00059848
2003-12-16 00:00:00+00:00,0.00713813
2003-12-17 00:00:00+00:00,-0.01243703
2003-12-18 00:00:00+00:00,0.00309855
2003-12-19 00:00:00+00:00,-0.00781826
2003-12-22 00:00:00+00:00,-0.01254359
2003-12-23 00:00:00+00:00,-0.00159955
2003-12-24 00:00:00+00:00,0.02424679
2003-12-26 00:00:00+00:00,-0.00376106
2003-12-29 00:00:00+00:00,0.01245647
2003-12-30 00:00:00+00:00,0.01237796
2003-12-31 00:00:00+00:00,0.00305638
2004-01-02 00:00:00+00:00,0.00905195
2004-01-05 00:00:00+00:00,0.04254744
2004-01-06 00:00:00+00:00,0.00207381
2004-01-07 00:00:00+00:00,-0.00511670
2004-01-08 00:00:00+00:00,0.01559187
2004-01-09 00:00:00+00:00,0.01725872
2004-01-12 00:00:00+00:00,0.00233961
2004-01-13 00:00:00+00:00,-0.00090939
2004-01-14 00:00:00+00:00,-0.00297577
2004-01-15 00:00:00+00:00,-0.02544859
2004-01-16 00:00:00+00:00,-0.02517793
2004-01-20 00:00:00+00:00,0.00604131
2004-01-21 00:00:00+00:00,0.02265172
2004-01-22 00:00:00+00:00,0.01372783
2004-01-23 00:00:00+00:00,-0.01427595
2004-01-26 00:00:00+00:00,-0.00779970
2004-01-27 00:00:00+00:00,0.02609343
2004-01-28 00:00:00+00:00,-0.01158298
2004-01-29 00:00:00+00:00,-0.01433241
2004-01-30 00:00:00+00:00,0.01678661
2004-02-02 00:00:00+00:00,-0.00687227
2004-02-03 00:00:00+00:00,0.02387272
2004-02-04 00:00:00+00:00,0.00145060
2004-02-05 00:00:00+00:00,0.01914848
2004-02-06 00:00:00+00:00,0.01136990
2004-02-09 00:00:00+00:00,0.01159405
2004-02-10 00:00:00+00:00,0.01383697
2004-02-11 00:00:00+00:00,0.00312975
2004-02-12 00:00:00+00:00,-0.00288814
2004-02-13 00:00:00+00:00,0.00054833
2004-02-17 00:00:00+00:00,0.02462743
2004-02-18 00:00:00+00:00,-0.02635984
2004-02-19 00:00:00+00:00,0.00571360
2004-02-20 00:00:00+00:00,-0.05438907
2004-02-23 00:00:00+00:00,-0.00443745
