Date,excess_net_ret
1987-03-17,0.012937828567845436
1987-03-18,0.0002922994652406805
1987-03-19,-0.0066858141549120936
1987-03-20,0.003433574453245552
1987-03-23,0.004460419045255205
1987-03-24,0.007700674226702308
1987-03-25,-0.00044888312823775035
1987-03-26,0.0002866489709512232
1987-03-27,0.007196552287581673
1987-03-30,0.006266135442011409
1987-03-31,0.002600186393965775
1987-04-01,0.0004247311024318058
1987-04-02,0.0012926579040366572
1987-04-03,0.007354079447572272
1987-04-06,0.00027791656716202493
1987-04-07,-0.0021582116712818254
1987-04-08,0.003722078709019196
1987-04-09,0.00756007763481841
1987-04-10,0.0031003741665485795
1987-04-13,0.007609927099044607
1987-04-14,-0.0004450674274666718
1987-04-15,0.007982573099415337
1987-04-16,-0.01672133849985312
1987-04-20,-0.004542337360010076
1987-04-21,-0.004702756449752819
1987-04-22,-0.0028644535701246717
1987-04-23,0.007868124462904413
1987-04-24,-0.0005862574595054191
1987-04-27,-0.006272851220090084
1987-04-28,-0.0023069755911518343
1987-04-29,0.0025646223703277692
1987-04-30,-0.006157041642843357
1987-05-01,0.00013204870098739487
1987-05-04,0.0037240411155836975
1987-05-05,0.009576546096074447
1987-05-06,0.0005563414960841912
1987-05-07,0.0005550056689343013
1987-05-08,-0.00043685711026130564
1987-05-11,0.004092949308211608
1987-05-12,0.003088907697371599
1987-05-13,-0.002825152168478888
1987-05-14,0.001955594365336698
1987-05-15,0.004899438035390696
1987-05-18,0.0047361605698642145
1987-05-19,0.0008145106096483749
1987-05-20,0.003181771886693144
1987-05-21,-0.0015405736631220952
1987-05-22,-0.0029319444444444345
1987-05-26,-0.014083409935004655
1987-05-27,0.0011111864406780293
1987-05-28,0.0028059471246531216
1987-05-29,0.000545457102672321
1987-06-01,0.0002633110798781305
1987-06-02,0.002509289126159047
1987-06-03,0.0018035529634299692
1987-06-04,-0.0028141932752217794
1987-06-05,-0.00015777777777777776
1987-06-08,0.000543843397519925
1987-06-09,0.0008277487039372068
1987-06-10,0.0022273970386957865
1987-06-11,-0.00043317949076004047
1987-06-12,0.0027792039158167745
1987-06-15,-0.017148587898483364
1987-06-16,0.004660839787790108
1987-06-17,0.00661124506486191
1987-06-18,-0.0022577847805790017
1987-06-19,-0.0008589766081869813
1987-06-22,-0.001280817727840358
1987-06-23,-0.006205008123984571
1987-06-24,0.0021014591487088013
1987-06-25,0.003084072767191867
1987-06-26,0.00012081754517606334
1987-06-29,0.0019522046413502961
1987-06-30,0.0005425877192982034
1987-07-01,0.0005445956054232197
1987-07-02,-0.002259534766020335
1987-07-06,-0.011814803370786631
1987-07-07,-0.019766185085184775
1987-07-08,0.01100631560934763
1987-07-09,0.003284533639143627
1987-07-10,-0.0010124206349206675
1987-07-13,0.0015599230292631322
1987-07-14,0.0001313029308212085
1987-07-15,0.006694315068493178
1987-07-16,0.0011205102040815647
1987-07-17,-0.004966900212314372
1987-07-20,-0.004847666880007363
1987-07-21,0.0037001896573623325
1987-07-22,0.0022627066034005858
1987-07-23,0.00012651022436796985
1987-07-24,-0.0027150884913874156
1987-07-27,-0.0058545286554702565
1987-07-28,-0.0031687898018258214
1987-07-29,-0.004614158889686566
1987-07-30,0.0019946424222029246
1987-07-31,-0.003910156657232716
1987-08-03,0.0030097575312565314
1987-08-04,-1.8511519078657905e-05
1987-08-05,0.0035806615318168633
1987-08-06,-0.004032077835150093
1987-08-07,-0.0001625
1987-08-10,-0.00030815514758823076
1987-08-11,0.006459423963133674
1987-08-12,0.001265337386742921
1987-08-13,0.0029773015873017805
1987-08-14,0.004676369821829703
1987-08-17,0.0040855895691609195
1987-08-18,0.007171191551415864
1987-08-19,-0.009133874723700874
1987-08-20,-0.0014419868532654628
1987-08-21,0.005916896673743732
1987-08-24,0.004189894172450427
1987-08-25,-0.002833103842741588
1987-08-26,-0.002280352684145032
1987-08-27,-0.0018636736648681362
1987-08-28,0.0015165310478248255
1987-08-31,0.00292279986707325
1987-09-01,0.004460279219868028
1987-09-02,0.005417425512104333
1987-09-03,0.001772500000000082
1987-09-04,0.0019020680466992853
1987-09-08,0.006737697084274802
1987-09-09,-0.0018271892124987433
1987-09-10,-0.0005886584330992566
1987-09-11,0.0031275758688202216
1987-09-14,-0.002234288937675367
1987-09-15,-0.00608838940067531
1987-09-16,0.004111579068695236
1987-09-17,0.002164053084209356
1987-09-18,0.0024322739763671967
1987-09-21,0.002011848590744955
1987-09-22,-0.005923474824133619
1987-09-23,-0.0018301141903145795
1987-09-24,-0.004173096194762082
1987-09-25,-0.006542934532042393
1987-09-28,0.006917720242514325
1987-09-29,-0.01497505240727948
1987-09-30,-0.01505454264870922
1987-10-01,0.006651492689642143
1987-10-02,0.0032096251768033344
1987-10-05,0.00136505059048308
1987-10-06,0.007840574908124035
1987-10-07,0.00442542927177389
1987-10-08,0.001481991545054569
1987-10-09,0.0005062699458857694
1987-10-12,-0.0018513935108151953
1987-10-13,-0.003659444444444432
1987-10-14,0.0046783265582655865
1987-10-15,0.0018840549391279757
1987-10-16,-0.007112915224913601
1987-10-19,0.0017737195121951238
1987-10-20,-0.010595383147092007
1987-10-21,-0.0021235060756567914
1987-10-22,-0.0005714241001565606
1987-10-23,0.0043620029981367905
1987-10-26,-0.015013845560387033
1987-10-27,-0.013102703379372518
1987-10-28,-0.01413474225812668
1987-10-29,-0.023548646874745865
1987-10-30,0.0006026747815228316
1987-11-02,0.001340894876913047
1987-11-03,-0.006135462132536215
1987-11-04,0.0058611487050960285
1987-11-05,0.006571457399103048
1987-11-06,0.014243208982925236
