Date,GBPEUR
2000-06-22 00:00:00+00:00,-0.01793298
2000-06-23 00:00:00+00:00,0.00506997
2000-06-26 00:00:00+00:00,0.00496360
2000-06-27 00:00:00+00:00,0.00366355
2000-06-28 00:00:00+00:00,-0.00689763
2000-06-29 00:00:00+00:00,0.00399392
2000-06-30 00:00:00+00:00,0.00310131
2000-07-03 00:00:00+00:00,-0.00103149
2000-07-05 00:00:00+00:00,0.00539080
2000-07-06 00:00:00+00:00,-0.00205553
2000-07-07 00:00:00+00:00,-0.00782938
2000-07-10 00:00:00+00:00,0.00851738
2000-07-11 00:00:00+00:00,-0.00577072
2000-07-12 00:00:00+00:00,-0.00445430
2000-07-13 00:00:00+00:00,-0.00311722
2000-07-14 00:00:00+00:00,0.00375267
2000-07-17 00:00:00+00:00,-0.00008628
2000-07-18 00:00:00+00:00,-0.01195628
2000-07-19 00:00:00+00:00,-0.00322995
2000-07-20 00:00:00+00:00,-0.00065183
2000-07-21 00:00:00+00:00,0.00023922
2000-07-24 00:00:00+00:00,-0.00243038
2000-07-25 00:00:00+00:00,0.00445265
2000-07-26 00:00:00+00:00,0.00483535
2000-07-27 00:00:00+00:00,-0.00907843
2000-07-28 00:00:00+00:00,-0.00421712
2000-07-31 00:00:00+00:00,0.00731461
2000-08-01 00:00:00+00:00,-0.00557707
2000-08-02 00:00:00+00:00,-0.00593113
2000-08-03 00:00:00+00:00,-0.00767810
2000-08-04 00:00:00+00:00,-0.00436299
2000-08-07 00:00:00+00:00,-0.00528934
2000-08-08 00:00:00+00:00,-0.00315768
2000-08-09 00:00:00+00:00,-0.00158422
2000-08-10 00:00:00+00:00,0.01267328
2000-08-11 00:00:00+00:00,-0.00897921
2000-08-14 00:00:00+00:00,0.00115985
2000-08-15 00:00:00+00:00,0.00862359
2000-08-16 00:00:00+00:00,0.00435349
2000-08-17 00:00:00+00:00,0.00236849
2000-08-18 00:00:00+00:00,-0.00490502
2000-08-21 00:00:00+00:00,-0.00443531
2000-08-22 00:00:00+00:00,-0.00280601
2000-08-23 00:00:00+00:00,0.00106944
2000-08-24 00:00:00+00:00,0.00535833
2000-08-25 00:00:00+00:00,0.00746080
2000-08-28 00:00:00+00:00,-0.00269482
2000-08-29 00:00:00+00:00,0.00089087
2000-08-30 00:00:00+00:00,-0.00147540
2000-08-31 00:00:00+00:00,-0.00008862
2000-09-01 00:00:00+00:00,0.00628139
2000-09-05 00:00:00+00:00,-0.03975972
2000-09-06 00:00:00+00:00,-0.02150482
2000-09-07 00:00:00+00:00,0.00801256
2000-09-08 00:00:00+00:00,0.01481112
2000-09-11 00:00:00+00:00,-0.00825154
2000-09-13 00:00:00+00:00,0.00574041
2000-09-14 00:00:00+00:00,0.00546009
2000-09-18 00:00:00+00:00,-0.01216535
2000-09-19 00:00:00+00:00,-0.00599275
2000-09-20 00:00:00+00:00,-0.00421068
2000-09-21 00:00:00+00:00,-0.00679631
2000-09-22 00:00:00+00:00,0.00800998
2000-09-25 00:00:00+00:00,-0.00157337
2000-09-27 00:00:00+00:00,0.00281612
2000-09-28 00:00:00+00:00,-0.00206897
2000-09-29 00:00:00+00:00,-0.00770100
2000-10-02 00:00:00+00:00,-0.00000085
2000-10-03 00:00:00+00:00,0.00258373
2000-10-04 00:00:00+00:00,-0.00108300
2000-10-05 00:00:00+00:00,0.00241176
2000-10-09 00:00:00+00:00,-0.00016833
2000-10-10 00:00:00+00:00,-0.00207772
2000-10-11 00:00:00+00:00,-0.00840364
2000-10-12 00:00:00+00:00,-0.01375527
2000-10-13 00:00:00+00:00,0.00178873
2000-10-16 00:00:00+00:00,-0.00186586
2000-10-17 00:00:00+00:00,0.00527079
2000-10-18 00:00:00+00:00,-0.01606566
2000-10-19 00:00:00+00:00,0.00438293
2000-10-20 00:00:00+00:00,-0.00530199
2000-10-23 00:00:00+00:00,-0.00979972
2000-10-24 00:00:00+00:00,0.00356125
2000-10-25 00:00:00+00:00,-0.00138298
2000-10-26 00:00:00+00:00,0.00216620
2000-10-27 00:00:00+00:00,-0.00068970
2000-10-30 00:00:00+00:00,0.00397689
2000-10-31 00:00:00+00:00,0.00964024
2000-11-01 00:00:00+00:00,0.01363672
2000-11-02 00:00:00+00:00,0.00125735
2000-11-06 00:00:00+00:00,0.01208424
2000-11-07 00:00:00+00:00,-0.00299299
2000-11-08 00:00:00+00:00,0.00049261
2000-11-09 00:00:00+00:00,0.00581204
2000-11-10 00:00:00+00:00,-0.00198968
2000-11-13 00:00:00+00:00,-0.00944253
2000-11-14 00:00:00+00:00,0.00250174
2000-11-15 00:00:00+00:00,0.00282781
2000-11-16 00:00:00+00:00,-0.00482371
2000-11-17 00:00:00+00:00,-0.00509585
2000-11-20 00:00:00+00:00,0.00175754
2000-11-21 00:00:00+00:00,-0.00335291
2000-11-22 00:00:00+00:00,0.00629529
2000-11-24 00:00:00+00:00,0.00191428
2000-11-27 00:00:00+00:00,0.00057905
2000-11-28 00:00:00+00:00,0.00540564
2000-11-29 00:00:00+00:00,-0.00198805
2000-11-30 00:00:00+00:00,0.01491979
2000-12-01 00:00:00+00:00,-0.00106596
2000-12-04 00:00:00+00:00,-0.00000260
2000-12-05 00:00:00+00:00,0.01014639
2000-12-06 00:00:00+00:00,0.01212780
2000-12-07 00:00:00+00:00,-0.00590951
2000-12-08 00:00:00+00:00,-0.01647530
2000-12-11 00:00:00+00:00,-0.03002802
2000-12-12 00:00:00+00:00,0.01088217
2000-12-13 00:00:00+00:00,-0.00813179
2000-12-14 00:00:00+00:00,0.00314902
2000-12-15 00:00:00+00:00,0.00470626
2000-12-18 00:00:00+00:00,-0.00122832
2000-12-19 00:00:00+00:00,0.00345810
2000-12-20 00:00:00+00:00,0.00918150
2000-12-21 00:00:00+00:00,0.00983515
2000-12-22 00:00:00+00:00,0.00709115
2000-12-26 00:00:00+00:00,0.00175967
2000-12-27 00:00:00+00:00,-0.00628912
2000-12-28 00:00:00+00:00,-0.00095906
2000-12-29 00:00:00+00:00,0.01138885
2001-01-02 00:00:00+00:00,0.00555028
2001-01-03 00:00:00+00:00,-0.01599686
2001-01-04 00:00:00+00:00,0.01642918
2001-01-05 00:00:00+00:00,0.00561292
2001-01-08 00:00:00+00:00,-0.00397767
2001-01-09 00:00:00+00:00,-0.00257954
2001-01-10 00:00:00+00:00,-0.00463627
2001-01-11 00:00:00+00:00,0.00967653
2001-01-12 00:00:00+00:00,0.00958063
2001-01-16 00:00:00+00:00,-0.00410475
2001-01-17 00:00:00+00:00,-0.00989129
2001-01-18 00:00:00+00:00,0.01103650
2001-01-19 00:00:00+00:00,-0.00496886
2001-01-22 00:00:00+00:00,0.00337930
2001-01-23 00:00:00+00:00,-0.00255811
2001-01-24 00:00:00+00:00,-0.00936573
2001-01-25 00:00:00+00:00,-0.00321918
2001-01-26 00:00:00+00:00,0.00294368
2001-01-29 00:00:00+00:00,-0.00573975
2001-01-30 00:00:00+00:00,0.00660599
2001-01-31 00:00:00+00:00,0.00680043
2001-02-01 00:00:00+00:00,-0.00209161
2001-02-02 00:00:00+00:00,0.00111751
2001-02-05 00:00:00+00:00,-0.00240890
2001-02-06 00:00:00+00:00,0.00182540
2001-02-07 00:00:00+00:00,0.00291827
2001-02-08 00:00:00+00:00,-0.00654147
2001-02-09 00:00:00+00:00,0.00740947
2001-02-12 00:00:00+00:00,0.00165753
2001-02-13 00:00:00+00:00,-0.01220682
2001-02-14 00:00:00+00:00,-0.00510289
2001-02-15 00:00:00+00:00,-0.01146632
2001-02-16 00:00:00+00:00,0.01332737
2001-02-20 00:00:00+00:00,-0.00495929
2001-02-21 00:00:00+00:00,0.00073808
2001-02-22 00:00:00+00:00,-0.00545303
2001-02-23 00:00:00+00:00,0.00896508
2001-02-26 00:00:00+00:00,-0.00155418
2001-02-27 00:00:00+00:00,0.00652394
2001-02-28 00:00:00+00:00,0.00482511
2001-03-01 00:00:00+00:00,0.00159167
2001-03-02 00:00:00+00:00,0.04269607
2001-03-05 00:00:00+00:00,-0.00579419
2001-03-06 00:00:00+00:00,0.00807515
2001-03-07 00:00:00+00:00,-0.00185527
2001-03-08 00:00:00+00:00,-0.00547342
2001-03-09 00:00:00+00:00,0.00381514
2001-03-12 00:00:00+00:00,-0.00429662
2001-03-13 00:00:00+00:00,-0.00343722
2001-03-14 00:00:00+00:00,-0.00273331
2001-03-15 00:00:00+00:00,-0.00575303
2001-03-16 00:00:00+00:00,0.00242967
2001-03-19 00:00:00+00:00,0.00608297
2001-03-20 00:00:00+00:00,0.00430670
2001-03-21 00:00:00+00:00,-0.01279238
2001-03-22 00:00:00+00:00,-0.00131404
2001-03-23 00:00:00+00:00,-0.00331116
2001-03-26 00:00:00+00:00,0.00196411
2001-03-27 00:00:00+00:00,-0.00163382
2001-03-28 00:00:00+00:00,-0.01076277
2001-03-29 00:00:00+00:00,0.00239067
2001-03-30 00:00:00+00:00,0.00254690
2001-04-02 00:00:00+00:00,0.00125210
2001-04-03 00:00:00+00:00,0.00663883
2001-04-04 00:00:00+00:00,0.00611455
2001-04-05 00:00:00+00:00,-0.00241113
2001-04-06 00:00:00+00:00,0.00028734
2001-04-09 00:00:00+00:00,-0.01139788
2001-04-10 00:00:00+00:00,-0.00284400
2001-04-11 00:00:00+00:00,-0.00341536
2001-04-12 00:00:00+00:00,0.00328707
2001-04-16 00:00:00+00:00,-0.00333673
2001-04-17 00:00:00+00:00,-0.00148635
2001-04-18 00:00:00+00:00,0.00467183
2001-04-19 00:00:00+00:00,-0.00139390
2001-04-20 00:00:00+00:00,0.01248409
2001-04-23 00:00:00+00:00,-0.00583926
2001-04-24 00:00:00+00:00,-0.00106454
2001-04-25 00:00:00+00:00,-0.00042472
2001-04-26 00:00:00+00:00,0.00736073
2001-04-27 00:00:00+00:00,-0.00878719
2001-04-30 00:00:00+00:00,-0.00163282
2001-05-01 00:00:00+00:00,0.00166521
2001-05-02 00:00:00+00:00,0.00206453
2001-05-03 00:00:00+00:00,-0.00563572
2001-05-04 00:00:00+00:00,0.00312393
2001-05-07 00:00:00+00:00,-0.00492227
2001-05-08 00:00:00+00:00,0.00078794
2001-05-09 00:00:00+00:00,0.00465985
2001-05-10 00:00:00+00:00,-0.00475797
2001-05-11 00:00:00+00:00,-0.00389222
2001-05-14 00:00:00+00:00,-0.00204447
2001-05-15 00:00:00+00:00,0.00119804
2001-05-16 00:00:00+00:00,0.00200999
2001-05-17 00:00:00+00:00,-0.00195701
2001-05-18 00:00:00+00:00,-0.00965708
2001-05-21 00:00:00+00:00,-0.00287985
2001-05-22 00:00:00+00:00,-0.00518405
2001-05-23 00:00:00+00:00,-0.00446836
2001-05-24 00:00:00+00:00,0.00718755
2001-05-25 00:00:00+00:00,-0.00766171
2001-05-29 00:00:00+00:00,-0.00299848
2001-05-30 00:00:00+00:00,-0.00225927
2001-05-31 00:00:00+00:00,-0.00534309
2001-06-01 00:00:00+00:00,0.00090524
2001-06-04 00:00:00+00:00,-0.04367593
2001-06-05 00:00:00+00:00,0.02071525
2001-06-06 00:00:00+00:00,0.01769128
2001-06-07 00:00:00+00:00,0.00711875
2001-06-08 00:00:00+00:00,0.01436469
2001-06-11 00:00:00+00:00,-0.00772424
2001-06-12 00:00:00+00:00,0.00951337
2001-06-13 00:00:00+00:00,-0.00856604
2001-06-14 00:00:00+00:00,0.00315832
2001-06-15 00:00:00+00:00,-0.00358270
2001-06-18 00:00:00+00:00,-0.00090957
2001-06-19 00:00:00+00:00,-0.00489995
2001-06-20 00:00:00+00:00,0.00121433
2001-06-21 00:00:00+00:00,-0.01186300
2001-06-22 00:00:00+00:00,0.00428917
2001-06-25 00:00:00+00:00,0.00369382
2001-06-26 00:00:00+00:00,0.00220333
2001-06-27 00:00:00+00:00,-0.00386007
2001-06-28 00:00:00+00:00,-0.01365181
2001-06-29 00:00:00+00:00,0.00223456
2001-07-02 00:00:00+00:00,-0.00558230
2001-07-03 00:00:00+00:00,0.00892342
2001-07-05 00:00:00+00:00,-0.00962019
2001-07-06 00:00:00+00:00,0.00408108
2001-07-09 00:00:00+00:00,0.00323067
2001-07-10 00:00:00+00:00,0.00629012
2001-07-11 00:00:00+00:00,0.00740498
2001-07-12 00:00:00+00:00,-0.00664347
2001-07-13 00:00:00+00:00,0.00434968
2001-07-16 00:00:00+00:00,0.00186971
2001-07-17 00:00:00+00:00,0.00538518
2001-07-18 00:00:00+00:00,0.00275294
2001-07-19 00:00:00+00:00,-0.00861801
2001-07-20 00:00:00+00:00,-0.00222389
2001-07-23 00:00:00+00:00,0.00515393
2001-07-24 00:00:00+00:00,0.00414740
2001-07-25 00:00:00+00:00,0.00307280
2001-07-26 00:00:00+00:00,-0.00325584
2001-07-27 00:00:00+00:00,0.00096028
2001-07-30 00:00:00+00:00,-0.00374956
2001-07-31 00:00:00+00:00,0.00104465
2001-08-01 00:00:00+00:00,0.00047424
2001-08-02 00:00:00+00:00,0.00372700
2001-08-03 00:00:00+00:00,0.00314541
2001-08-06 00:00:00+00:00,0.00345799
2001-08-07 00:00:00+00:00,-0.00347513
2001-08-08 00:00:00+00:00,0.00450797
2001-08-09 00:00:00+00:00,0.00641698
2001-08-10 00:00:00+00:00,0.00222231
2001-08-13 00:00:00+00:00,0.00628080
2001-08-14 00:00:00+00:00,0.00061962
2001-08-15 00:00:00+00:00,0.00259710
2001-08-16 00:00:00+00:00,-0.00277488
2001-08-17 00:00:00+00:00,0.00370624
