Date,IRON
2014-01-06 00:00:00+00:00,
2014-01-07 00:00:00+00:00,-0.00639552
2014-01-08 00:00:00+00:00,-0.00301175
2014-01-09 00:00:00+00:00,-0.03501770
2014-01-10 00:00:00+00:00,-0.00201851
2014-01-13 00:00:00+00:00,-0.02544025
2014-01-14 00:00:00+00:00,0.02713842
2014-01-15 00:00:00+00:00,-0.00604790
2014-01-16 00:00:00+00:00,-0.02552644
2014-01-17 00:00:00+00:00,-0.01981605
2014-01-20 00:00:00+00:00,-0.04124484
2014-01-21 00:00:00+00:00,-0.00724969
2014-01-22 00:00:00+00:00,0.04800929
2014-01-23 00:00:00+00:00,0.03784351
2014-01-24 00:00:00+00:00,-0.01687319
2014-01-27 00:00:00+00:00,-0.03111012
2014-01-28 00:00:00+00:00,-0.01296052
2014-01-29 00:00:00+00:00,-0.00092650
2014-01-30 00:00:00+00:00,-0.00379664
2014-01-31 00:00:00+00:00,-0.00144176
2014-02-03 00:00:00+00:00,0.00108971
2014-02-04 00:00:00+00:00,-0.00498705
2014-02-05 00:00:00+00:00,-0.00423877
2014-02-06 00:00:00+00:00,0.00422879
2014-02-07 00:00:00+00:00,-0.01472358
2014-02-10 00:00:00+00:00,-0.00435336
2014-02-11 00:00:00+00:00,-0.00751896
2014-02-12 00:00:00+00:00,0.01745625
2014-02-13 00:00:00+00:00,0.02978116
2014-02-14 00:00:00+00:00,0.00905552
2014-02-17 00:00:00+00:00,0.04694740
2014-02-18 00:00:00+00:00,-0.03825274
2014-02-19 00:00:00+00:00,-0.00083975
2014-02-20 00:00:00+00:00,-0.03088094
2014-02-21 00:00:00+00:00,0.00201861
2014-02-24 00:00:00+00:00,-0.05893561
2014-02-25 00:00:00+00:00,-0.02119026
2014-02-26 00:00:00+00:00,0.00165785
2014-02-27 00:00:00+00:00,0.02293635
2014-02-28 00:00:00+00:00,-0.01351450
2014-03-03 00:00:00+00:00,-0.01974864
2014-03-04 00:00:00+00:00,-0.01127187
2014-03-05 00:00:00+00:00,0.01015500
2014-03-06 00:00:00+00:00,-0.01437615
2014-03-07 00:00:00+00:00,-0.07093893
2014-03-10 00:00:00+00:00,-0.11664702
2014-03-11 00:00:00+00:00,0.07698306
2014-03-12 00:00:00+00:00,0.02289362
2014-03-13 00:00:00+00:00,0.07612368
2014-03-14 00:00:00+00:00,-0.05021124
2014-03-17 00:00:00+00:00,-0.01693991
2014-03-18 00:00:00+00:00,0.02982868
2014-03-19 00:00:00+00:00,-0.00961029
2014-03-20 00:00:00+00:00,-0.00881845
2014-03-21 00:00:00+00:00,-0.00112560
2014-03-24 00:00:00+00:00,0.02392576
2014-03-25 00:00:00+00:00,0.04386296
2014-03-26 00:00:00+00:00,0.00666347
2014-03-27 00:00:00+00:00,-0.00072683
2014-03-28 00:00:00+00:00,0.03366170
2014-03-31 00:00:00+00:00,0.00777148
2014-04-01 00:00:00+00:00,-0.01386078
2014-04-02 00:00:00+00:00,-0.04345087
2014-04-03 00:00:00+00:00,0.02026311
2014-04-04 00:00:00+00:00,0.02007122
2014-04-07 00:00:00+00:00,0.04469615
2014-04-08 00:00:00+00:00,0.02049074
2014-04-09 00:00:00+00:00,-0.01754844
2014-04-10 00:00:00+00:00,-0.02372668
2014-04-11 00:00:00+00:00,-0.00655787
2014-04-14 00:00:00+00:00,-0.01357433
2014-04-15 00:00:00+00:00,-0.01245792
2014-04-16 00:00:00+00:00,-0.00453401
2014-04-17 00:00:00+00:00,0.00150595
2014-04-21 00:00:00+00:00,-0.03253418
2014-04-22 00:00:00+00:00,-0.01735632
2014-04-23 00:00:00+00:00,0.00967320
2014-04-24 00:00:00+00:00,0.01307675
2014-04-25 00:00:00+00:00,-0.02312215
2014-04-28 00:00:00+00:00,-0.07174875
2014-04-29 00:00:00+00:00,0.00947151
2014-04-30 00:00:00+00:00,-0.02904199
2014-05-01 00:00:00+00:00,-0.00000077
2014-05-02 00:00:00+00:00,0.02184403
