Date,MIB
2022-09-20 00:00:00+00:00,
2022-09-21 00:00:00+00:00,0.02321627
2022-09-22 00:00:00+00:00,-0.02039036
2022-09-23 00:00:00+00:00,-0.06691851
2022-09-26 00:00:00+00:00,0.01480956
2022-09-27 00:00:00+00:00,-0.02210614
2022-09-28 00:00:00+00:00,-0.01182086
2022-09-29 00:00:00+00:00,-0.05087611
2022-09-30 00:00:00+00:00,0.02731434
2022-10-03 00:00:00+00:00,0.02986393
2022-10-04 00:00:00+00:00,0.06768210
2022-10-05 00:00:00+00:00,-0.02921442
2022-10-06 00:00:00+00:00,-0.01634440
2022-10-07 00:00:00+00:00,-0.02419349
2022-10-10 00:00:00+00:00,0.00146644
2022-10-11 00:00:00+00:00,-0.01906735
2022-10-12 00:00:00+00:00,-0.02264794
2022-10-13 00:00:00+00:00,0.02748249
2022-10-14 00:00:00+00:00,0.01803471
2022-10-17 00:00:00+00:00,0.03392955
2022-10-18 00:00:00+00:00,0.01921480
2022-10-19 00:00:00+00:00,-0.00454795
2022-10-20 00:00:00+00:00,0.01965543
2022-10-21 00:00:00+00:00,-0.01088408
2022-10-24 00:00:00+00:00,0.04006822
2022-10-25 00:00:00+00:00,0.02580144
2022-10-26 00:00:00+00:00,0.01048016
2022-10-27 00:00:00+00:00,0.01715234
2022-10-28 00:00:00+00:00,-0.00456156
2022-10-31 00:00:00+00:00,0.00902013
2022-11-01 00:00:00+00:00,0.01186025
2022-11-02 00:00:00+00:00,0.00263936
2022-11-03 00:00:00+00:00,-0.00980394
2022-11-04 00:00:00+00:00,0.05143827
2022-11-07 00:00:00+00:00,0.01702937
2022-11-08 00:00:00+00:00,0.01901990
2022-11-09 00:00:00+00:00,0.00655390
2022-11-10 00:00:00+00:00,0.05234116
2022-11-11 00:00:00+00:00,0.00481905
2022-11-14 00:00:00+00:00,0.00952724
2022-11-15 00:00:00+00:00,0.00886763
2022-11-16 00:00:00+00:00,-0.01170923
2022-11-17 00:00:00+00:00,-0.01812431
2022-11-18 00:00:00+00:00,0.02599513
2022-11-21 00:00:00+00:00,-0.01183787
2022-11-22 00:00:00+00:00,0.01925135
2022-11-23 00:00:00+00:00,-0.00154246
2022-11-24 00:00:00+00:00,0.01196962
2022-11-25 00:00:00+00:00,-0.00214076
2022-11-28 00:00:00+00:00,-0.02124777
2022-11-29 00:00:00+00:00,0.00110251
2022-11-30 00:00:00+00:00,0.01151459
2022-12-01 00:00:00+00:00,0.00373521
2022-12-02 00:00:00+00:00,-0.00579419
2022-12-05 00:00:00+00:00,-0.00458927
2022-12-06 00:00:00+00:00,-0.02078248
2022-12-07 00:00:00+00:00,-0.00505628
2022-12-08 00:00:00+00:00,-0.00249086
2022-12-09 00:00:00+00:00,0.00545244
2022-12-12 00:00:00+00:00,0.00327536
2022-12-13 00:00:00+00:00,0.02504685
2022-12-14 00:00:00+00:00,-0.00478950
2022-12-15 00:00:00+00:00,-0.07028651
2022-12-16 00:00:00+00:00,-0.00349313
2022-12-19 00:00:00+00:00,0.00009033
2022-12-20 00:00:00+00:00,-0.00075371
2022-12-21 00:00:00+00:00,0.03362623
2022-12-22 00:00:00+00:00,-0.02439080
2022-12-23 00:00:00+00:00,0.00575723
2022-12-27 00:00:00+00:00,-0.00263369
2022-12-28 00:00:00+00:00,-0.00641409
2022-12-29 00:00:00+00:00,0.02406057
2022-12-30 00:00:00+00:00,-0.02973439
2023-01-02 00:00:00+00:00,0.03530784
2023-01-03 00:00:00+00:00,0.02494941
2023-01-04 00:00:00+00:00,0.03414755
2023-01-05 00:00:00+00:00,-0.00304690
2023-01-06 00:00:00+00:00,0.02757495
2023-01-09 00:00:00+00:00,0.01914686
2023-01-10 00:00:00+00:00,-0.00259264
2023-01-11 00:00:00+00:00,0.01149760
2023-01-12 00:00:00+00:00,0.01780106
2023-01-13 00:00:00+00:00,0.00200668
2023-01-16 00:00:00+00:00,0.00957135
2023-01-17 00:00:00+00:00,0.00421470
2023-01-18 00:00:00+00:00,0.00632340
2023-01-19 00:00:00+00:00,-0.03441189
2023-01-20 00:00:00+00:00,0.01208080
2023-01-23 00:00:00+00:00,0.01152153
2023-01-24 00:00:00+00:00,0.00508042
2023-01-25 00:00:00+00:00,-0.00090163
2023-01-26 00:00:00+00:00,0.02356138
2023-01-27 00:00:00+00:00,0.01976008
2023-01-30 00:00:00+00:00,-0.00851927
2023-01-31 00:00:00+00:00,0.01785037
2023-02-01 00:00:00+00:00,0.00774394
2023-02-02 00:00:00+00:00,0.02984164
2023-02-03 00:00:00+00:00,-0.01135442
2023-02-06 00:00:00+00:00,0.00199681
2023-02-07 00:00:00+00:00,0.00864633
2023-02-08 00:00:00+00:00,0.00455899
2023-02-09 00:00:00+00:00,0.02216249
2023-02-10 00:00:00+00:00,-0.01682941
2023-02-13 00:00:00+00:00,0.01276968
2023-02-14 00:00:00+00:00,0.00513836
2023-02-15 00:00:00+00:00,0.00231476
2023-02-16 00:00:00+00:00,0.02223639
2023-02-17 00:00:00+00:00,-0.00712063
2023-02-20 00:00:00+00:00,-0.01020163
2023-02-21 00:00:00+00:00,-0.01477462
2023-02-22 00:00:00+00:00,-0.02279867
2023-02-23 00:00:00+00:00,0.01229186
2023-02-24 00:00:00+00:00,-0.02208557
2023-02-27 00:00:00+00:00,0.03343583
2023-02-28 00:00:00+00:00,0.00159186
2023-03-01 00:00:00+00:00,-0.01267751
2023-03-02 00:00:00+00:00,0.00635328
2023-03-03 00:00:00+00:00,0.03066323
2023-03-06 00:00:00+00:00,0.00775916
2023-03-07 00:00:00+00:00,-0.01309981
2023-03-08 00:00:00+00:00,0.01002699
2023-03-09 00:00:00+00:00,-0.01356699
2023-03-10 00:00:00+00:00,-0.03420537
2023-03-13 00:00:00+00:00,-0.07595844
2023-03-14 00:00:00+00:00,0.04340463
2023-03-15 00:00:00+00:00,-0.09396810
2023-03-16 00:00:00+00:00,0.02834413
2023-03-17 00:00:00+00:00,-0.03418560
2023-03-20 00:00:00+00:00,0.03083760
2023-03-21 00:00:00+00:00,0.05404004
2023-03-22 00:00:00+00:00,-0.00223909
2023-03-23 00:00:00+00:00,-0.00319873
2023-03-24 00:00:00+00:00,-0.04554704
2023-03-27 00:00:00+00:00,0.02443170
2023-03-28 00:00:00+00:00,0.00928067
2023-03-29 00:00:00+00:00,0.02971809
2023-03-30 00:00:00+00:00,0.02032537
2023-03-31 00:00:00+00:00,0.00862549
2023-04-03 00:00:00+00:00,0.00427507
2023-04-04 00:00:00+00:00,-0.01127427
2023-04-05 00:00:00+00:00,-0.01387868
2023-04-06 00:00:00+00:00,0.02602150
2023-04-11 00:00:00+00:00,0.02128258
2023-04-12 00:00:00+00:00,0.00957791
2023-04-13 00:00:00+00:00,-0.00078592
2023-04-14 00:00:00+00:00,0.01801034
2023-04-17 00:00:00+00:00,-0.01082826
2023-04-18 00:00:00+00:00,0.01197340
2023-04-19 00:00:00+00:00,0.00350570
2023-04-20 00:00:00+00:00,-0.02255157
2023-04-21 00:00:00+00:00,0.00667357
2023-04-24 00:00:00+00:00,0.01050800
2023-04-25 00:00:00+00:00,-0.02087425
2023-04-26 00:00:00+00:00,-0.01306418
2023-04-27 00:00:00+00:00,0.00570601
2023-04-28 00:00:00+00:00,-0.00671913
2023-05-02 00:00:00+00:00,-0.03536642
2023-05-03 00:00:00+00:00,0.01498968
2023-05-04 00:00:00+00:00,-0.01263607
2023-05-05 00:00:00+00:00,0.04982867
2023-05-08 00:00:00+00:00,0.00685719
2023-05-09 00:00:00+00:00,-0.00483219
2023-05-10 00:00:00+00:00,-0.00751189
2023-05-11 00:00:00+00:00,-0.01262003
2023-05-12 00:00:00+00:00,0.01761450
2023-05-15 00:00:00+00:00,-0.00724200
2023-05-16 00:00:00+00:00,-0.00338385
2023-05-17 00:00:00+00:00,-0.00172268
2023-05-18 00:00:00+00:00,0.00458029
2023-05-19 00:00:00+00:00,0.01863141
2023-05-22 00:00:00+00:00,0.00681676
2023-05-23 00:00:00+00:00,-0.01065171
2023-05-24 00:00:00+00:00,-0.04660621
2023-05-25 00:00:00+00:00,-0.00908007
2023-05-26 00:00:00+00:00,0.02147079
2023-05-29 00:00:00+00:00,-0.00752766
2023-05-30 00:00:00+00:00,-0.00296113
2023-05-31 00:00:00+00:00,-0.04089163
2023-06-01 00:00:00+00:00,0.03846158
2023-06-02 00:00:00+00:00,0.03801018
2023-06-05 00:00:00+00:00,-0.01721257
2023-06-06 00:00:00+00:00,0.01362040
2023-06-07 00:00:00+00:00,0.00142170
2023-06-08 00:00:00+00:00,0.01665903
2023-06-09 00:00:00+00:00,-0.00848026
2023-06-12 00:00:00+00:00,0.01704631
2023-06-13 00:00:00+00:00,0.01371213
2023-06-14 00:00:00+00:00,0.01687856
2023-06-15 00:00:00+00:00,-0.00742151
2023-06-16 00:00:00+00:00,0.00462973
2023-06-19 00:00:00+00:00,0.00553044
2023-06-20 00:00:00+00:00,-0.01170450
2023-06-21 00:00:00+00:00,0.00156402
2023-06-22 00:00:00+00:00,-0.01644917
2023-06-23 00:00:00+00:00,-0.01449412
2023-06-26 00:00:00+00:00,0.00259432
2023-06-27 00:00:00+00:00,0.01135811
2023-06-28 00:00:00+00:00,0.01673962
2023-06-29 00:00:00+00:00,0.01911889
2023-06-30 00:00:00+00:00,0.02330565
2023-07-03 00:00:00+00:00,0.01536447
2023-07-04 00:00:00+00:00,-0.00426023
