Date,JP-REALESTATE
2018-06-11 00:00:00+00:00,
2018-06-12 00:00:00+00:00,0.00430983
2018-06-13 00:00:00+00:00,-0.00267512
2018-06-14 00:00:00+00:00,0.00226892
2018-06-15 00:00:00+00:00,0.00168467
2018-06-18 00:00:00+00:00,0.00139288
2018-06-19 00:00:00+00:00,-0.00383227
2018-06-20 00:00:00+00:00,-0.00209497
2018-06-21 00:00:00+00:00,0.01449229
2018-06-22 00:00:00+00:00,0.01034260
2018-06-25 00:00:00+00:00,-0.01040633
2018-06-26 00:00:00+00:00,0.04125796
2018-06-27 00:00:00+00:00,-0.01336225
2018-06-28 00:00:00+00:00,-0.01145825
2018-06-29 00:00:00+00:00,0.00395358
2018-07-02 00:00:00+00:00,-0.00692447
2018-07-03 00:00:00+00:00,0.01084631
2018-07-04 00:00:00+00:00,-0.00262994
2018-07-05 00:00:00+00:00,0.00451400
2018-07-06 00:00:00+00:00,0.00079576
2018-07-09 00:00:00+00:00,0.00906183
2018-07-10 00:00:00+00:00,-0.01141136
2018-07-11 00:00:00+00:00,0.00165218
2018-07-12 00:00:00+00:00,0.00165032
2018-07-13 00:00:00+00:00,-0.00091515
2018-07-17 00:00:00+00:00,0.00991544
2018-07-18 00:00:00+00:00,0.00164033
2018-07-19 00:00:00+00:00,-0.00629512
2018-07-20 00:00:00+00:00,0.00846693
2018-07-23 00:00:00+00:00,-0.02213785
2018-07-24 00:00:00+00:00,-0.00807515
2018-07-25 00:00:00+00:00,0.00511113
2018-07-26 00:00:00+00:00,-0.00464684
2018-07-27 00:00:00+00:00,0.01085534
2018-07-30 00:00:00+00:00,-0.01548962
2018-07-31 00:00:00+00:00,0.02470027
2018-08-01 00:00:00+00:00,-0.01371389
2018-08-02 00:00:00+00:00,0.01024784
2018-08-03 00:00:00+00:00,0.00449693
2018-08-06 00:00:00+00:00,-0.00631520
2018-08-07 00:00:00+00:00,-0.00405481
2018-08-08 00:00:00+00:00,-0.00291996
2018-08-09 00:00:00+00:00,-0.00635739
2018-08-10 00:00:00+00:00,-0.00350684
2018-08-13 00:00:00+00:00,-0.01156335
2018-08-14 00:00:00+00:00,0.00543092
2018-08-15 00:00:00+00:00,0.00916396
2018-08-16 00:00:00+00:00,0.00826067
2018-08-17 00:00:00+00:00,-0.01778691
2018-08-20 00:00:00+00:00,0.01753208
2018-08-21 00:00:00+00:00,-0.00377993
2018-08-22 00:00:00+00:00,0.00337380
2018-08-23 00:00:00+00:00,-0.00635459
2018-08-24 00:00:00+00:00,0.00796824
2018-08-27 00:00:00+00:00,-0.00635003
2018-08-28 00:00:00+00:00,0.00681197
2018-08-29 00:00:00+00:00,0.00793296
2018-08-30 00:00:00+00:00,-0.00233950
2018-08-31 00:00:00+00:00,-0.00405047
2018-09-03 00:00:00+00:00,-0.00519966
2018-09-04 00:00:00+00:00,0.00165174
2018-09-05 00:00:00+00:00,-0.00349458
2018-09-06 00:00:00+00:00,0.00480199
2018-09-07 00:00:00+00:00,-0.00720386
2018-09-10 00:00:00+00:00,-0.00780354
2018-09-11 00:00:00+00:00,0.01029417
2018-09-12 00:00:00+00:00,-0.00464478
2018-09-13 00:00:00+00:00,-0.00350979
2018-09-14 00:00:00+00:00,0.00339067
2018-09-18 00:00:00+00:00,0.00568428
2018-09-19 00:00:00+00:00,0.00050748
2018-09-20 00:00:00+00:00,-0.00350536
