Date,MSCISING
2002-05-13 00:00:00+00:00,-0.01109713
2002-05-14 00:00:00+00:00,-0.00467970
2002-05-15 00:00:00+00:00,0.01432016
2002-05-16 00:00:00+00:00,-0.01017097
2002-05-17 00:00:00+00:00,0.01659190
2002-05-20 00:00:00+00:00,-0.01701663
2002-05-21 00:00:00+00:00,0.00503650
2002-05-22 00:00:00+00:00,0.01932159
2002-05-23 00:00:00+00:00,-0.02106526
2002-05-24 00:00:00+00:00,-0.00789967
2002-05-28 00:00:00+00:00,-0.00097900
2002-05-29 00:00:00+00:00,-0.03915752
2002-05-30 00:00:00+00:00,0.00754596
2002-05-31 00:00:00+00:00,-0.01613436
2002-06-03 00:00:00+00:00,-0.01817306
2002-06-04 00:00:00+00:00,-0.01256369
2002-06-05 00:00:00+00:00,-0.00005138
2002-06-06 00:00:00+00:00,-0.02232353
2002-06-07 00:00:00+00:00,-0.00396883
2002-06-10 00:00:00+00:00,0.02153814
2002-06-11 00:00:00+00:00,-0.00102225
2002-06-12 00:00:00+00:00,-0.00102245
2002-06-13 00:00:00+00:00,-0.00685327
2002-06-14 00:00:00+00:00,-0.05660804
2002-06-17 00:00:00+00:00,0.00496646
2002-06-18 00:00:00+00:00,0.00895819
2002-06-19 00:00:00+00:00,-0.06083751
2002-06-20 00:00:00+00:00,0.01844866
2002-06-21 00:00:00+00:00,-0.04383873
2002-06-24 00:00:00+00:00,-0.01202403
2002-06-25 00:00:00+00:00,0.01303818
2002-06-26 00:00:00+00:00,-0.05172598
2002-06-27 00:00:00+00:00,0.02965823
2002-06-28 00:00:00+00:00,0.02922340
2002-07-01 00:00:00+00:00,-0.01653689
2002-07-02 00:00:00+00:00,0.00826114
2002-07-03 00:00:00+00:00,0.04133590
2002-07-04 00:00:00+00:00,0.01211367
2002-07-05 00:00:00+00:00,0.07249354
2002-07-08 00:00:00+00:00,-0.02533036
2002-07-09 00:00:00+00:00,0.03146103
2002-07-10 00:00:00+00:00,-0.01556194
2002-07-11 00:00:00+00:00,-0.03815509
2002-07-12 00:00:00+00:00,0.01787802
2002-07-15 00:00:00+00:00,-0.00103771
2002-07-16 00:00:00+00:00,-0.02375425
2002-07-17 00:00:00+00:00,-0.01604255
2002-07-18 00:00:00+00:00,-0.00307321
2002-07-19 00:00:00+00:00,-0.03130027
2002-07-22 00:00:00+00:00,-0.03592902
2002-07-23 00:00:00+00:00,0.06101473
2002-07-24 00:00:00+00:00,-0.04357198
2002-07-25 00:00:00+00:00,0.01159382
2002-07-26 00:00:00+00:00,-0.02635166
2002-07-29 00:00:00+00:00,0.00954434
2002-07-30 00:00:00+00:00,0.00101046
2002-07-31 00:00:00+00:00,-0.00747338
2002-08-01 00:00:00+00:00,-0.00004943
2002-08-02 00:00:00+00:00,-0.00004444
2002-08-05 00:00:00+00:00,-0.04794254
2002-08-06 00:00:00+00:00,-0.00877270
2002-08-07 00:00:00+00:00,0.03116884
2002-08-08 00:00:00+00:00,0.00102924
2002-08-09 00:00:00+00:00,-0.00004777
2002-08-12 00:00:00+00:00,-0.00327511
2002-08-13 00:00:00+00:00,0.05601665
2002-08-14 00:00:00+00:00,-0.00004832
2002-08-15 00:00:00+00:00,0.00205447
2002-08-16 00:00:00+00:00,0.00309689
2002-08-19 00:00:00+00:00,0.00675357
2002-08-20 00:00:00+00:00,0.00516328
2002-08-21 00:00:00+00:00,0.00930746
2002-08-22 00:00:00+00:00,0.01495399
2002-08-23 00:00:00+00:00,-0.03189246
2002-08-26 00:00:00+00:00,-0.00422698
2002-08-27 00:00:00+00:00,-0.02416749
2002-08-28 00:00:00+00:00,0.00101242
2002-08-29 00:00:00+00:00,-0.03506270
2002-08-30 00:00:00+00:00,-0.00004971
2002-09-02 00:00:00+00:00,-0.03784309
2002-09-03 00:00:00+00:00,-0.02096192
2002-09-04 00:00:00+00:00,0.00996308
2002-09-05 00:00:00+00:00,-0.01000875
2002-09-06 00:00:00+00:00,-0.00561061
2002-09-09 00:00:00+00:00,-0.03239773
2002-09-10 00:00:00+00:00,0.04870340
2002-09-11 00:00:00+00:00,-0.00447694
2002-09-12 00:00:00+00:00,-0.02556274
2002-09-13 00:00:00+00:00,-0.01802724
2002-09-16 00:00:00+00:00,0.01355518
2002-09-17 00:00:00+00:00,0.03598605
2002-09-18 00:00:00+00:00,-0.04319103
2002-09-19 00:00:00+00:00,0.03273829
2002-09-20 00:00:00+00:00,-0.03675605
2002-09-23 00:00:00+00:00,-0.02157835
2002-09-24 00:00:00+00:00,-0.02925822
2002-09-25 00:00:00+00:00,-0.03308363
2002-09-26 00:00:00+00:00,-0.00004860
2002-09-27 00:00:00+00:00,0.03834788
2002-09-30 00:00:00+00:00,-0.04477857
2002-10-01 00:00:00+00:00,0.02042266
2002-10-02 00:00:00+00:00,-0.00481424
2002-10-03 00:00:00+00:00,-0.00004638
2002-10-04 00:00:00+00:00,0.02624046
2002-10-07 00:00:00+00:00,0.00466894
2002-10-08 00:00:00+00:00,0.03407016
2002-10-09 00:00:00+00:00,-0.03474852
2002-10-10 00:00:00+00:00,-0.02476708
2002-10-11 00:00:00+00:00,0.02736693
2002-10-14 00:00:00+00:00,0.00935958
2002-10-15 00:00:00+00:00,0.08655092
2002-10-16 00:00:00+00:00,0.01004647
2002-10-17 00:00:00+00:00,0.03789727
2002-10-18 00:00:00+00:00,-0.01209735
2002-10-21 00:00:00+00:00,-0.00555991
2002-10-22 00:00:00+00:00,-0.00557457
2002-10-23 00:00:00+00:00,0.01601705
2002-10-24 00:00:00+00:00,-0.01595644
2002-10-25 00:00:00+00:00,0.03340009
2002-10-28 00:00:00+00:00,0.01968991
2002-10-29 00:00:00+00:00,-0.03696110
2002-10-30 00:00:00+00:00,-0.00336330
2002-10-31 00:00:00+00:00,0.01436139
2002-11-01 00:00:00+00:00,-0.07154991
2002-11-05 00:00:00+00:00,0.02163464
2002-11-06 00:00:00+00:00,0.01576414
2002-11-07 00:00:00+00:00,-0.02579281
2002-11-08 00:00:00+00:00,-0.00570908
2002-11-11 00:00:00+00:00,-0.02279006
2002-11-12 00:00:00+00:00,-0.00233843
2002-11-13 00:00:00+00:00,-0.02883850
2002-11-14 00:00:00+00:00,0.00230088
2002-11-15 00:00:00+00:00,0.04141082
2002-11-18 00:00:00+00:00,-0.01718007
2002-11-19 00:00:00+00:00,-0.02193867
2002-11-20 00:00:00+00:00,-0.01518845
2002-11-21 00:00:00+00:00,0.03578221
2002-11-22 00:00:00+00:00,0.02881449
2002-11-25 00:00:00+00:00,0.00110017
2002-11-26 00:00:00+00:00,-0.03298788
2002-11-27 00:00:00+00:00,-0.01274663
2002-11-28 00:00:00+00:00,0.02205581
2002-11-29 00:00:00+00:00,-0.02533883
2002-12-02 00:00:00+00:00,0.00578662
2002-12-03 00:00:00+00:00,-0.01862025
2002-12-04 00:00:00+00:00,-0.01527726
2002-12-05 00:00:00+00:00,-0.01539429
2002-12-09 00:00:00+00:00,-0.02384673
2002-12-10 00:00:00+00:00,0.01442118
2002-12-11 00:00:00+00:00,0.00594421
2002-12-12 00:00:00+00:00,0.02143025
2002-12-13 00:00:00+00:00,-0.02835524
2002-12-16 00:00:00+00:00,-0.00602165
2002-12-17 00:00:00+00:00,-0.03305014
2002-12-18 00:00:00+00:00,-0.00491768
2002-12-19 00:00:00+00:00,0.02809790
2002-12-20 00:00:00+00:00,-0.00908370
2002-12-23 00:00:00+00:00,-0.01033913
2002-12-24 00:00:00+00:00,0.00301082
2002-12-26 00:00:00+00:00,-0.02311849
2002-12-27 00:00:00+00:00,0.02209135
2002-12-30 00:00:00+00:00,-0.02313724
2002-12-31 00:00:00+00:00,0.02702334
2003-01-02 00:00:00+00:00,-0.00731849
2003-01-03 00:00:00+00:00,0.00361715
2003-01-06 00:00:00+00:00,-0.01948954
2003-01-07 00:00:00+00:00,-0.01354132
2003-01-08 00:00:00+00:00,0.02159554
2003-01-09 00:00:00+00:00,-0.00065025
2003-01-10 00:00:00+00:00,0.02320521
2003-01-13 00:00:00+00:00,0.07191014
2003-01-14 00:00:00+00:00,0.03745658
2003-01-15 00:00:00+00:00,-0.03098194
2003-01-16 00:00:00+00:00,-0.00934898
2003-01-17 00:00:00+00:00,-0.02576682
2003-01-20 00:00:00+00:00,-0.00892208
2003-01-21 00:00:00+00:00,0.00769279
2003-01-22 00:00:00+00:00,0.00114929
2003-01-23 00:00:00+00:00,-0.00062761
2003-01-24 00:00:00+00:00,-0.01602693
2003-01-27 00:00:00+00:00,-0.03976705
2003-01-28 00:00:00+00:00,0.01716319
2003-01-29 00:00:00+00:00,-0.06702729
2003-01-30 00:00:00+00:00,-0.00633702
2003-01-31 00:00:00+00:00,-0.01520649
2003-02-04 00:00:00+00:00,0.01206664
2003-02-05 00:00:00+00:00,-0.00256587
2003-02-06 00:00:00+00:00,0.00123108
2003-02-07 00:00:00+00:00,-0.00636466
2003-02-10 00:00:00+00:00,0.00123430
2003-02-11 00:00:00+00:00,0.01392385
2003-02-13 00:00:00+00:00,-0.04036335
2003-02-14 00:00:00+00:00,0.00768605
2003-02-17 00:00:00+00:00,0.04355378
2003-02-18 00:00:00+00:00,-0.01007346
2003-02-19 00:00:00+00:00,0.03022886
2003-02-20 00:00:00+00:00,0.00990179
2003-02-21 00:00:00+00:00,-0.00374452
2003-02-24 00:00:00+00:00,0.00739382
2003-02-25 00:00:00+00:00,-0.02286193
2003-02-26 00:00:00+00:00,-0.01392153
2003-02-27 00:00:00+00:00,-0.01020816
2003-02-28 00:00:00+00:00,-0.00642629
2003-03-03 00:00:00+00:00,0.02047644
2003-03-04 00:00:00+00:00,-0.02287874
2003-03-05 00:00:00+00:00,-0.01287293
2003-03-06 00:00:00+00:00,-0.03621139
2003-03-07 00:00:00+00:00,-0.02898166
2003-03-10 00:00:00+00:00,-0.01204907
2003-03-11 00:00:00+00:00,-0.00003332
2003-03-12 00:00:00+00:00,0.03623651
2003-03-13 00:00:00+00:00,-0.02312178
2003-03-14 00:00:00+00:00,0.05056463
2003-03-17 00:00:00+00:00,-0.04743745
2003-03-18 00:00:00+00:00,0.08374133
2003-03-19 00:00:00+00:00,0.03187284
2003-03-20 00:00:00+00:00,0.04142202
2003-03-21 00:00:00+00:00,0.02888726
2003-03-24 00:00:00+00:00,-0.06189149
2003-03-25 00:00:00+00:00,-0.00253895
2003-03-26 00:00:00+00:00,0.03509952
