,0
2013-12-25 00:00:00+00:00,1.846406
2013-12-26 00:00:00+00:00,1.850103
2013-12-27 00:00:00+00:00,1.850103
2013-12-30 00:00:00+00:00,1.850103
2013-12-31 00:00:00+00:00,1.850103
2014-01-01 00:00:00+00:00,1.858525
2014-01-02 00:00:00+00:00,1.858525
2014-01-03 00:00:00+00:00,1.846406
2014-01-06 00:00:00+00:00,1.845341
2014-01-07 00:00:00+00:00,1.831845
2014-01-08 00:00:00+00:00,1.830288
2014-01-09 00:00:00+00:00,1.830288
2014-01-10 00:00:00+00:00,1.830288
2014-01-13 00:00:00+00:00,1.830288
2014-01-14 00:00:00+00:00,1.830288
2014-01-15 00:00:00+00:00,1.785993
2014-01-16 00:00:00+00:00,1.785589
2014-01-17 00:00:00+00:00,1.333601
2014-01-20 00:00:00+00:00,1.273279
2014-01-21 00:00:00+00:00,1.275828
2014-01-22 00:00:00+00:00,1.275828
2014-01-23 00:00:00+00:00,1.275828
2014-01-24 00:00:00+00:00,1.275828
2014-01-27 00:00:00+00:00,1.270857
2014-01-28 00:00:00+00:00,1.272128
2014-01-29 00:00:00+00:00,1.272128
2014-01-30 00:00:00+00:00,1.272128
2014-01-31 00:00:00+00:00,1.272128
2014-02-03 00:00:00+00:00,1.272128
2014-02-04 00:00:00+00:00,1.275828
2014-02-05 00:00:00+00:00,1.277833
2014-02-06 00:00:00+00:00,1.287361
2014-02-07 00:00:00+00:00,1.308463
2014-02-10 00:00:00+00:00,1.309852
2014-02-11 00:00:00+00:00,1.310528
2014-02-12 00:00:00+00:00,1.327328
2014-02-13 00:00:00+00:00,1.331101
2014-02-14 00:00:00+00:00,1.354264
2014-02-17 00:00:00+00:00,1.381580
2014-02-18 00:00:00+00:00,1.416229
2014-02-19 00:00:00+00:00,1.432136
2014-02-20 00:00:00+00:00,1.464706
2014-02-21 00:00:00+00:00,1.486365
2014-02-24 00:00:00+00:00,1.491371
2014-02-25 00:00:00+00:00,1.525519
2014-02-26 00:00:00+00:00,1.554672
2014-02-27 00:00:00+00:00,1.569588
2014-02-28 00:00:00+00:00,1.592321
2014-03-03 00:00:00+00:00,1.596497
2014-03-04 00:00:00+00:00,1.634677
2014-03-05 00:00:00+00:00,1.635195
2014-03-06 00:00:00+00:00,1.667320
2014-03-07 00:00:00+00:00,1.694276
2014-03-10 00:00:00+00:00,1.737123
2014-03-11 00:00:00+00:00,1.738625
2014-03-12 00:00:00+00:00,1.779006
2014-03-13 00:00:00+00:00,1.798207
2014-03-14 00:00:00+00:00,1.815830
2014-03-17 00:00:00+00:00,1.851973
2014-03-18 00:00:00+00:00,1.891889
2014-03-19 00:00:00+00:00,1.907214
2014-03-20 00:00:00+00:00,1.914631
2014-03-21 00:00:00+00:00,1.935533
2014-03-24 00:00:00+00:00,1.939032
2014-03-25 00:00:00+00:00,1.954607
2014-03-26 00:00:00+00:00,1.983548
2014-03-27 00:00:00+00:00,2.000000
2014-03-28 00:00:00+00:00,2.000000
2014-03-31 00:00:00+00:00,2.000000
2014-04-01 00:00:00+00:00,2.000000
2014-04-02 00:00:00+00:00,2.000000
2014-04-03 00:00:00+00:00,2.000000
2014-04-04 00:00:00+00:00,2.000000
2014-04-07 00:00:00+00:00,2.000000
2014-04-08 00:00:00+00:00,2.000000
2014-04-09 00:00:00+00:00,2.000000
2014-04-10 00:00:00+00:00,2.000000
2014-04-11 00:00:00+00:00,2.000000
2014-04-14 00:00:00+00:00,2.000000
2014-04-15 00:00:00+00:00,2.000000
2014-04-16 00:00:00+00:00,2.000000
2014-04-17 00:00:00+00:00,2.000000
2014-04-18 00:00:00+00:00,2.000000
2014-04-21 00:00:00+00:00,2.000000
2014-04-22 00:00:00+00:00,2.000000
2014-04-23 00:00:00+00:00,2.000000
2014-04-24 00:00:00+00:00,2.000000
2014-04-25 00:00:00+00:00,2.000000
2014-04-28 00:00:00+00:00,2.000000
2014-04-29 00:00:00+00:00,2.000000
2014-04-30 00:00:00+00:00,2.000000
2014-05-01 00:00:00+00:00,2.000000
2014-05-02 00:00:00+00:00,2.000000
2014-05-05 00:00:00+00:00,2.000000
2014-05-06 00:00:00+00:00,2.000000
2014-05-07 00:00:00+00:00,2.000000
2014-05-08 00:00:00+00:00,2.000000
2014-05-09 00:00:00+00:00,2.000000
2014-05-12 00:00:00+00:00,2.000000
2014-05-13 00:00:00+00:00,2.000000
2014-05-14 00:00:00+00:00,2.000000
2014-05-15 00:00:00+00:00,2.000000
2014-05-16 00:00:00+00:00,2.000000
2014-05-19 00:00:00+00:00,2.000000
2014-05-20 00:00:00+00:00,2.000000
2014-05-21 00:00:00+00:00,2.000000
2014-05-22 00:00:00+00:00,2.000000
2014-05-23 00:00:00+00:00,2.000000
2014-05-26 00:00:00+00:00,2.000000
2014-05-27 00:00:00+00:00,2.000000
2014-05-28 00:00:00+00:00,2.000000
2014-05-29 00:00:00+00:00,2.000000
2014-05-30 00:00:00+00:00,2.000000
2014-06-02 00:00:00+00:00,2.000000
2014-06-03 00:00:00+00:00,2.000000
2014-06-04 00:00:00+00:00,2.000000
2014-06-05 00:00:00+00:00,2.000000
2014-06-06 00:00:00+00:00,2.000000
2014-06-09 00:00:00+00:00,2.000000
2014-06-10 00:00:00+00:00,1.998000
2014-06-11 00:00:00+00:00,2.000000
2014-06-12 00:00:00+00:00,2.000000
2014-06-13 00:00:00+00:00,2.000000
2014-06-16 00:00:00+00:00,2.000000
2014-06-17 00:00:00+00:00,2.000000
2014-06-18 00:00:00+00:00,2.000000
2014-06-19 00:00:00+00:00,1.998000
2014-06-20 00:00:00+00:00,1.998000
2014-06-23 00:00:00+00:00,2.000000
2014-06-24 00:00:00+00:00,2.000000
2014-06-25 00:00:00+00:00,1.998000
2014-06-26 00:00:00+00:00,1.998000
2014-06-27 00:00:00+00:00,1.998000
2014-06-30 00:00:00+00:00,2.000000
2014-07-01 00:00:00+00:00,2.000000
2014-07-02 00:00:00+00:00,1.998000
2014-07-03 00:00:00+00:00,1.998000
2014-07-04 00:00:00+00:00,1.998000
2014-07-07 00:00:00+00:00,1.998000
2014-07-08 00:00:00+00:00,1.982820
2014-07-09 00:00:00+00:00,1.982820
