,x,y,regime
2020-12-31 00:00:00+00:00,0.00034583,0.05577427,Strong Bull
2021-01-31 00:00:00+00:00,0.00000000,-0.01397341,Strong Bull
2021-02-28 00:00:00+00:00,0.00000000,0.06322828,Strong Bull
2021-03-31 00:00:00+00:00,0.00380540,0.02215181,Bull
2021-04-30 00:00:00+00:00,-0.00259835,0.00446285,Strong Bull
2021-05-31 00:00:00+00:00,-0.00013435,0.00448305,Strong Bull
2021-06-30 00:00:00+00:00,0.00055468,0.00184105,Bull
2021-07-31 00:00:00+00:00,0.00000000,-0.00765982,Weak Bull
2021-08-31 00:00:00+00:00,-0.00284928,-0.01849606,Neutral
2021-09-30 00:00:00+00:00,0.00132298,-0.00148674,Weak Bull
2021-10-31 00:00:00+00:00,0.00000000,0.03353534,Strong Bull
2021-11-30 00:00:00+00:00,-0.01441848,-0.03257075,Weak Bull
2021-12-31 00:00:00+00:00,-0.00522250,-0.00062277,Neutral
2022-01-31 00:00:00+00:00,-0.00019115,0.00487592,Weak Bull
2022-02-28 00:00:00+00:00,-0.00428593,0.01653820,Strong Bull
2022-03-31 00:00:00+00:00,-0.00531143,0.04895538,Strong Bull
2022-04-30 00:00:00+00:00,0.00000000,0.04752799,Strong Bull
2022-05-31 00:00:00+00:00,0.00215530,-0.00460167,Strong Bull
2022-06-30 00:00:00+00:00,-0.00201219,0.01896298,Strong Bull
2022-07-31 00:00:00+00:00,0.00000000,-0.02480448,Bear
2022-08-31 00:00:00+00:00,-0.00340140,0.02007184,Weak Bear
2022-09-30 00:00:00+00:00,-0.00172019,0.07172437,Bull
2022-10-31 00:00:00+00:00,0.00479043,-0.01358765,Strong Bull
2022-11-30 00:00:00+00:00,-0.00412524,-0.01767391,Neutral
2022-12-31 00:00:00+00:00,0.00000000,0.00143319,Bear
2023-01-31 00:00:00+00:00,-0.00057536,0.00566150,Strong Bear
2023-02-28 00:00:00+00:00,0.00026405,-0.02030771,Bull
2023-03-31 00:00:00+00:00,-0.00017339,-0.04595977,Weak Bear
2023-04-30 00:00:00+00:00,0.00000000,0.00086294,Weak Bear
2023-05-31 00:00:00+00:00,-0.00722748,-0.00442441,Bear
2023-06-30 00:00:00+00:00,0.00376916,0.03203165,Strong Bull
2023-07-31 00:00:00+00:00,-0.00003469,-0.00159605,Bull
2023-08-31 00:00:00+00:00,-0.00080919,-0.03573268,Neutral
2023-09-30 00:00:00+00:00,0.00000000,0.02605049,Weak Bull
2023-10-31 00:00:00+00:00,0.00296950,-0.00607133,Weak Bull
2023-11-30 00:00:00+00:00,-0.00165308,-0.03365709,Bear
2023-12-31 00:00:00+00:00,0.00000000,0.02559359,Strong Bear
2024-01-31 00:00:00+00:00,-0.00514901,-0.03078869,Bear
2024-02-29 00:00:00+00:00,0.00017273,0.02027434,Strong Bull
2024-03-31 00:00:00+00:00,0.00000000,0.03191092,Strong Bull
