,model,benchmark,alpha
2013-07-31 00:00:00+00:00,-0.00661104,-0.00061107,0.00338269
2013-08-31 00:00:00+00:00,0.02326280,0.00000000,0.03716898
2013-09-30 00:00:00+00:00,-0.01499027,-0.00401139,-0.01164521
2013-10-31 00:00:00+00:00,-0.01423848,-0.00248706,-0.02549685
2013-11-30 00:00:00+00:00,0.01249073,0.00000000,0.00091473
2013-12-31 00:00:00+00:00,0.03485407,-0.00124103,0.02662499
2014-01-31 00:00:00+00:00,-0.07385236,-0.00169456,-0.06452404
2014-02-28 00:00:00+00:00,0.00425424,-0.00103641,0.00599729
2014-03-31 00:00:00+00:00,-0.01224392,0.00281978,-0.01088878
2014-04-30 00:00:00+00:00,-0.02235776,0.00220835,-0.02585228
2014-05-31 00:00:00+00:00,0.03095524,0.00000000,0.01625093
2014-06-30 00:00:00+00:00,0.02794724,0.00099373,0.02891155
2014-07-31 00:00:00+00:00,-0.01755151,-0.01054168,-0.00978633
2014-08-31 00:00:00+00:00,0.03397259,0.00000000,0.00678258
2014-09-30 00:00:00+00:00,0.05119762,0.00643730,0.03182750
2014-10-31 00:00:00+00:00,0.00750271,0.01003575,-0.00718787
2014-11-30 00:00:00+00:00,0.07440533,0.00000000,0.02113252
2014-12-31 00:00:00+00:00,0.00321070,0.00251889,-0.00831415
2015-01-31 00:00:00+00:00,0.07238026,0.00000000,0.03277232
2015-02-28 00:00:00+00:00,-0.01334219,0.00000000,-0.00542563
2015-03-31 00:00:00+00:00,-0.01060288,-0.00071102,-0.02528637
2015-04-30 00:00:00+00:00,-0.03177850,-0.00733715,-0.00231815
2015-05-31 00:00:00+00:00,-0.01352868,0.00000000,-0.00624932
2015-06-30 00:00:00+00:00,-0.02603213,-0.00035256,0.01836371
2015-07-31 00:00:00+00:00,0.04576097,0.00248027,0.01999371
2015-08-31 00:00:00+00:00,-0.04248674,-0.00444525,-0.02629958
2015-09-30 00:00:00+00:00,-0.01213328,-0.00170124,-0.02791121
2015-10-31 00:00:00+00:00,-0.02320354,0.00000000,-0.01083393
2015-11-30 00:00:00+00:00,0.02888351,-0.00195700,0.00022180
2015-12-31 00:00:00+00:00,-0.02425113,-0.00125694,-0.01072188
2016-01-31 00:00:00+00:00,0.01853004,0.00000000,-0.01113844
2016-02-29 00:00:00+00:00,0.01983547,0.00354207,-0.00529517
2016-03-31 00:00:00+00:00,-0.00830968,0.00138307,0.02333415
2016-04-30 00:00:00+00:00,-0.01320625,0.00000000,0.00896310
2016-05-31 00:00:00+00:00,-0.03116135,-0.00150937,-0.01482516
2016-06-30 00:00:00+00:00,-0.02157549,0.00194657,-0.04079624
2016-07-31 00:00:00+00:00,-0.00351300,0.00000000,-0.01744863
2016-08-31 00:00:00+00:00,-0.02490416,-0.00285119,-0.00306303
2016-09-30 00:00:00+00:00,-0.03113215,-0.00228089,-0.01413610
2016-10-31 00:00:00+00:00,-0.01684726,-0.00168461,0.00358252
2016-11-30 00:00:00+00:00,0.02591401,0.00155854,0.03328956
2016-12-31 00:00:00+00:00,0.01391360,0.00000000,0.01492034
2017-01-31 00:00:00+00:00,-0.00751274,-0.00338137,0.00740712
2017-02-28 00:00:00+00:00,0.03223056,-0.00201505,0.02694615
2017-03-31 00:00:00+00:00,-0.01830451,-0.00332719,-0.00882177
2017-04-30 00:00:00+00:00,-0.00558087,0.00000000,0.00055320
2017-05-31 00:00:00+00:00,-0.00517171,0.00248480,-0.00548542
2017-06-30 00:00:00+00:00,0.00059238,-0.01132435,0.02729693
2017-07-31 00:00:00+00:00,0.02596216,0.00232291,0.02042148
2017-08-31 00:00:00+00:00,-0.02686639,0.00378907,-0.04386297
2017-09-30 00:00:00+00:00,-0.01943657,0.00000000,0.00106622
2017-10-31 00:00:00+00:00,0.04269012,0.00547600,0.01259878
2017-11-30 00:00:00+00:00,0.01108994,0.00139177,0.01468296
2017-12-31 00:00:00+00:00,0.00294736,0.00000000,-0.00494459
2018-01-31 00:00:00+00:00,0.14279248,0.00350535,0.10917250
2018-02-28 00:00:00+00:00,-0.03777471,-0.00830811,0.01540470
2018-03-31 00:00:00+00:00,-0.01301305,0.00000000,-0.01460780
2018-04-30 00:00:00+00:00,0.00023595,0.00023782,-0.00207583
2018-05-31 00:00:00+00:00,0.00308317,-0.00384617,0.02490154
2018-06-30 00:00:00+00:00,-0.00240972,0.00000000,-0.00683061
2018-07-31 00:00:00+00:00,0.00529404,0.00167155,0.01156782
2018-08-31 00:00:00+00:00,0.02247109,-0.00101846,0.00757408
2018-09-30 00:00:00+00:00,-0.01120428,0.00000000,-0.01038435
2018-10-31 00:00:00+00:00,-0.04094682,0.00096214,-0.01734779
2018-11-30 00:00:00+00:00,-0.01611596,0.00214434,-0.01329209
2018-12-31 00:00:00+00:00,0.02971312,-0.00213915,0.02365276
2019-01-31 00:00:00+00:00,-0.00331490,0.00366342,0.01585573
2019-02-28 00:00:00+00:00,-0.00776978,-0.00052577,-0.01068561
2019-03-31 00:00:00+00:00,0.01736416,0.00000000,-0.01122446
2019-04-30 00:00:00+00:00,0.01964932,0.00243449,-0.01032925
2019-05-31 00:00:00+00:00,0.03012137,-0.00206536,0.04797689
2019-06-30 00:00:00+00:00,0.01377465,0.00000000,-0.00431254
2019-07-31 00:00:00+00:00,0.03411225,0.00149107,0.00451647
2019-08-31 00:00:00+00:00,0.02972414,0.00000000,-0.00627521
2019-09-30 00:00:00+00:00,-0.01501930,-0.00165766,0.01725168
2019-10-31 00:00:00+00:00,-0.04424967,0.00090802,-0.01831592
2019-11-30 00:00:00+00:00,0.01219417,0.00000000,0.00610425
2019-12-31 00:00:00+00:00,0.00649194,-0.00165021,0.01044868
2020-01-31 00:00:00+00:00,0.01668560,-0.00708115,0.01697279
2020-02-29 00:00:00+00:00,0.02490898,0.00000000,0.04135173
2020-03-31 00:00:00+00:00,0.00458075,-0.00103867,0.01596117
2020-04-30 00:00:00+00:00,-0.00839745,-0.00403094,-0.01142093
2020-05-31 00:00:00+00:00,-0.00025585,0.00000000,0.00329045
2020-06-30 00:00:00+00:00,0.00081170,-0.00180209,0.00548200
2020-07-31 00:00:00+00:00,0.07608505,-0.00102359,0.04405579
2020-08-31 00:00:00+00:00,0.01891820,0.00123608,0.01935429
2020-09-30 00:00:00+00:00,-0.03924805,-0.00092268,-0.02533261
2020-10-31 00:00:00+00:00,-0.02051596,0.00000000,-0.01601983
2020-11-30 00:00:00+00:00,-0.00864328,-0.00695926,-0.03389313
2020-12-31 00:00:00+00:00,0.05577427,0.00034583,0.01263849
2021-01-31 00:00:00+00:00,-0.01397341,0.00000000,-0.00274391
2021-02-28 00:00:00+00:00,0.06322828,0.00000000,0.03196182
2021-03-31 00:00:00+00:00,0.02215181,0.00380540,0.01333157
2021-04-30 00:00:00+00:00,0.00446285,-0.00259835,-0.02152755
2021-05-31 00:00:00+00:00,0.00448305,-0.00013435,-0.01698200
2021-06-30 00:00:00+00:00,0.00184105,0.00055468,0.01263218
2021-07-31 00:00:00+00:00,-0.00765982,0.00000000,-0.01803406
2021-08-31 00:00:00+00:00,-0.01849606,-0.00284928,-0.02080261
2021-09-30 00:00:00+00:00,-0.00148674,0.00132298,-0.01026631
2021-10-31 00:00:00+00:00,0.03353534,0.00000000,0.00286132
2021-11-30 00:00:00+00:00,-0.03257075,-0.01441848,-0.01639287
2021-12-31 00:00:00+00:00,-0.00062277,-0.00522250,-0.00745746
2022-01-31 00:00:00+00:00,0.00487592,-0.00019115,-0.01248247
2022-02-28 00:00:00+00:00,0.01653820,-0.00428593,0.00290380
2022-03-31 00:00:00+00:00,0.04895538,-0.00531143,-0.01287954
2022-04-30 00:00:00+00:00,0.04752799,0.00000000,-0.00426498
2022-05-31 00:00:00+00:00,-0.00460167,0.00215530,-0.00841097
2022-06-30 00:00:00+00:00,0.01896298,-0.00201219,0.00714143
2022-07-31 00:00:00+00:00,-0.02480448,0.00000000,0.00826739
2022-08-31 00:00:00+00:00,0.02007184,-0.00340140,0.00495090
2022-09-30 00:00:00+00:00,0.07172437,-0.00172019,0.03245980
2022-10-31 00:00:00+00:00,-0.01358765,0.00479043,-0.02069847
2022-11-30 00:00:00+00:00,-0.01767391,-0.00412524,0.03616275
2022-12-31 00:00:00+00:00,0.00143319,0.00000000,0.00105081
2023-01-31 00:00:00+00:00,0.00566150,-0.00057536,0.00728771
2023-02-28 00:00:00+00:00,-0.02030771,0.00026405,-0.03096831
2023-03-31 00:00:00+00:00,-0.04595977,-0.00017339,-0.01125078
2023-04-30 00:00:00+00:00,0.00086294,0.00000000,-0.01058186
2023-05-31 00:00:00+00:00,-0.00442441,-0.00722748,-0.00682658
2023-06-30 00:00:00+00:00,0.03203165,0.00376916,0.02137098
2023-07-31 00:00:00+00:00,-0.00159605,-0.00003469,-0.00147309
2023-08-31 00:00:00+00:00,-0.03573268,-0.00080919,-0.02620933
2023-09-30 00:00:00+00:00,0.02605049,0.00000000,-0.00112129
2023-10-31 00:00:00+00:00,-0.00607133,0.00296950,0.00435831
2023-11-30 00:00:00+00:00,-0.03365709,-0.00165308,-0.00332103
2023-12-31 00:00:00+00:00,0.02559359,0.00000000,0.03917559
2024-01-31 00:00:00+00:00,-0.03078869,-0.00514901,-0.03912989
2024-02-29 00:00:00+00:00,0.02027434,0.00017273,-0.02155231
2024-03-31 00:00:00+00:00,0.03191092,0.00000000,0.00178893
