segment,corr,TE,SR,vol,CAGR
ALL,0.64898910,0.07052712,0.51395108,0.09200884,0.04398670
IS,0.62438543,0.07252393,0.53757174,0.09201753,0.04626494
OOS,0.72979803,0.06314029,0.43203334,0.09205038,0.03615943
