family,lookback,n_contracts,avg_live,effective_series
ACCEL,16,27,0.965894,26.079144
ACCEL,32,27,0.965894,26.079144
BREAKOUT,80,27,0.965894,26.079144
BREAKOUT,160,27,0.965894,26.079144
CARRY,5,27,0.579666,15.650980
CARRY,20,27,0.579666,15.650980
CARRY,60,27,0.579666,15.650980
CARRY,120,27,0.579666,15.650980
SKEWABS,180,27,0.965894,26.079144
TREND,5,27,0.965894,26.079144
TREND,10,27,0.965894,26.079144
TREND,15,27,0.965894,26.079144
TREND,16,27,0.965894,26.079144
TREND,20,27,0.965894,26.079144
TREND,30,27,0.965894,26.079144
TREND,32,27,0.965894,26.079144
TREND,40,27,0.965894,26.079144
TREND,60,27,0.965894,26.079144
TREND,80,27,0.965894,26.079144
TREND,90,27,0.965894,26.079144
TREND,120,27,0.965894,26.079144
TREND,150,27,0.965894,26.079144
TREND,160,27,0.965894,26.079144
TREND,180,27,0.965894,26.079144
TREND,220,27,0.965894,26.079144
TREND,260,27,0.965894,26.079144
