lookback,share
5,0.00871885
10,0.01108697
15,0.02016926
16,0.02616573
20,0.03370021
30,0.04756393
32,0.06176772
40,0.05944872
60,0.07080205
80,0.12615672
90,0.07391696
120,0.07477923
150,0.06958899
160,0.12716111
180,0.07844285
220,0.05909406
260,0.05143663
