,ACCEL,BREAKOUT,CARRY,SKEWABS,TREND
2013-07-31 00:00:00+00:00,-0.00006575,-0.00163309,-0.00253203,0.00009508,-0.00198467
2013-08-31 00:00:00+00:00,-0.00002018,-0.00150688,0.02743548,0.00065212,-0.00249247
2013-09-30 00:00:00+00:00,0.00056303,-0.00053800,-0.01094604,0.00028721,-0.00420507
2013-10-31 00:00:00+00:00,-0.00058005,-0.00052240,-0.00596971,-0.00106571,-0.00603233
2013-11-30 00:00:00+00:00,-0.00004969,0.00034869,-0.00653145,0.00011730,0.01866699
2013-12-31 00:00:00+00:00,-0.00045660,0.00278726,0.00177239,0.00292882,0.02759344
2014-01-31 00:00:00+00:00,-0.00111970,-0.00516812,-0.00749319,-0.00271829,-0.05931041
2014-02-28 00:00:00+00:00,0.00004198,-0.00199171,0.00762334,-0.00014080,-0.00117233
2014-03-31 00:00:00+00:00,-0.00043272,-0.00101726,0.00767792,0.00108534,-0.01946575
2014-04-30 00:00:00+00:00,-0.00065242,-0.00011899,-0.01055379,-0.00143094,-0.00962527
2014-05-31 00:00:00+00:00,-0.00006615,0.00110338,0.01633410,-0.00060658,0.01400163
2014-06-30 00:00:00+00:00,0.00046050,0.00086822,0.01141845,-0.00017054,0.01532371
2014-07-31 00:00:00+00:00,0.00092889,0.00109655,-0.00972188,-0.00023749,-0.00937126
2014-08-31 00:00:00+00:00,0.00191828,0.00517450,-0.00849175,-0.00020301,0.03528917
2014-09-30 00:00:00+00:00,0.00253141,0.00689304,-0.01344124,-0.00062557,0.05514032
2014-10-31 00:00:00+00:00,0.00005075,0.00133125,-0.00756677,-0.00002969,0.01436847
2014-11-30 00:00:00+00:00,0.00050332,0.00997121,-0.00699140,-0.00043809,0.06912077
2014-12-31 00:00:00+00:00,-0.00004110,0.00096209,-0.00241761,0.00005117,0.00496195
2015-01-31 00:00:00+00:00,0.00193145,0.00799124,-0.00055858,-0.00009896,0.06126965
2015-02-28 00:00:00+00:00,-0.00012850,-0.00135808,-0.00480305,0.00020960,-0.00717023
2015-03-31 00:00:00+00:00,-0.00050102,-0.00281711,0.00160573,0.00076507,-0.00928273
2015-04-30 00:00:00+00:00,0.00105711,-0.00263703,-0.00504234,0.00056646,-0.02602885
2015-05-31 00:00:00+00:00,-0.00072495,-0.00104728,-0.00461210,0.00097999,-0.00810583
2015-06-30 00:00:00+00:00,-0.00024072,-0.00164332,-0.00891760,0.00252226,-0.01784021
2015-07-31 00:00:00+00:00,0.00071552,0.00676175,0.00079183,-0.00034334,0.03719475
2015-08-31 00:00:00+00:00,0.00016492,-0.00382514,0.00424641,-0.00125343,-0.04197493
2015-09-30 00:00:00+00:00,-0.00040029,-0.00032976,-0.00192903,-0.00139936,-0.00793527
2015-10-31 00:00:00+00:00,-0.00056466,-0.00261949,0.00050452,-0.00024920,-0.02038843
2015-11-30 00:00:00+00:00,0.00093735,0.00187049,0.00421547,-0.00003789,0.02200619
2015-12-31 00:00:00+00:00,-0.00081135,-0.00372117,0.00129805,0.00076488,-0.02097384
2016-01-31 00:00:00+00:00,0.00085321,0.00108713,-0.00068693,-0.00004157,0.01788162
2016-02-29 00:00:00+00:00,0.00060257,0.00179129,-0.00045808,-0.00036258,0.01839599
2016-03-31 00:00:00+00:00,-0.00017772,-0.00155254,-0.00121345,-0.00037670,-0.00490262
2016-04-30 00:00:00+00:00,-0.00038811,-0.00086781,-0.00517279,-0.00035537,-0.00627322
2016-05-31 00:00:00+00:00,-0.00061380,-0.00320494,0.00093162,0.00014368,-0.02874405
2016-06-30 00:00:00+00:00,-0.00256958,-0.00147327,-0.00498940,0.00035893,-0.01269798
2016-07-31 00:00:00+00:00,-0.00053120,-0.00055094,0.00045018,-0.00009957,-0.00246984
2016-08-31 00:00:00+00:00,-0.00061457,-0.00018930,-0.00832491,0.00029146,-0.01608035
2016-09-30 00:00:00+00:00,-0.00149503,-0.00032577,0.00104889,-0.00027542,-0.03024420
2016-10-31 00:00:00+00:00,0.00241103,-0.00079642,-0.01540028,-0.00076455,-0.00215774
2016-11-30 00:00:00+00:00,0.00139820,0.00950490,-0.01832107,-0.00030337,0.03394800
2016-12-31 00:00:00+00:00,-0.00000303,0.00332469,-0.00676804,-0.00007980,0.01768173
2017-01-31 00:00:00+00:00,0.00015216,-0.00045534,0.00779666,-0.00007701,-0.01455811
2017-02-28 00:00:00+00:00,-0.00038404,0.00444890,-0.00115147,0.00059589,0.02840238
2017-03-31 00:00:00+00:00,-0.00037791,-0.00247874,0.00274755,0.00020625,-0.01827589
2017-04-30 00:00:00+00:00,0.00023982,0.00100848,0.00178027,0.00041469,-0.00887949
2017-05-31 00:00:00+00:00,-0.00014502,-0.00093775,0.00042351,-0.00016526,-0.00366090
2017-06-30 00:00:00+00:00,-0.00008929,0.00079172,-0.00053444,0.00096279,-0.00024605
2017-07-31 00:00:00+00:00,0.00047546,0.00379072,-0.00078266,0.00059549,0.02185543
2017-08-31 00:00:00+00:00,-0.00061337,-0.00360254,-0.00437784,-0.00079574,-0.01734268
2017-09-30 00:00:00+00:00,0.00031633,-0.00345026,-0.00214216,0.00067241,-0.01472284
2017-10-31 00:00:00+00:00,0.00017908,0.00713294,-0.00304218,0.00052159,0.03740282
2017-11-30 00:00:00+00:00,-0.00034783,0.00187752,-0.00113681,0.00013159,0.01092162
2017-12-31 00:00:00+00:00,-0.00024390,0.00064792,-0.00202529,0.00076979,0.00405385
2018-01-31 00:00:00+00:00,0.00208707,0.01443357,0.00926769,0.00028209,0.10853675
2018-02-28 00:00:00+00:00,-0.00022628,-0.00336763,-0.00374124,-0.00046657,-0.03008366
2018-03-31 00:00:00+00:00,-0.00037011,-0.00146892,0.00088363,-0.00056262,-0.01146025
2018-04-30 00:00:00+00:00,0.00035434,-0.00076926,0.00497706,0.00004681,-0.00429101
2018-05-31 00:00:00+00:00,0.00195538,0.00001690,0.00085008,-0.00033435,0.00113018
2018-06-30 00:00:00+00:00,-0.00040878,-0.00014633,-0.00002651,0.00068420,-0.00220320
2018-07-31 00:00:00+00:00,-0.00016971,0.00237647,-0.00418972,-0.00006143,0.00760218
2018-08-31 00:00:00+00:00,-0.00081372,0.00427616,0.00056817,0.00017480,0.01831520
2018-09-30 00:00:00+00:00,0.00000275,-0.00169796,0.00133686,-0.00039037,-0.01030976
2018-10-31 00:00:00+00:00,-0.00023132,-0.00438738,-0.00798279,0.00017280,-0.02865863
2018-11-30 00:00:00+00:00,-0.00006046,-0.00062446,-0.00420049,0.00011744,-0.01126026
2018-12-31 00:00:00+00:00,0.00048507,0.00292762,-0.00310432,0.00060969,0.02894455
2019-01-31 00:00:00+00:00,0.00070194,0.00118803,-0.00661172,-0.00041156,0.00261224
2019-02-28 00:00:00+00:00,-0.00031333,-0.00134702,0.00263121,0.00001136,-0.00864982
2019-03-31 00:00:00+00:00,-0.00025334,0.00186033,0.00450701,0.00022662,0.01106796
2019-04-30 00:00:00+00:00,-0.00058268,0.00006508,0.00859007,0.00026818,0.01162750
2019-05-31 00:00:00+00:00,0.00128054,0.00644959,-0.02018341,0.00116609,0.04157008
2019-06-30 00:00:00+00:00,0.00065545,0.00090061,-0.01089920,0.00018407,0.02310392
2019-07-31 00:00:00+00:00,-0.00038194,0.00383454,-0.00268409,-0.00003781,0.03307789
2019-08-31 00:00:00+00:00,0.00015364,0.00234108,-0.00206665,0.00109154,0.02819171
2019-09-30 00:00:00+00:00,-0.00015901,-0.00016781,-0.00541001,-0.00053122,-0.00869992
2019-10-31 00:00:00+00:00,-0.00001139,-0.00402583,-0.00705654,-0.00038613,-0.03350743
2019-11-30 00:00:00+00:00,-0.00056895,0.00223661,0.00227085,-0.00035829,0.00872597
2019-12-31 00:00:00+00:00,0.00134205,0.00200079,-0.00155579,-0.00129561,0.00652598
2020-01-31 00:00:00+00:00,-0.00038399,0.00003512,-0.00643605,0.00020055,0.02363438
2020-02-29 00:00:00+00:00,0.00047632,0.00541083,-0.00033718,-0.00113744,0.02079474
2020-03-31 00:00:00+00:00,0.00043163,0.00305110,-0.01044533,-0.00259179,0.01486408
2020-04-30 00:00:00+00:00,-0.00012494,-0.00045207,-0.00367229,-0.00019762,-0.00392100
2020-05-31 00:00:00+00:00,-0.00025078,0.00028900,0.00071562,-0.00040770,-0.00049457
2020-06-30 00:00:00+00:00,0.00016098,0.00125699,-0.00475064,-0.00068109,0.00564891
2020-07-31 00:00:00+00:00,0.00164301,0.01007275,-0.00454890,-0.00073687,0.06744961
2020-08-31 00:00:00+00:00,0.00003982,0.00317712,-0.00933500,0.00062454,0.02497492
2020-09-30 00:00:00+00:00,-0.00016274,-0.00363153,-0.00353419,0.00000093,-0.03254415
2020-10-31 00:00:00+00:00,0.00005904,0.00017819,-0.00363843,0.00062880,-0.01782703
