Date,replication_bps_per_month,overlay_bps_per_month
2001-12-31 00:00:00+00:00,0.000000,0.000000
2002-01-31 00:00:00+00:00,0.426764,0.000000
2002-02-28 00:00:00+00:00,0.023191,0.000000
2002-03-31 00:00:00+00:00,0.001111,0.000000
2002-04-30 00:00:00+00:00,0.023460,0.000000
2002-05-31 00:00:00+00:00,0.023927,0.459154
2002-06-30 00:00:00+00:00,0.002289,0.109565
2002-07-31 00:00:00+00:00,0.022155,0.423089
2002-08-31 00:00:00+00:00,0.001030,0.105309
2002-09-30 00:00:00+00:00,0.067326,0.399520
2002-10-31 00:00:00+00:00,0.097006,0.144246
2002-11-30 00:00:00+00:00,0.012986,0.311606
2002-12-31 00:00:00+00:00,0.035127,0.148905
2003-01-31 00:00:00+00:00,0.045476,0.900208
2003-02-28 00:00:00+00:00,0.016779,0.111016
2003-03-31 00:00:00+00:00,0.022728,0.338729
2003-04-30 00:00:00+00:00,0.054726,0.338090
2003-05-31 00:00:00+00:00,0.019560,0.382166
2003-06-30 00:00:00+00:00,0.018598,0.240747
2003-07-31 00:00:00+00:00,0.038355,0.446396
2003-08-31 00:00:00+00:00,0.004024,0.000000
2003-09-30 00:00:00+00:00,0.030273,0.100197
2003-10-31 00:00:00+00:00,0.033744,0.142669
2003-11-30 00:00:00+00:00,0.012779,0.145016
2003-12-31 00:00:00+00:00,0.044594,0.292685
2004-01-31 00:00:00+00:00,0.052384,0.532757
2004-02-29 00:00:00+00:00,0.013306,0.219749
2004-03-31 00:00:00+00:00,0.019905,0.314663
2004-04-30 00:00:00+00:00,0.049422,0.255418
2004-05-31 00:00:00+00:00,0.002229,0.466452
2004-06-30 00:00:00+00:00,0.036076,0.148077
2004-07-31 00:00:00+00:00,0.030549,0.354612
2004-08-31 00:00:00+00:00,0.001172,0.000000
2004-09-30 00:00:00+00:00,0.023378,0.000000
2004-10-31 00:00:00+00:00,0.025202,0.002000
2004-11-30 00:00:00+00:00,0.009020,0.620166
2004-12-31 00:00:00+00:00,0.022650,0.153686
2005-01-31 00:00:00+00:00,0.035248,0.330648
2005-02-28 00:00:00+00:00,0.008382,0.436424
2005-03-31 00:00:00+00:00,0.026515,0.016000
2005-04-30 00:00:00+00:00,0.029988,0.000000
2005-05-31 00:00:00+00:00,0.007937,0.000000
2005-06-30 00:00:00+00:00,0.016555,0.004000
2005-07-31 00:00:00+00:00,0.022866,0.195757
2005-08-31 00:00:00+00:00,0.001868,0.149320
2005-09-30 00:00:00+00:00,0.026416,0.082938
2005-10-31 00:00:00+00:00,0.031285,0.135361
2005-11-30 00:00:00+00:00,0.008493,0.201838
2005-12-31 00:00:00+00:00,0.010996,0.291558
2006-01-31 00:00:00+00:00,0.015589,0.550370
2006-02-28 00:00:00+00:00,0.007418,0.000000
2006-03-31 00:00:00+00:00,0.019828,0.304967
2006-04-30 00:00:00+00:00,0.044675,0.126554
2006-05-31 00:00:00+00:00,0.009057,0.654551
2006-06-30 00:00:00+00:00,0.011877,0.288693
2006-07-31 00:00:00+00:00,0.025951,0.544762
2006-08-31 00:00:00+00:00,0.001027,0.000000
2006-09-30 00:00:00+00:00,0.008057,0.000000
2006-10-31 00:00:00+00:00,0.001888,0.000000
2006-11-30 00:00:00+00:00,0.007064,0.000000
2006-12-31 00:00:00+00:00,0.009920,0.345535
2007-01-31 00:00:00+00:00,0.015244,0.076830
2007-02-28 00:00:00+00:00,0.006318,0.140085
2007-03-31 00:00:00+00:00,0.000997,0.210446
2007-04-30 00:00:00+00:00,0.007034,0.259095
2007-05-31 00:00:00+00:00,0.009106,0.000000
2007-06-30 00:00:00+00:00,0.000997,0.598762
2007-07-31 00:00:00+00:00,0.006318,0.061257
2007-08-31 00:00:00+00:00,0.001022,0.301879
2007-09-30 00:00:00+00:00,0.007313,0.273920
2007-10-31 00:00:00+00:00,0.001888,0.006000
2007-11-30 00:00:00+00:00,0.008950,0.605915
2007-12-31 00:00:00+00:00,0.049786,0.387718
2008-01-31 00:00:00+00:00,0.091246,0.399904
2008-02-29 00:00:00+00:00,0.006927,0.212301
