Date,replication_bps_per_month,overlay_bps_per_month
2008-03-31 00:00:00+00:00,0.027296,0.364523
2008-04-30 00:00:00+00:00,0.030054,0.211236
2008-05-31 00:00:00+00:00,0.018909,0.415374
2008-06-30 00:00:00+00:00,0.011440,0.130941
2008-07-31 00:00:00+00:00,0.021230,0.000000
2008-08-31 00:00:00+00:00,0.000890,0.004000
2008-09-30 00:00:00+00:00,0.037440,0.870237
2008-10-31 00:00:00+00:00,0.054904,0.148436
2008-11-30 00:00:00+00:00,0.002173,0.044215
2008-12-31 00:00:00+00:00,0.031332,0.172841
2009-01-31 00:00:00+00:00,0.038460,0.247322
2009-02-28 00:00:00+00:00,0.005771,0.160689
2009-03-31 00:00:00+00:00,0.015785,0.114762
2009-04-30 00:00:00+00:00,0.031297,0.626047
2009-05-31 00:00:00+00:00,0.010591,0.020696
2009-06-30 00:00:00+00:00,0.016029,0.223047
2009-07-31 00:00:00+00:00,0.019141,0.176256
2009-08-31 00:00:00+00:00,0.000001,0.217812
2009-09-30 00:00:00+00:00,0.021638,0.226538
2009-10-31 00:00:00+00:00,0.019212,0.266526
2009-11-30 00:00:00+00:00,0.004434,0.143673
2009-12-31 00:00:00+00:00,0.034255,0.122864
2010-01-31 00:00:00+00:00,0.055455,0.308120
2010-02-28 00:00:00+00:00,0.010367,0.212274
2010-03-31 00:00:00+00:00,0.024883,0.000000
2010-04-30 00:00:00+00:00,0.044794,0.002000
2010-05-31 00:00:00+00:00,0.000005,0.449026
2010-06-30 00:00:00+00:00,0.018578,0.217153
2010-07-31 00:00:00+00:00,0.026890,0.318875
2010-08-31 00:00:00+00:00,0.000057,0.134387
2010-09-30 00:00:00+00:00,0.037901,0.166562
2010-10-31 00:00:00+00:00,0.057685,0.129330
2010-11-30 00:00:00+00:00,0.012626,0.766503
2010-12-31 00:00:00+00:00,0.034947,0.475412
2011-01-31 00:00:00+00:00,0.053191,0.265830
2011-02-28 00:00:00+00:00,0.006341,0.218617
2011-03-31 00:00:00+00:00,0.016422,0.202221
2011-04-30 00:00:00+00:00,0.032469,0.352376
2011-05-31 00:00:00+00:00,0.001593,0.171426
2011-06-30 00:00:00+00:00,0.010132,0.500136
2011-07-31 00:00:00+00:00,0.016592,0.248582
2011-08-31 00:00:00+00:00,0.000003,0.403047
2011-09-30 00:00:00+00:00,0.010481,0.068617
2011-10-31 00:00:00+00:00,0.010290,0.316490
2011-11-30 00:00:00+00:00,0.003380,0.640800
2011-12-31 00:00:00+00:00,0.010135,0.000915
2012-01-31 00:00:00+00:00,0.009480,0.000000
2012-02-29 00:00:00+00:00,0.003291,0.000000
2012-03-31 00:00:00+00:00,0.006100,0.006000
2012-04-30 00:00:00+00:00,0.007604,0.027899
2012-05-31 00:00:00+00:00,0.006385,0.006000
2012-06-30 00:00:00+00:00,0.003533,0.531366
2012-07-31 00:00:00+00:00,0.004852,0.143835
2012-08-31 00:00:00+00:00,0.000000,0.303847
2012-09-30 00:00:00+00:00,0.005262,0.238045
2012-10-31 00:00:00+00:00,0.002567,0.000000
2012-11-30 00:00:00+00:00,0.001473,0.000000
2012-12-31 00:00:00+00:00,0.050466,0.000000
2013-01-31 00:00:00+00:00,0.070405,0.000000
2013-02-28 00:00:00+00:00,0.001341,0.006000
2013-03-31 00:00:00+00:00,0.002084,0.215070
2013-04-30 00:00:00+00:00,0.005636,0.000000
2013-05-31 00:00:00+00:00,0.003422,0.000000
2013-06-30 00:00:00+00:00,0.001608,0.059474
2013-07-31 00:00:00+00:00,0.002806,0.158845
2013-08-31 00:00:00+00:00,0.000000,0.251189
2013-09-30 00:00:00+00:00,0.034936,0.304460
2013-10-31 00:00:00+00:00,0.054378,0.000000
2013-11-30 00:00:00+00:00,0.002049,0.000000
2013-12-31 00:00:00+00:00,0.016525,0.000000
2014-01-31 00:00:00+00:00,0.016656,0.451902
2014-02-28 00:00:00+00:00,0.003762,0.286417
2014-03-31 00:00:00+00:00,0.031074,0.159274
2014-04-30 00:00:00+00:00,0.047328,0.000000
2014-05-31 00:00:00+00:00,0.004287,0.000000
2014-06-30 00:00:00+00:00,0.034736,0.000000
2014-07-31 00:00:00+00:00,0.057162,0.000000
2014-08-31 00:00:00+00:00,0.008561,0.000000
2014-09-30 00:00:00+00:00,0.032775,0.076306
2014-10-31 00:00:00+00:00,0.056253,0.325811
2014-11-30 00:00:00+00:00,0.003286,0.388629
2014-12-31 00:00:00+00:00,0.016589,0.012000
2015-01-31 00:00:00+00:00,0.022887,0.058723
2015-02-28 00:00:00+00:00,0.004395,0.315081
2015-03-31 00:00:00+00:00,0.014631,0.225243
2015-04-30 00:00:00+00:00,0.018226,0.153399
2015-05-31 00:00:00+00:00,0.004015,0.000000
2015-06-30 00:00:00+00:00,0.009167,0.000000
2015-07-31 00:00:00+00:00,0.013592,0.000000
2015-08-31 00:00:00+00:00,0.000001,0.000000
2015-09-30 00:00:00+00:00,0.021609,0.000000
2015-10-31 00:00:00+00:00,0.020439,0.000000
2015-11-30 00:00:00+00:00,0.006639,0.000000
2015-12-31 00:00:00+00:00,0.020523,0.224737
2016-01-31 00:00:00+00:00,0.021371,0.219615
2016-02-29 00:00:00+00:00,0.004156,0.434262
2016-03-31 00:00:00+00:00,0.021900,0.187278
2016-04-30 00:00:00+00:00,0.021580,0.358456
2016-05-31 00:00:00+00:00,0.004259,0.081427
2016-06-30 00:00:00+00:00,0.027279,0.002000
2016-07-31 00:00:00+00:00,0.047987,0.002000
2016-08-31 00:00:00+00:00,0.004113,0.000000
2016-09-30 00:00:00+00:00,0.029077,0.000000
2016-10-31 00:00:00+00:00,0.040367,0.000000
2016-11-30 00:00:00+00:00,0.005324,0.000000
2016-12-31 00:00:00+00:00,0.007841,0.111824
2017-01-31 00:00:00+00:00,0.008924,0.452921
2017-02-28 00:00:00+00:00,0.000980,0.181893
2017-03-31 00:00:00+00:00,0.012041,0.201072
2017-04-30 00:00:00+00:00,0.022099,0.294080
2017-05-31 00:00:00+00:00,0.003882,0.000000
2017-06-30 00:00:00+00:00,0.012054,0.000000
2017-07-31 00:00:00+00:00,0.022305,0.000000
2017-08-31 00:00:00+00:00,0.004506,0.000000
2017-09-30 00:00:00+00:00,0.005179,0.000000
2017-10-31 00:00:00+00:00,0.003023,0.000000
2017-11-30 00:00:00+00:00,0.007415,0.000000
2017-12-31 00:00:00+00:00,0.007111,0.000000
2018-01-31 00:00:00+00:00,0.010360,0.077782
2018-02-28 00:00:00+00:00,0.004995,0.853119
2018-03-31 00:00:00+00:00,0.007192,0.366555
2018-04-30 00:00:00+00:00,0.005840,0.472198
2018-05-31 00:00:00+00:00,0.004075,0.100065
2018-06-30 00:00:00+00:00,0.001353,0.309085
2018-07-31 00:00:00+00:00,0.002530,0.247121
2018-08-31 00:00:00+00:00,0.000000,0.000000
2018-09-30 00:00:00+00:00,0.007217,0.000000
2018-10-31 00:00:00+00:00,0.001544,0.423239
2018-11-30 00:00:00+00:00,0.003127,0.295935
2018-12-31 00:00:00+00:00,0.018110,0.144301
2019-01-31 00:00:00+00:00,0.033682,0.162338
2019-02-28 00:00:00+00:00,0.003714,0.154966
2019-03-31 00:00:00+00:00,0.001346,0.000000
2019-04-30 00:00:00+00:00,0.006058,0.000000
2019-05-31 00:00:00+00:00,0.000532,0.008000
2019-06-30 00:00:00+00:00,0.000281,0.002000
2019-07-31 00:00:00+00:00,0.002067,0.273352
2019-08-31 00:00:00+00:00,0.001064,0.241043
2019-09-30 00:00:00+00:00,0.018066,0.104242
2019-10-31 00:00:00+00:00,0.033295,0.205636
2019-11-30 00:00:00+00:00,0.002428,0.000000
2019-12-31 00:00:00+00:00,0.009569,0.000000
2020-01-31 00:00:00+00:00,0.013606,0.000000
2020-02-29 00:00:00+00:00,0.004816,0.002000
2020-03-31 00:00:00+00:00,0.026037,0.473284
2020-04-30 00:00:00+00:00,0.051299,0.467822
2020-05-31 00:00:00+00:00,0.005768,0.001345
2020-06-30 00:00:00+00:00,0.023992,0.000000
2020-07-31 00:00:00+00:00,0.047242,0.000000
2020-08-31 00:00:00+00:00,0.001319,0.479240
2020-09-30 00:00:00+00:00,0.011744,0.154239
2020-10-31 00:00:00+00:00,0.009243,0.351935
2020-11-30 00:00:00+00:00,0.006007,0.000000
2020-12-31 00:00:00+00:00,0.027067,0.002000
2021-01-31 00:00:00+00:00,0.047052,0.496501
2021-02-28 00:00:00+00:00,0.005360,0.122739
2021-03-31 00:00:00+00:00,0.027334,0.137730
2021-04-30 00:00:00+00:00,0.055064,0.205545
2021-05-31 00:00:00+00:00,0.002673,0.095627
2021-06-30 00:00:00+00:00,0.026218,0.140142
2021-07-31 00:00:00+00:00,0.046822,0.254630
2021-08-31 00:00:00+00:00,0.001380,0.331384
2021-09-30 00:00:00+00:00,0.025111,0.002000
2021-10-31 00:00:00+00:00,0.044644,0.384030
2021-11-30 00:00:00+00:00,0.000237,0.126935
2021-12-31 00:00:00+00:00,0.041339,0.701207
2022-01-31 00:00:00+00:00,0.082204,0.405777
2022-02-28 00:00:00+00:00,0.000016,0.158432
2022-03-31 00:00:00+00:00,0.023157,0.203190
2022-04-30 00:00:00+00:00,0.047081,0.252198
2022-05-31 00:00:00+00:00,0.000009,0.330294
2022-06-30 00:00:00+00:00,0.006581,0.311019
2022-07-31 00:00:00+00:00,0.013160,0.129005
2022-08-31 00:00:00+00:00,0.000003,0.169276
2022-09-30 00:00:00+00:00,0.006832,0.393303
2022-10-31 00:00:00+00:00,0.013658,0.451180
2022-11-30 00:00:00+00:00,0.007834,0.110148
2022-12-31 00:00:00+00:00,0.008956,0.664999
2023-01-31 00:00:00+00:00,0.004256,0.255791
2023-02-28 00:00:00+00:00,0.006265,0.000000
2023-03-31 00:00:00+00:00,0.022385,0.131618
2023-04-30 00:00:00+00:00,0.052613,0.127877
2023-05-31 00:00:00+00:00,0.031417,0.000000
2023-06-30 00:00:00+00:00,0.044125,0.000000
2023-07-31 00:00:00+00:00,0.031018,0.000000
2023-08-31 00:00:00+00:00,0.000005,0.000000
2023-09-30 00:00:00+00:00,0.000000,0.002000
2023-10-31 00:00:00+00:00,0.000000,0.363125
2023-11-30 00:00:00+00:00,0.000000,0.090655
2023-12-31 00:00:00+00:00,0.000000,0.343009
2024-01-31 00:00:00+00:00,0.000000,0.000000
2024-02-29 00:00:00+00:00,0.000000,0.000000
2024-03-31 00:00:00+00:00,0.000000,0.000000
