Date,x,y,regime
2001-12-31 00:00:00+00:00,0.00265396,0.00049485,Strong Bull
2002-01-31 00:00:00+00:00,0.01035190,0.00211404,Strong Bull
2002-02-28 00:00:00+00:00,-0.01314831,-0.05066658,Strong Bull
2002-03-31 00:00:00+00:00,0.00000000,0.01815544,Bear
2002-04-30 00:00:00+00:00,-0.00294852,-0.01679617,Bear
2002-05-31 00:00:00+00:00,-0.01114684,0.00229763,Bull
2002-06-30 00:00:00+00:00,0.00000000,0.10215968,Strong Bull
2002-07-31 00:00:00+00:00,0.01155329,0.03371095,Strong Bull
2002-08-31 00:00:00+00:00,0.00000000,0.00892740,Strong Bull
2002-09-30 00:00:00+00:00,0.01105690,0.04434303,Strong Bull
2002-10-31 00:00:00+00:00,0.00806034,-0.05651648,Neutral
2002-11-30 00:00:00+00:00,0.00000000,-0.03549225,Strong Bear
2002-12-31 00:00:00+00:00,0.00196636,0.10979666,Weak Bear
2003-01-31 00:00:00+00:00,-0.00513262,-0.01659759,Strong Bull
2003-02-28 00:00:00+00:00,0.01096749,0.03262793,Strong Bull
2003-03-31 00:00:00+00:00,0.00476980,-0.05473600,Bull
2003-04-30 00:00:00+00:00,0.00406933,-0.00131264,Neutral
2003-05-31 00:00:00+00:00,0.00000000,0.04600997,Neutral
2003-06-30 00:00:00+00:00,0.01677680,-0.02107952,Weak Bull
2003-07-31 00:00:00+00:00,0.01237476,-0.00749178,Neutral
2003-08-31 00:00:00+00:00,0.00000000,-0.00845535,Bear
2003-09-30 00:00:00+00:00,-0.00392568,-0.02875064,Bear
2003-10-31 00:00:00+00:00,-0.01122558,0.04146332,Weak Bull
2003-11-30 00:00:00+00:00,0.00000000,-0.00151180,Bear
2003-12-31 00:00:00+00:00,0.00077462,0.09221593,Strong Bull
2004-01-31 00:00:00+00:00,0.00000000,0.01415808,Bull
2004-02-29 00:00:00+00:00,0.00000000,-0.00278244,Strong Bull
2004-03-31 00:00:00+00:00,0.00217462,-0.00659512,Bull
2004-04-30 00:00:00+00:00,-0.00342625,-0.02752193,Bear
2004-05-31 00:00:00+00:00,0.00197113,0.03266662,Strong Bear
2004-06-30 00:00:00+00:00,-0.00363511,-0.02634629,Strong Bear
2004-07-31 00:00:00+00:00,0.00000000,-0.02058196,Strong Bear
2004-08-31 00:00:00+00:00,0.01045620,-0.03357230,Strong Bear
2004-09-30 00:00:00+00:00,0.00345325,0.00786391,Neutral
2004-10-31 00:00:00+00:00,0.00000000,0.05752384,Bull
2004-11-30 00:00:00+00:00,-0.00436044,0.03445836,Strong Bull
2004-12-31 00:00:00+00:00,-0.00516027,0.01917825,Strong Bull
2005-01-31 00:00:00+00:00,0.00503266,-0.03255995,Neutral
2005-02-28 00:00:00+00:00,0.00382495,0.02205212,Bear
2005-03-31 00:00:00+00:00,0.01012409,0.01243885,Bear
2005-04-30 00:00:00+00:00,0.00000000,-0.04937770,Bear
2005-05-31 00:00:00+00:00,0.01862049,0.02326107,Weak Bear
2005-06-30 00:00:00+00:00,0.00251436,0.00002081,Weak Bull
2005-07-31 00:00:00+00:00,0.00000000,0.00591216,Strong Bull
2005-08-31 00:00:00+00:00,0.00240409,0.00457176,Bull
2005-09-30 00:00:00+00:00,0.00270355,0.00874970,Neutral
2005-10-31 00:00:00+00:00,0.00579429,0.00157714,Weak Bull
2005-11-30 00:00:00+00:00,0.00059283,0.02779763,Weak Bull
