,model,benchmark,alpha
2009-02-28 00:00:00+00:00,-0.00507252,0.00000000,-0.00652519
2009-03-31 00:00:00+00:00,-0.01911373,-0.00058186,0.00567069
2009-04-30 00:00:00+00:00,-0.01713364,-0.00151330,0.00260991
2009-05-31 00:00:00+00:00,0.02416016,0.00000000,0.01100315
2009-06-30 00:00:00+00:00,-0.01601536,-0.00161493,0.00221871
2009-07-31 00:00:00+00:00,-0.00070095,0.00598860,0.00280905
2009-08-31 00:00:00+00:00,-0.00040123,-0.00193703,-0.00891216
2009-09-30 00:00:00+00:00,0.02538387,0.00413418,0.00388999
2009-10-31 00:00:00+00:00,-0.00825684,0.00000000,0.00976555
2009-11-30 00:00:00+00:00,0.03363657,0.00530314,0.00628035
2009-12-31 00:00:00+00:00,-0.02977873,-0.00029266,0.00274114
2010-01-31 00:00:00+00:00,-0.01749357,0.00000000,0.00269884
2010-02-28 00:00:00+00:00,-0.00796204,0.00000000,-0.02069633
2010-03-31 00:00:00+00:00,0.02227742,0.00169063,-0.00440589
2010-04-30 00:00:00+00:00,0.00866401,-0.00004023,-0.00468376
2010-05-31 00:00:00+00:00,-0.00678815,-0.00005567,0.00737424
2010-06-30 00:00:00+00:00,0.01072385,-0.00368208,0.01325388
2010-07-31 00:00:00+00:00,-0.01040801,0.00000000,-0.00566466
2010-08-31 00:00:00+00:00,0.01670482,0.00622821,-0.01726414
2010-09-30 00:00:00+00:00,0.01098866,-0.00310451,-0.00177266
2010-10-31 00:00:00+00:00,0.02236974,0.00000000,-0.00383098
2010-11-30 00:00:00+00:00,-0.01803700,0.00101626,0.01015077
2010-12-31 00:00:00+00:00,0.01900953,0.00259256,-0.01383037
2011-01-31 00:00:00+00:00,-0.00383555,0.00402462,0.01081154
2011-02-28 00:00:00+00:00,0.00844683,0.00519538,-0.00336600
2011-03-31 00:00:00+00:00,0.00170094,0.00792718,0.01227043
2011-04-30 00:00:00+00:00,0.04756507,0.00000000,0.01134896
2011-05-31 00:00:00+00:00,-0.03317105,0.00153446,0.01195944
2011-06-30 00:00:00+00:00,-0.01208912,-0.00042886,0.00461710
2011-07-31 00:00:00+00:00,0.04612131,0.00000000,0.01314410
