,x,y,regime
2001-12-31 00:00:00+00:00,0.00110340,0.00026409,Strong Bull
2002-01-31 00:00:00+00:00,0.00513029,-0.00886870,Strong Bull
2002-02-28 00:00:00+00:00,-0.00598067,-0.05932883,Strong Bull
2002-03-31 00:00:00+00:00,0.00000000,0.02247891,Bear
2002-04-30 00:00:00+00:00,-0.00279856,0.02548848,Strong Bear
2002-05-31 00:00:00+00:00,-0.00528276,0.00482926,Bull
2002-06-30 00:00:00+00:00,0.00000000,0.06221031,Strong Bull
2002-07-31 00:00:00+00:00,0.00472796,0.02177184,Strong Bull
2002-08-31 00:00:00+00:00,0.00000000,0.00252246,Strong Bull
2002-09-30 00:00:00+00:00,0.00425375,0.02418679,Strong Bull
2002-10-31 00:00:00+00:00,0.00558114,-0.03750568,Weak Bear
2002-11-30 00:00:00+00:00,0.00000000,-0.02365617,Strong Bear
2002-12-31 00:00:00+00:00,-0.00086874,0.08128126,Neutral
2003-01-31 00:00:00+00:00,-0.00268507,-0.02863861,Strong Bull
2003-02-28 00:00:00+00:00,0.00704336,0.00721523,Strong Bull
2003-03-31 00:00:00+00:00,0.00329852,-0.02746453,Bull
2003-04-30 00:00:00+00:00,0.00670886,0.00411322,Neutral
2003-05-31 00:00:00+00:00,0.00000000,0.05789777,Neutral
2003-06-30 00:00:00+00:00,0.01097369,-0.00779823,Strong Bull
2003-07-31 00:00:00+00:00,0.00559247,-0.00570625,Weak Bull
2003-08-31 00:00:00+00:00,0.00000000,-0.00723276,Weak Bear
2003-09-30 00:00:00+00:00,-0.00175720,-0.00885869,Neutral
2003-10-31 00:00:00+00:00,-0.00561607,0.02101486,Bull
2003-11-30 00:00:00+00:00,0.00000000,-0.00790518,Neutral
2003-12-31 00:00:00+00:00,0.00110376,0.07185621,Strong Bull
2004-01-31 00:00:00+00:00,0.00000000,0.00701920,Bull
2004-02-29 00:00:00+00:00,0.00000000,-0.00482191,Strong Bull
2004-03-31 00:00:00+00:00,0.00261390,-0.00941181,Bull
2004-04-30 00:00:00+00:00,-0.00138628,-0.02094994,Weak Bear
2004-05-31 00:00:00+00:00,0.00064051,0.02383293,Strong Bear
2004-06-30 00:00:00+00:00,-0.00228488,-0.02021931,Strong Bear
2004-07-31 00:00:00+00:00,0.00000000,-0.01637608,Strong Bear
2004-08-31 00:00:00+00:00,0.00421643,-0.03544246,Strong Bear
2004-09-30 00:00:00+00:00,0.00408328,0.00413578,Bear
2004-10-31 00:00:00+00:00,0.00000000,0.05760684,Weak Bull
2004-11-30 00:00:00+00:00,-0.00299102,0.03211532,Strong Bull
2004-12-31 00:00:00+00:00,-0.00122029,0.01010329,Strong Bull
2005-01-31 00:00:00+00:00,0.00280213,-0.02286647,Weak Bull
2005-02-28 00:00:00+00:00,0.00375557,0.01724340,Bear
2005-03-31 00:00:00+00:00,0.00471485,0.00520639,Weak Bear
2005-04-30 00:00:00+00:00,0.00000000,-0.03465916,Weak Bear
2005-05-31 00:00:00+00:00,0.01179028,0.02606356,Weak Bear
2005-06-30 00:00:00+00:00,-0.00010544,0.00211302,Neutral
2005-07-31 00:00:00+00:00,0.00000000,0.00248477,Bull
2005-08-31 00:00:00+00:00,-0.00028539,-0.01017500,Neutral
2005-09-30 00:00:00+00:00,0.00135398,0.00514616,Neutral
2005-10-31 00:00:00+00:00,0.00320411,0.00090798,Weak Bull
