,replication_bps_per_month,overlay_bps_per_month
2001-12-31 00:00:00+00:00,0.000000,0.000000
2002-01-31 00:00:00+00:00,0.420059,0.000000
2002-02-28 00:00:00+00:00,0.036479,0.000000
2002-03-31 00:00:00+00:00,0.005271,0.000000
2002-04-30 00:00:00+00:00,0.036747,0.002000
2002-05-31 00:00:00+00:00,0.019238,1.149311
2002-06-30 00:00:00+00:00,0.023018,0.136093
2002-07-31 00:00:00+00:00,0.024023,0.177168
2002-08-31 00:00:00+00:00,0.005540,0.109872
2002-09-30 00:00:00+00:00,0.071960,0.315855
2002-10-31 00:00:00+00:00,0.081895,0.119759
2002-11-30 00:00:00+00:00,0.018309,0.231858
2002-12-31 00:00:00+00:00,0.041713,0.140476
2003-01-31 00:00:00+00:00,0.044006,0.789673
2003-02-28 00:00:00+00:00,0.018445,0.142059
2003-03-31 00:00:00+00:00,0.025663,0.198152
2003-04-30 00:00:00+00:00,0.055807,0.261642
2003-05-31 00:00:00+00:00,0.021361,0.216513
2003-06-30 00:00:00+00:00,0.015755,0.189015
2003-07-31 00:00:00+00:00,0.039374,0.384402
2003-08-31 00:00:00+00:00,0.004207,0.361105
2003-09-30 00:00:00+00:00,0.027134,0.462138
2003-10-31 00:00:00+00:00,0.025898,0.163803
2003-11-30 00:00:00+00:00,0.017206,0.228786
2003-12-31 00:00:00+00:00,0.117106,0.327768
2004-01-31 00:00:00+00:00,0.191401,0.373191
2004-02-29 00:00:00+00:00,0.011521,0.126795
2004-03-31 00:00:00+00:00,0.025194,0.240096
2004-04-30 00:00:00+00:00,0.062510,0.396095
2004-05-31 00:00:00+00:00,0.000159,0.761347
2004-06-30 00:00:00+00:00,0.041703,0.114425
2004-07-31 00:00:00+00:00,0.039225,0.440758
2004-08-31 00:00:00+00:00,0.000613,0.241888
2004-09-30 00:00:00+00:00,0.017556,0.287637
2004-10-31 00:00:00+00:00,0.019109,0.437463
2004-11-30 00:00:00+00:00,0.009484,0.642359
2004-12-31 00:00:00+00:00,0.020621,0.125056
2005-01-31 00:00:00+00:00,0.033006,0.218014
2005-02-28 00:00:00+00:00,0.007872,0.457522
2005-03-31 00:00:00+00:00,0.027959,0.508108
2005-04-30 00:00:00+00:00,0.042123,0.242730
2005-05-31 00:00:00+00:00,0.006144,0.412546
2005-06-30 00:00:00+00:00,0.012452,0.635977
2005-07-31 00:00:00+00:00,0.020127,0.345223
2005-08-31 00:00:00+00:00,0.000801,0.194754
2005-09-30 00:00:00+00:00,0.017922,0.472046
2005-10-31 00:00:00+00:00,0.016476,0.557052
2005-11-30 00:00:00+00:00,0.010125,0.152035
2005-12-31 00:00:00+00:00,0.010556,0.206787
2006-01-31 00:00:00+00:00,0.018876,0.424953
2006-02-28 00:00:00+00:00,0.009662,0.332795
2006-03-31 00:00:00+00:00,0.008315,0.562301
2006-04-30 00:00:00+00:00,0.025670,0.080494
2006-05-31 00:00:00+00:00,0.010008,0.482097
2006-06-30 00:00:00+00:00,0.022345,0.204503
2006-07-31 00:00:00+00:00,0.047660,0.410407
2006-08-31 00:00:00+00:00,0.000203,0.561045
2006-09-30 00:00:00+00:00,0.005828,0.080840
2006-10-31 00:00:00+00:00,0.001269,0.131749
2006-11-30 00:00:00+00:00,0.005830,0.300062
2006-12-31 00:00:00+00:00,0.005828,0.639542
2007-01-31 00:00:00+00:00,0.010657,0.064781
2007-02-28 00:00:00+00:00,0.005023,0.132592
2007-03-31 00:00:00+00:00,0.000196,0.112060
2007-04-30 00:00:00+00:00,0.004950,0.145024
2007-05-31 00:00:00+00:00,0.005828,0.140304
2007-06-30 00:00:00+00:00,0.000196,0.405494
2007-07-31 00:00:00+00:00,0.005218,0.057045
2007-08-31 00:00:00+00:00,0.000196,0.150340
2007-09-30 00:00:00+00:00,0.005023,0.285657
2007-10-31 00:00:00+00:00,0.001269,0.154078
2007-11-30 00:00:00+00:00,0.006902,0.454756
2007-12-31 00:00:00+00:00,0.034356,0.202071
2008-01-31 00:00:00+00:00,0.069053,0.315591
2008-02-29 00:00:00+00:00,0.007387,0.163675
2008-03-31 00:00:00+00:00,0.030561,0.295527
2008-04-30 00:00:00+00:00,0.032400,0.174758
2008-05-31 00:00:00+00:00,0.019826,0.297714
2008-06-30 00:00:00+00:00,0.013801,0.170420
2008-07-31 00:00:00+00:00,0.025685,0.413089
2008-08-31 00:00:00+00:00,0.000732,0.065750
2008-09-30 00:00:00+00:00,0.028677,0.849512
2008-10-31 00:00:00+00:00,0.036738,0.082130
2008-11-30 00:00:00+00:00,0.002412,0.025934
2008-12-31 00:00:00+00:00,0.028494,0.114642
2009-01-31 00:00:00+00:00,0.035855,0.236525
2009-02-28 00:00:00+00:00,0.006029,0.088767
2009-03-31 00:00:00+00:00,0.020008,0.075354
2009-04-30 00:00:00+00:00,0.038751,0.518357
2009-05-31 00:00:00+00:00,0.005809,0.471718
2009-06-30 00:00:00+00:00,0.021051,0.739336
2009-07-31 00:00:00+00:00,0.042584,0.226641
2009-08-31 00:00:00+00:00,0.000004,0.273578
2009-09-30 00:00:00+00:00,0.025340,0.215783
2009-10-31 00:00:00+00:00,0.042286,0.246376
2009-11-30 00:00:00+00:00,0.005629,0.108843
2009-12-31 00:00:00+00:00,0.077781,0.098422
2010-01-31 00:00:00+00:00,0.148076,0.274485
2010-02-28 00:00:00+00:00,0.015223,0.158602
2010-03-31 00:00:00+00:00,0.069074,0.555250
2010-04-30 00:00:00+00:00,0.135965,0.338078
2010-05-31 00:00:00+00:00,0.000018,0.528061
2010-06-30 00:00:00+00:00,0.019667,0.160139
2010-07-31 00:00:00+00:00,0.031293,0.218325
2010-08-31 00:00:00+00:00,0.000040,0.080844
2010-09-30 00:00:00+00:00,0.018908,0.149651
2010-10-31 00:00:00+00:00,0.019403,0.093025
2010-11-30 00:00:00+00:00,0.018747,0.433146
2010-12-31 00:00:00+00:00,0.019754,0.365973
2011-01-31 00:00:00+00:00,0.024816,0.232713
2011-02-28 00:00:00+00:00,0.008082,0.097774
2011-03-31 00:00:00+00:00,0.013474,0.147801
2011-04-30 00:00:00+00:00,0.023003,0.259220
2011-05-31 00:00:00+00:00,0.001578,0.180712
2011-06-30 00:00:00+00:00,0.008810,0.352445
2011-07-31 00:00:00+00:00,0.015563,0.387376
2011-08-31 00:00:00+00:00,0.000002,0.571362
2011-09-30 00:00:00+00:00,0.012303,0.084464
2011-10-31 00:00:00+00:00,0.014636,0.186311
2011-11-30 00:00:00+00:00,0.003590,0.450954
2011-12-31 00:00:00+00:00,0.007912,0.542865
2012-01-31 00:00:00+00:00,0.009138,0.264922
2012-02-29 00:00:00+00:00,0.003587,0.317236
2012-03-31 00:00:00+00:00,0.004729,0.407686
2012-04-30 00:00:00+00:00,0.004273,0.178477
2012-05-31 00:00:00+00:00,0.005112,0.328732
2012-06-30 00:00:00+00:00,0.001786,0.986043
2012-07-31 00:00:00+00:00,0.004350,0.203088
2012-08-31 00:00:00+00:00,0.000000,0.181047
2012-09-30 00:00:00+00:00,0.004354,0.450012
2012-10-31 00:00:00+00:00,0.002849,0.236727
2012-11-30 00:00:00+00:00,0.001856,0.075598
2012-12-31 00:00:00+00:00,0.021184,0.000000
2013-01-31 00:00:00+00:00,0.025952,0.270593
2013-02-28 00:00:00+00:00,0.001261,0.248167
2013-03-31 00:00:00+00:00,0.000519,0.209510
2013-04-30 00:00:00+00:00,0.004840,0.372396
2013-05-31 00:00:00+00:00,0.002519,0.462606
2013-06-30 00:00:00+00:00,0.000505,0.326276
2013-07-31 00:00:00+00:00,0.002454,0.055473
2013-08-31 00:00:00+00:00,0.000003,0.089958
2013-09-30 00:00:00+00:00,0.013561,0.281542
2013-10-31 00:00:00+00:00,0.016215,0.363581
2013-11-30 00:00:00+00:00,0.001762,0.029035
2013-12-31 00:00:00+00:00,0.010543,0.271950
2014-01-31 00:00:00+00:00,0.011785,0.619580
2014-02-28 00:00:00+00:00,0.003467,0.249158
2014-03-31 00:00:00+00:00,0.017624,0.632538
2014-04-30 00:00:00+00:00,0.031821,0.015107
2014-05-31 00:00:00+00:00,0.005914,0.000000
2014-06-30 00:00:00+00:00,0.024343,0.000000
2014-07-31 00:00:00+00:00,0.035283,0.000000
2014-08-31 00:00:00+00:00,0.008447,0.048067
2014-09-30 00:00:00+00:00,0.014253,0.564988
2014-10-31 00:00:00+00:00,0.019230,0.306782
2014-11-30 00:00:00+00:00,0.002748,0.370120
2014-12-31 00:00:00+00:00,0.025712,0.089016
2015-01-31 00:00:00+00:00,0.040837,0.141316
2015-02-28 00:00:00+00:00,0.004060,0.214081
2015-03-31 00:00:00+00:00,0.010080,0.162797
2015-04-30 00:00:00+00:00,0.013873,0.271037
2015-05-31 00:00:00+00:00,0.004496,0.239357
2015-06-30 00:00:00+00:00,0.032420,0.242062
2015-07-31 00:00:00+00:00,0.063946,0.006000
2015-08-31 00:00:00+00:00,0.000205,0.191699
2015-09-30 00:00:00+00:00,0.020558,0.125350
2015-10-31 00:00:00+00:00,0.018984,0.068988
2015-11-30 00:00:00+00:00,0.007161,0.168391
