segment,corr,TE,SR,vol,CAGR
ALL,0.73511013,0.06414343,0.55617648,0.09314201,0.04859715
IS,0.72841593,0.06471094,0.56142333,0.09330357,0.04919028
OOS,0.79380514,0.05929188,0.51203334,0.09187683,0.04373765
