lookback,share
5,0.00455127
10,0.00529832
15,0.00943021
16,0.01319216
20,0.01921341
30,0.03091473
32,0.04278158
40,0.04637521
60,0.06647327
80,0.12361496
90,0.08043451
120,0.08363211
150,0.08368082
160,0.13917137
180,0.09423712
220,0.08126007
260,0.07573886
