Date,AUD,GBP,CAD,EUR,JPY,US5,BUND,SP500,CRUDE_W,GOLD
2000-01-03 00:00:00+00:00,,,,,,,,,,
2000-01-04 00:00:00+00:00,,,,,,,,,,
2000-01-05 00:00:00+00:00,0.00686446,0.00571700,0.00231746,0.00313772,-0.02220774,-0.00756747,,0.00267319,,
2000-01-06 00:00:00+00:00,-0.00834754,0.00667511,-0.00766463,-0.00400349,-0.02193660,0.00345781,,-0.01430310,-0.00708460,0.00197147
2000-01-07 00:00:00+00:00,0.00107507,-0.01106999,0.00204031,-0.00333372,0.00361361,0.00465154,,0.08103858,0.00731278,0.00338648
2000-01-10 00:00:00+00:00,0.00259793,-0.00234256,0.00043592,-0.00556561,0.00193865,-0.00461308,,0.01969086,0.03600976,-0.00156908
2000-01-11 00:00:00+00:00,0.00533306,0.01353884,-0.00072753,0.01324647,-0.01492882,-0.00862136,,-0.02863397,0.04316141,0.01222463
2000-01-12 00:00:00+00:00,-0.00014695,-0.00014695,0.00145213,-0.00274986,-0.00056645,-0.00384063,,-0.01735389,0.02273079,-0.00472757
2000-01-13 00:00:00+00:00,0.03051598,-0.00184486,0.00232151,-0.01153690,-0.00560057,0.00845991,,0.02411301,0.00598215,0.01006663
2000-01-14 00:00:00+00:00,-0.00492981,-0.01472133,-0.00130408,-0.02247593,0.00826902,-0.00479105,,0.02657180,0.07275984,-0.00120770
2000-01-17 00:00:00+00:00,-0.00492981,-0.01472133,-0.00130408,-0.02247593,0.00826902,-0.00479105,,0.02657180,0.07275984,-0.00120770
2000-01-18 00:00:00+00:00,-0.00524072,0.00181210,0.00043424,-0.00446564,0.00006393,-0.00520253,,-0.01300507,0.02119748,0.03318988
2000-01-19 00:00:00+00:00,-0.00525679,0.00865226,-0.00145239,0.00004818,0.00592596,0.00218406,,0.00528427,-0.00374693,0.00502135
2000-01-20 00:00:00+00:00,0.00647972,0.01238720,0.00376867,0.00791991,-0.00014778,-0.00368372,,-0.02188515,0.00435553,-0.00670233
2000-01-21 00:00:00+00:00,-0.00705337,-0.00546858,0.00534304,-0.01367029,0.00893676,-0.00055027,,-0.00496489,-0.00509252,0.00226253
2000-01-24 00:00:00+00:00,-0.02907216,0.00057975,-0.00287806,-0.01139482,-0.01594819,0.00685328,,-0.05797220,0.00525886,-0.01154847
2000-01-25 00:00:00+00:00,0.00321288,-0.00693788,0.00374049,-0.00540846,-0.00591278,-0.00095244,,0.00975201,0.01961520,-0.01091975
2000-01-26 00:00:00+00:00,-0.01052721,-0.00769103,-0.00086795,-0.00114501,0.00258168,-0.00239750,,-0.00439161,-0.02461767,-0.00015988
2000-01-27 00:00:00+00:00,0.00843972,0.00009361,0.00358400,-0.02821584,0.01359551,-0.00432832,,-0.00863813,-0.02401488,0.00472641
2000-01-28 00:00:00+00:00,-0.07071890,-0.02163660,-0.00830906,-0.02134722,-0.03986041,-0.00087713,,-0.06257657,0.01670307,-0.02802668
2000-01-31 00:00:00+00:00,0.01124601,-0.00620001,-0.00260636,-0.01606711,-0.00802177,-0.00305349,,0.05180996,0.03191384,0.00125022
2000-02-01 00:00:00+00:00,-0.01101661,-0.00089665,0.00042465,0.00724971,-0.00719915,0.00089428,,0.02196016,0.03141450,0.00760487
2000-02-02 00:00:00+00:00,0.02011028,-0.01005963,0.00577407,0.00456013,-0.00786541,0.00041144,,-0.00157693,-0.02642340,0.01596523
2000-02-03 00:00:00+00:00,-0.00422627,-0.01458851,-0.00158865,0.02907973,0.00845141,0.01137648,,0.02949635,0.03532385,0.01478486
2000-02-04 00:00:00+00:00,0.00016129,-0.00805049,-0.00101621,-0.01566603,0.00755683,-0.00640517,,-0.00712472,0.04080463,0.15989281
2000-02-07 00:00:00+00:00,-0.00847351,0.00840581,-0.00375269,-0.00502504,-0.02852528,-0.00779083,,-0.00575154,-0.03902542,-0.05447464
2000-02-08 00:00:00+00:00,-0.00330642,0.01814240,-0.00073154,0.01104145,-0.01086414,0.00113754,,0.02574403,-0.01235497,-0.01888214
2000-02-09 00:00:00+00:00,0.00521620,0.00406952,0.00216165,0.01280165,0.00289296,-0.00087881,,-0.03889303,0.02657724,0.04591016
2000-02-10 00:00:00+00:00,-0.01275121,-0.00684423,-0.00289448,-0.01262136,0.00353966,-0.00152480,,0.00194988,0.01887716,0.06497048
2000-02-11 00:00:00+00:00,0.00460185,-0.01855360,-0.00217826,0.00126407,0.00038951,0.00283435,,-0.03255987,0.00198946,-0.03216712
2000-02-14 00:00:00+00:00,-0.01627843,-0.00768113,-0.00464665,-0.01188097,0.00093171,0.00540859,,0.00269833,0.04652780,-0.01674318
2000-02-15 00:00:00+00:00,0.00526419,0.00916607,0.00028194,-0.00035842,-0.00643682,-0.00385165,,0.01627231,-0.01982970,-0.04453759
2000-02-16 00:00:00+00:00,0.00970090,0.01438918,0.00144695,0.01042433,-0.00591281,-0.00015483,,-0.02499014,0.03324816,0.00575506
2000-02-17 00:00:00+00:00,0.00174341,0.00146339,0.00144411,0.00348789,-0.02249074,-0.00385753,,-0.01021797,-0.03508316,-0.00803318
2000-02-18 00:00:00+00:00,-0.01342934,-0.01134904,0.00129617,-0.00803300,-0.00720656,0.00516719,,-0.04778705,-0.00861644,0.02287688
2000-02-21 00:00:00+00:00,-0.01342934,-0.01134904,0.00129617,-0.00803300,-0.00720656,0.00516719,,-0.04778705,-0.00861644,0.02287688
2000-02-22 00:00:00+00:00,-0.01192775,0.01610460,-0.00957448,0.04060696,0.00360384,0.01174786,,-0.00608134,0.01130821,0.00243816
2000-02-23 00:00:00+00:00,-0.01279869,-0.01157106,0.00086732,-0.00472787,-0.01130334,-0.00775341,,0.02355161,-0.00269272,-0.03494040
2000-02-24 00:00:00+00:00,-0.01626205,-0.00240246,0.00466606,-0.01748534,0.00350580,0.00939455,,-0.01482140,-0.01411698,-0.01008662
2000-02-25 00:00:00+00:00,-0.00080557,-0.00940034,0.00362516,-0.04084327,0.01568350,0.00239961,,-0.02526136,0.02199863,-0.04270476
2000-02-28 00:00:00+00:00,-0.00697790,0.00059662,-0.00073593,-0.00538609,0.01610735,-0.00813571,,0.01477829,-0.01279981,-0.00254209
2000-02-29 00:00:00+00:00,0.01711898,-0.01859797,-0.00044605,-0.01146484,-0.01618140,-0.00063870,,0.03543920,0.02571207,0.00017419
