DateUTC,AUD,CAD,CHF,EUR,GBP,JPY,US2Y,US5Y,US10Y,BOBL,BUND,S&P500,NASDAQ,DOW,EUROSTOXX,DAX,FTSE,TOPIX,WTI_CRUDE,BRENT_CRUDE,GASOIL,GOLD,SILVER,COPPER,CORN,WHEAT
2010-01-27 00:00:00+00:00,-0.01194408,-0.00318480,-0.00198562,-0.00738586,0.00359166,-0.00556265,-0.00143734,-0.00188574,-0.00265508,-0.00000262,-0.00195021,0.01332436,0.01597368,0.00724930,,-0.00572848,-0.02183186,,-0.02508840,-0.02802152,0.00039489,-0.02514146,-0.01292089,-0.06992280,-0.02024567,-0.03388621
2010-01-28 00:00:00+00:00,0.00044694,0.00329708,-0.00387249,-0.00826843,-0.00569245,0.00071729,0.00121817,0.00215172,0.00079382,0.00076585,0.00397650,-0.02787544,-0.04577138,0.01074731,,-0.01284997,-0.02255475,,-0.00613131,-0.00261094,-0.04554432,-0.00167155,-0.01665895,-0.07711628,0.01657402,0.00949267
2010-01-29 00:00:00+00:00,-0.02065771,-0.00604857,-0.00157724,-0.01574451,-0.01687347,-0.00809345,0.00186323,0.00524296,0.00796204,0.00067986,0.00461799,-0.01646172,-0.03547608,-0.02234576,,0.00664002,0.01167307,,-0.01447379,-0.01882696,0.01131514,-0.00148827,-0.02420054,-0.02969874,-0.02153710,-0.04512411
2010-02-01 00:00:00+00:00,0.01258964,-0.00192560,-0.00042653,0.00793112,-0.00469414,-0.00794620,-0.00086300,-0.00241773,-0.00516069,0.00059393,-0.00323825,0.02940997,0.02066405,0.00019677,,0.00900327,0.01840245,,0.03985181,0.04550147,0.00123604,0.02030182,-0.00461791,0.02047245,0.01789574,0.00690668
2010-02-02 00:00:00+00:00,-0.01161493,0.00877481,0.00307254,0.00617541,0.00263064,0.00616002,0.00028393,0.00147456,0.00291306,-0.00060002,-0.00057026,0.02046285,0.01348646,0.00776850,,0.01051333,0.01592408,,0.06702527,0.07949699,0.05167245,0.02352666,0.02750884,0.00372673,0.03293436,0.04411918
2010-02-03 00:00:00+00:00,-0.00556025,0.00466612,0.00137155,-0.00874019,-0.00989636,-0.01337469,-0.00100695,-0.00335890,-0.00755028,-0.00111187,-0.00583517,-0.00297776,0.01847848,0.01265167,,-0.00796083,-0.01016914,,-0.00453277,-0.00483283,0.04874486,-0.01074586,0.01052668,-0.07509591,-0.05612853,-0.06251881
2010-02-04 00:00:00+00:00,-0.03719552,-0.00412175,-0.00380329,-0.02287702,-0.01743387,0.04011018,0.00265180,0.00819923,0.01169094,0.00545763,0.01429535,-0.06180312,-0.05686552,-0.00175991,,-0.02442081,-0.04150039,,-0.09285307,-0.10067124,-0.09005924,-0.08814171,-0.03066650,-0.06339596,-0.00001861,0.02502777
2010-02-05 00:00:00+00:00,-0.00463868,-0.01177480,-0.01250791,-0.01564694,-0.01923827,0.00026489,0.00243359,0.00722882,0.01056741,0.00731416,0.00548339,-0.00378298,0.01178265,-0.02200750,,-0.01382750,-0.03042390,,-0.06289770,-0.06828889,-0.04403555,-0.01920318,-0.05897067,-0.01459106,-0.01347278,-0.00414138
2010-02-08 00:00:00+00:00,0.00650358,0.00042588,-0.00043286,0.00527778,0.00115109,-0.00410403,-0.00100503,-0.00347305,-0.00631353,-0.00169875,-0.00402742,-0.00709289,-0.01249893,-0.00121011,,0.00576965,0.01208835,,0.01898423,0.01569260,-0.02634271,0.02553856,-0.00000275,0.03901733,0.02129908,0.03761319
2010-02-09 00:00:00+00:00,0.02061075,0.00160366,0.00634379,0.01491907,0.00928648,-0.00643562,-0.00136387,-0.00321197,-0.00435567,0.00033585,-0.00943523,0.01939685,0.02072622,-0.00000303,,-0.00191612,0.00212561,,0.05380448,0.05702965,0.01633509,0.02062140,0.00960280,0.05097530,0.01340808,-0.00588016
2010-02-10 00:00:00+00:00,0.00320619,0.00224278,0.00277629,-0.00552102,-0.01237385,-0.00573928,-0.00215294,-0.00455612,-0.00542204,-0.00500857,-0.00162371,-0.00564317,-0.00831123,0.00775365,,0.00994591,0.01615076,,0.00947572,0.01183035,0.01620948,-0.00168357,0.01640123,0.00150351,0.01395816,0.04749234
2010-02-11 00:00:00+00:00,0.03386834,0.00767965,0.00138297,-0.00699225,0.01372834,0.00341292,0.00028392,-0.00040583,-0.00252150,-0.00289472,-0.00470921,0.02490778,0.03521380,0.00249619,,-0.00379856,0.01366896,,0.02205951,0.02064718,0.03979783,0.03417880,-0.00968647,0.09651772,0.01197614,-0.01108075
2010-02-12 00:00:00+00:00,-0.00652759,0.00825655,-0.00575102,-0.01023135,-0.00369882,-0.00448939,0.00186187,0.00348688,0.00530368,0.00536218,0.00609239,0.00462901,0.00869527,0.00907102,,-0.00127274,-0.00647302,,-0.02536024,-0.00944781,-0.04029806,-0.00859909,0.03234892,-0.03239461,-0.00629219,-0.02627590
2010-02-15 00:00:00+00:00,-0.00652759,-0.00115886,-0.00312262,-0.01023135,-0.00369882,-0.00448939,0.00186187,0.00348688,0.00530368,-0.00059771,0.00032091,-0.00627146,-0.00381989,-0.00069608,,0.00163236,0.00639439,,-0.02536024,-0.01076268,0.01100128,-0.00859909,-0.01218255,-0.03239461,-0.00629219,-0.02627590
2010-02-16 00:00:00+00:00,0.02821727,0.00546935,0.00485385,0.02041304,0.01455398,-0.00431955,0.00114373,0.00334686,0.00409875,-0.00025801,0.00315553,0.03275984,0.02176874,0.00148430,,0.01396311,0.03051000,,0.06834059,0.08668496,0.08968724,0.05466669,0.03709376,0.09002167,0.02767176,0.06580646
2010-02-17 00:00:00+00:00,-0.00222869,0.00125314,0.00622644,-0.02035751,-0.01166530,-0.02181438,-0.00200825,-0.00762856,-0.01096499,0.00110134,-0.00461417,0.01141805,0.01385993,0.01454738,,0.00956706,-0.00263794,,0.00394960,0.01443574,-0.00081832,0.00061276,0.05729346,0.01132733,-0.03167611,-0.03540538
2010-02-18 00:00:00+00:00,0.00657084,-0.00115276,-0.01014279,0.00007047,-0.00778111,-0.00419470,-0.00057669,-0.00416611,-0.00797084,-0.00382514,-0.00462449,0.01089808,0.00990017,0.00350922,,0.00779292,0.01998742,,0.03242893,0.03898416,0.04293866,-0.00251235,-0.04829621,0.02870511,-0.00821053,-0.03379675
2010-02-19 00:00:00+00:00,-0.00933216,-0.00429347,-0.00916838,-0.00308758,-0.02061230,-0.00913456,-0.00193935,-0.00202193,-0.00013709,-0.00230096,-0.00658458,0.00134088,-0.00168264,-0.00048907,,0.00694147,0.01546054,,0.00679359,0.01112562,0.01845887,0.00606591,-0.00031903,0.04397811,0.01389627,0.01624854
2010-02-22 00:00:00+00:00,0.00658074,-0.00093768,-0.00086255,0.00176274,0.00297223,0.01210637,0.00157629,0.00107473,0.00013072,0.00135997,0.00341985,0.00224428,0.00188926,0.00047844,,-0.00681186,-0.00599862,,0.00895177,0.01106087,0.01751458,-0.01605356,0.01003349,-0.02994010,0.05082885,0.03764955
