,ColumnUsed
AUD,AUD
CAD,CAD
CHF,CHF
EUR,EUR
GBP,GBP
JPY,JPY
US2Y,US2
US5Y,US5
US10Y,US10
BOBL,BOBL
BUND,BUND
S&P500,SP500
NASDAQ,NASDAQ
DOW,DOW
EUROSTOXX,EUROSTX
DAX,DAX
FTSE,FTSE100
TOPIX,TOPIX
WTI_CRUDE,CRUDE_W
BRENT_CRUDE,BRENT_W
GASOIL,GASOIL
GOLD,GOLD
SILVER,SILVER
COPPER,COPPER
