Date,residual
2002-12-02 00:00:00+00:00,-0.0035797092
2002-12-03 00:00:00+00:00,0.0053895586
2002-12-04 00:00:00+00:00,-0.008870845
2002-12-05 00:00:00+00:00,-0.0014667446
2002-12-06 00:00:00+00:00,-0.00030498247
2002-12-09 00:00:00+00:00,0.0027076846
2002-12-10 00:00:00+00:00,-0.0019294763
2002-12-11 00:00:00+00:00,-0.0048140995
2002-12-12 00:00:00+00:00,-0.0137029765
2002-12-13 00:00:00+00:00,0.005434629
2002-12-16 00:00:00+00:00,-0.0031805686
2002-12-17 00:00:00+00:00,-0.007069404
2002-12-18 00:00:00+00:00,-0.010048032
2002-12-19 00:00:00+00:00,-0.0016205147
2002-12-20 00:00:00+00:00,0.0024844098
2002-12-23 00:00:00+00:00,-0.007522732
2002-12-24 00:00:00+00:00,-0.009601303
2002-12-25 00:00:00+00:00,-0.00017389492
2002-12-26 00:00:00+00:00,-0.004373549
2002-12-27 00:00:00+00:00,-0.022060936
2002-12-30 00:00:00+00:00,0.0057023135
2002-12-31 00:00:00+00:00,-0.0014124903
2003-01-01 00:00:00+00:00,0.0005918554
2003-01-02 00:00:00+00:00,0.032690734
2003-01-03 00:00:00+00:00,-0.012697875
2003-01-06 00:00:00+00:00,0.0050377324
2003-01-07 00:00:00+00:00,0.009023037
2003-01-08 00:00:00+00:00,-0.022699978
2003-01-09 00:00:00+00:00,0.0045623984
2003-01-10 00:00:00+00:00,-0.01024891
2003-01-13 00:00:00+00:00,0.0024792366
2003-01-14 00:00:00+00:00,-0.0019269173
2003-01-15 00:00:00+00:00,-0.009120218
2003-01-16 00:00:00+00:00,-0.014095585
2003-01-17 00:00:00+00:00,-0.011757252
2003-01-20 00:00:00+00:00,-0.005424243
2003-01-21 00:00:00+00:00,-0.0017085419
2003-01-22 00:00:00+00:00,-0.006804066
2003-01-23 00:00:00+00:00,-0.0013845193
2003-01-24 00:00:00+00:00,-0.023880273
2003-01-27 00:00:00+00:00,0.0064851586
2003-01-28 00:00:00+00:00,0.003575212
2003-01-29 00:00:00+00:00,-0.011037403
2003-01-30 00:00:00+00:00,0.0018845627
2003-01-31 00:00:00+00:00,0.005928182
2003-02-03 00:00:00+00:00,0.0067206956
2003-02-04 00:00:00+00:00,-0.023586214
2003-02-05 00:00:00+00:00,0.014952733
2003-02-06 00:00:00+00:00,-0.013121146
2003-02-07 00:00:00+00:00,-0.010811761
2003-02-10 00:00:00+00:00,0.015570485
2003-02-11 00:00:00+00:00,-0.0039287587
2003-02-12 00:00:00+00:00,0.0023758158
2003-02-13 00:00:00+00:00,-0.015765596
2003-02-14 00:00:00+00:00,0.01564466
2003-02-17 00:00:00+00:00,0.009346888
2003-02-18 00:00:00+00:00,0.010933947
2003-02-19 00:00:00+00:00,-0.020898465
2003-02-20 00:00:00+00:00,-0.007922239
2003-02-21 00:00:00+00:00,-0.0010633408
2003-02-24 00:00:00+00:00,-0.024382744
2003-02-25 00:00:00+00:00,0.0011529855
2003-02-26 00:00:00+00:00,-0.010320048
2003-02-27 00:00:00+00:00,0.00975517
2003-02-28 00:00:00+00:00,-0.009520944
2003-03-03 00:00:00+00:00,-4.589185e-05
2003-03-04 00:00:00+00:00,-0.003122355
2003-03-05 00:00:00+00:00,-0.0053547244
2003-03-06 00:00:00+00:00,-0.00021590525
2003-03-07 00:00:00+00:00,-0.0129386075
2003-03-10 00:00:00+00:00,-0.00762991
2003-03-11 00:00:00+00:00,0.009135224
2003-03-12 00:00:00+00:00,0.010013415
2003-03-13 00:00:00+00:00,0.041258976
2003-03-14 00:00:00+00:00,0.011839912
2003-03-17 00:00:00+00:00,0.011866796
2003-03-18 00:00:00+00:00,0.016436402
2003-03-19 00:00:00+00:00,0.010271436
2003-03-20 00:00:00+00:00,0.013829658
2003-03-21 00:00:00+00:00,-0.0058557866
2003-03-24 00:00:00+00:00,0.00994136
2003-03-25 00:00:00+00:00,0.0025350852
2003-03-26 00:00:00+00:00,-0.002149711
