Date,model
2002-12-02 00:00:00+00:00,0.00028631
2002-12-03 00:00:00+00:00,0.00035607
2002-12-04 00:00:00+00:00,0.00039609
2002-12-05 00:00:00+00:00,0.00039940
2002-12-06 00:00:00+00:00,0.00036186
2002-12-09 00:00:00+00:00,0.00037449
2002-12-10 00:00:00+00:00,0.00033773
2002-12-11 00:00:00+00:00,0.00035230
2002-12-12 00:00:00+00:00,0.00036408
2002-12-13 00:00:00+00:00,0.00040196
2002-12-16 00:00:00+00:00,0.00038520
2002-12-17 00:00:00+00:00,0.00039789
2002-12-18 00:00:00+00:00,0.00041836
2002-12-19 00:00:00+00:00,0.00044675
2002-12-20 00:00:00+00:00,0.00045091
2002-12-23 00:00:00+00:00,0.00044480
2002-12-24 00:00:00+00:00,0.00046637
2002-12-25 00:00:00+00:00,0.00049353
2002-12-26 00:00:00+00:00,0.00049462
2002-12-27 00:00:00+00:00,0.00050743
2002-12-30 00:00:00+00:00,0.00056880
2002-12-31 00:00:00+00:00,0.00055388
2003-01-01 00:00:00+00:00,0.00055852
2003-01-02 00:00:00+00:00,0.00055764
2003-01-03 00:00:00+00:00,0.00046890
2003-01-06 00:00:00+00:00,0.00050427
2003-01-07 00:00:00+00:00,0.00049120
2003-01-08 00:00:00+00:00,0.00046726
2003-01-09 00:00:00+00:00,0.00052973
2003-01-10 00:00:00+00:00,0.00051804
2003-01-13 00:00:00+00:00,0.00054658
2003-01-14 00:00:00+00:00,0.00054060
2003-01-15 00:00:00+00:00,0.00054655
2003-01-16 00:00:00+00:00,0.00057197
2003-01-17 00:00:00+00:00,0.00061082
2003-01-20 00:00:00+00:00,0.00064337
2003-01-21 00:00:00+00:00,0.00065885
2003-01-22 00:00:00+00:00,0.00066434
2003-01-23 00:00:00+00:00,0.00068351
2003-01-24 00:00:00+00:00,0.00068814
2003-01-27 00:00:00+00:00,0.00075307
2003-01-28 00:00:00+00:00,0.00074276
2003-01-29 00:00:00+00:00,0.00073087
2003-01-30 00:00:00+00:00,0.00075231
2003-01-31 00:00:00+00:00,0.00079555
2003-02-03 00:00:00+00:00,0.00078901
2003-02-04 00:00:00+00:00,0.00078198
