Date,Carry5,Carry20,Carry60,Carry120,symbol
2010-06-02,-5.496125852288666,-5.84788328981118,-7.488351317667114,-9.02136383822147,TOPIX
2010-06-03,-4.580104876907222,-5.569412656963029,-7.36559146000044,-8.946807112285756,TOPIX
2010-06-04,-3.9694242266529263,-5.317463036767083,-7.2468565156998865,-8.87348272892749,TOPIX
2010-06-07,-4.478324768531507,-5.367979251342711,-7.254774378059468,-8.87592704478359,TOPIX
2010-06-08,-4.81759179645056,-5.413684397863517,-7.262432638374472,-8.878330958724712,TOPIX
2010-06-09,-5.043769815063262,-5.455036673287104,-7.269839808187345,-8.880695138551104,TOPIX
2010-06-10,-4.278534185423619,-5.213980003917436,-7.154244262306892,-8.808463515089281,TOPIX
2010-06-11,-20.0,-11.122235035242305,-9.743155602990987,-10.377673773344778,TOPIX
2010-06-14,-20.0,-20.0,-14.825141615636413,-13.486637916609698,TOPIX
2010-06-15,-20.0,-20.0,-19.494985420730607,-16.39510077092443,TOPIX
2010-06-16,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-06-17,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-06-18,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-06-21,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-06-22,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-06-23,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-06-24,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-06-25,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-06-28,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-06-29,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-06-30,-12.833896538122586,-20.0,-20.0,-20.0,TOPIX
2010-07-01,20.0,-20.0,-20.0,-20.0,TOPIX
2010-07-02,20.0,-20.0,-20.0,-20.0,TOPIX
2010-07-05,20.0,-20.0,-20.0,-20.0,TOPIX
2010-07-06,20.0,-20.0,-20.0,-20.0,TOPIX
2010-07-07,20.0,-11.734655049709884,-20.0,-20.0,TOPIX
2010-07-08,20.0,-15.351069612917993,-20.0,-20.0,TOPIX
2010-07-09,3.9144119286210506,-17.509181210142245,-20.0,-20.0,TOPIX
2010-07-12,-5.634580826018965,-18.34787583814301,-20.0,-20.0,TOPIX
2010-07-13,-1.924345266583089,-16.043517825956897,-20.0,-20.0,TOPIX
2010-07-14,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-07-15,-20.0,-20.0,-20.0,-20.0,TOPIX
2010-07-16,8.08113283665198,-12.719029708156588,-20.0,-20.0,TOPIX
2010-07-20,20.0,0.4665436669955016,-20.0,-20.0,TOPIX
2010-07-21,20.0,15.45952511060563,-17.39248539854628,-20.0,TOPIX
2010-07-22,20.0,20.0,-9.45664851564268,-17.664748181247273,TOPIX
2010-07-23,20.0,20.0,-6.323117739615976,-15.657964175944889,TOPIX
2010-07-26,20.0,20.0,-3.9061249658907298,-14.057133783879795,TOPIX
2010-07-27,20.0,20.0,-1.6911377145444606,-12.557320124230833,TOPIX
2010-07-28,20.0,20.0,-4.213647587362829,-13.915452358562975,TOPIX
2010-07-29,5.436569944238649,20.0,-5.671373357116056,-14.654682318726225,TOPIX
2010-07-30,16.448673618165987,20.0,-3.7667886823361907,-13.368662001597688,TOPIX
2010-08-02,20.0,20.0,-2.4156888373961327,-12.402125122379422,TOPIX
2010-08-03,5.173139332183738,19.186266453367825,-3.441324643694686,-12.868141852125161,TOPIX
2010-08-04,19.937137111655154,20.0,-1.118816889507842,-11.313424225743042,TOPIX
2010-08-05,8.711319864196216,18.848504601703024,-1.6959336568737422,-11.499209107888673,TOPIX
2010-08-06,-11.596851956116629,11.762466901235477,-3.972766570347966,-12.725717328636032,TOPIX
2010-08-09,-11.395318538936865,9.528349426868067,-4.333551359363909,-12.813601797194824,TOPIX
2010-08-10,-5.764837075195022,9.177828842386457,-3.9459479929038745,-12.452693274295381,TOPIX
2010-08-11,20.0,19.99951648463868,1.3393413731260695,-9.115481144097924,TOPIX
2010-08-12,20.0,19.17012751904396,1.7694712602742058,-8.676907879303547,TOPIX
2010-08-13,20.0,18.137903912244862,2.0612603564957253,-8.321038321585208,TOPIX
2010-08-16,17.03471493080867,17.462880559798617,2.4576120386230813,-7.9017357590278,TOPIX
2010-08-17,14.730310034185909,16.825395379768988,2.8291763259620426,-7.496525703479553,TOPIX
2010-08-18,12.233409142106614,15.956590993069165,3.0598199465274636,-7.176200954089513,TOPIX
2010-08-19,9.355660555934326,14.80173255241359,3.1203223713468233,-6.959911299397782,TOPIX
2010-08-20,9.526875845306549,14.392134376118518,3.4588925965616943,-6.577110771780386,TOPIX
2010-08-23,10.27695540907609,14.21487028330869,3.8715866453743275,-6.148877456642939,TOPIX
2010-08-24,11.792860147407502,14.363307684849014,4.406888337869638,-5.645040235993799,TOPIX
2010-08-25,14.1813603857933,14.916489288752008,5.1092969893605735,-5.037381184358447,TOPIX
2010-08-26,15.046390819877276,15.195886597171029,5.6912068801641045,-4.498962692187383,TOPIX
2010-08-27,14.637268891895065,15.148988461512861,6.121925326732541,-4.049680578562723,TOPIX
2010-08-30,13.085768359421003,14.717815672661091,6.367150797851911,-3.7119047712117617,TOPIX
2010-08-31,15.288163944276175,15.311673563723282,7.038103913208764,-3.116268354362099,TOPIX
2010-09-01,15.404776268121902,15.438071156748087,7.505918026561463,-2.6404906996054818,TOPIX
2010-09-02,9.407436510474383,13.70560446647607,7.1442465492358895,-2.6670398026075026,TOPIX
