Date,VXc1,TYc1,CLc2,S c1,DXc1,6Bc1,FGBLc1,ESc1,FLGc1,FDXc1,6Ac1,FFIc1,6Sc1,S c2,NKc1,TUc1,6Ec1,GCc1,GCc2,HGCc1,6Cc1,6Jc1,CLc1,AU3MT=RR,CH3MT=RR,GB3MT=RR,GB10YT=RR,DE10YT=RR,DE3MT=RR,US10YT=RR,JP3MT=RR,CA3MT=RR
2007-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-19,0.018271604938271624,-0.003969379075701718,-0.0029677259799679723,,0.001643697053989035,,-0.006060606060605989,0.005591185660253295,-0.004085043171478953,0.004810505103035823,,0.02853736089030212,,,0.01104294478527601,0.0027272727272726893,,,-0.004135079255685681,,,,-0.0036496350364962904,,,,,,,,,
2007-09-20,0.008729388942773975,-0.012382578992314208,0.013394518169415726,,-0.009341075485988282,,-0.00759985860728174,-0.006050695012264962,-0.0041017991982846835,-0.0006469560716827472,,-0.00564185794883687,,,-0.01638349514563109,-0.0018132366273798661,,0.0,0.01619377162629765,,,,0.02564102564102555,,,,,,,,,
2007-09-21,-0.04326923076923084,0.004899841475716871,-0.016644229592461146,,0.0,,0.0015138023152270197,0.00806186245475482,-0.00402508658616485,0.0034310869424483137,,0.0062179387533032315,,,0.01264651449722387,-0.0001513775355737046,,0.0,-0.0029964587305911783,,,,-0.03214285714285714,,,,,,,,,
2007-09-24,-0.010552763819095312,-0.0007170514842965714,-0.006471686372121921,,-0.000764525993883769,,-0.00017782519783049455,0.0,0.0016917293233082997,0.012193548387096742,,0.007724393635099691,,,0.00030459945172101044,0.0010598031794095686,,0.0,-0.0016393442622951726,,,,-0.007749077490774803,,,,,,,,,
2007-09-25,0.010665312341289868,0.000861079219288241,-0.018414130026305875,,-0.002805406783983666,,0.0010671409515339292,-0.0019585441488493283,0.0028147870144492604,0.00312320734272431,,-0.010961214165261413,,,-0.0012180267965895553,0.0015124016938898865,,0.0,0.0019157088122605526,,,,-0.016362960208255894,,,,,,,,,
2007-09-26,-0.04271356783919589,0.0005735589331803403,0.010209290454313402,,0.002557544757033181,,-0.002487341209913674,0.004742436631234748,-0.001122754491017841,0.0033041047147033265,,0.00666511663954128,,,0.012499999999999956,0.0,,0.0,-0.005053264135482127,,,,0.017265280403276684,,,,,,,,,
2007-09-27,-0.01522309711286085,0.003296073373459496,0.029686710459828403,,-0.001913265306122569,,0.0012467717517143928,0.005533854166666741,-0.0020606968902210365,0.00671310956301463,,0.006390022326584033,,,0.021680216802167918,-0.0001510117789187415,,0.013110681755451381,0.012079615648592945,,,,0.027502477700693806,,,,,,,,,
2007-09-28,0.00746268656716409,-0.0015712041136980437,-0.011164274322169154,,-0.008051118210862573,,0.0009783865516321821,-0.002913564260278445,0.0033790125774357804,-0.0018243583291394083,,-0.005201958384332905,,,-0.012378426171529622,0.00030206917384090204,,0.013485901103391873,0.012613590126135943,,,,-0.013865444899927581,,,,,,,,,
2007-10-01,-0.023809523809523725,0.0018597997138769529,-0.016873449131513674,,0.002447822726101556,,0.0009774302470233476,0.01103896103896096,0.0016838166510757535,0.013298039957143848,,0.010612119347892968,,,0.0214861235452104,-0.0005284614223162176,,0.0040322580645162365,0.004152156442539523,,,,-0.019684558014427145,,,,,,,,,
2007-10-02,0.02655826558265595,0.0018563472797372693,-0.0008833922261483051,,0.005140727412928925,,0.0013315579227695107,-0.0017662170841361569,0.003642136720209299,0.0,,-0.002434941409222291,,,-0.0014607069821793717,0.0006042752473751634,,-0.023025435073627865,-0.0213418700813659,,,,0.0017460713394858995,,,,,,,,,
2007-10-03,0.008447729672650395,-0.0027080957810717843,-0.0053050397877983935,,0.0034522439585731313,,-0.0017730496453900457,-0.0022518899790895386,-0.002326230575974697,-0.002550068416469764,,0.005720823798627039,,,0.0026331187829140568,-0.0009058654789764198,,-0.0036996437380103497,-0.0019081368406707044,,,,-0.008092629482071567,,,,,,,,,
2007-10-04,0.009947643979057563,0.003287123052736929,0.024380952380952392,,-0.0012742099898064296,,0.003374777975133192,0.0009672738997259511,0.0018653236336505508,-0.00012471160441474005,,0.0022753128555177415,,,-0.0011672016340822378,0.000906686815262514,,0.013340668408746925,0.010105148163321198,,,,0.0225931969373665,,,,,,,,,
2007-10-05,-0.07205806117159153,-0.007977207977208023,-0.0033469691335068497,,-0.0017861699413115328,,-0.005045140732873099,0.011918183282332073,-0.001303295475702848,0.0072341752416589244,,0.005599697313658725,,,0.011977797253870826,-0.0016607533781233252,,0.006650380021715696,0.0018926591861565534,,,,-0.006259972996194962,,,,,,,,,
2007-10-08,0.016759776536312998,0.0,-0.023134328358208944,,0.003962167689161689,,0.00035584022773771373,-0.00509310838771293,0.0005592841163311046,-0.002414711163395422,,-0.008653773797877906,,,-0.002309468822170868,0.0,,-0.010920857489551072,-0.007691269734178996,,,,-0.022233201581027595,,,,,,,,,
2007-10-09,-0.06593406593406592,-0.0015795519816197423,0.011968423733129674,,-0.0012730744748566947,,0.0003557136505112357,0.008958566629339249,0.0027016955468603943,0.0036618669314796293,,0.010626992561105109,,,0.0014467592592593004,-0.00105860113421552,,0.003953107960741553,0.006255099265705777,,,,0.012885295603840552,,,,,,,,,
2007-10-10,0.01764705882352935,0.0004314684308930339,0.013839959738298768,,-0.0019120458891014325,,-0.0002666903724776182,-0.002219755826859071,-0.00511009941466134,-0.005318162142106231,,0.0028541385008262754,,,-0.0011557353366079548,-0.00030277798804023703,,0.006109979633401208,0.003918918918918823,,,,0.0142180094786728,,,,,,,,,
