Date,NEIXCTA Index,NEIXCTAT Index
1999-12-31,,
2000-01-03,-0.0032600000000000406,-0.0027999999999999137
2000-01-04,-0.009779882416678376,-0.02660048134777382
2000-01-05,-0.0028703373482257266,-0.00879904066658832
2000-01-06,-0.0017893450143726675,-0.009000834603947738
2000-01-07,-0.0054804671833615926,-0.009899598625236372
2000-01-10,0.002809581029545205,0.007600361851374027
2000-01-11,0.014029980842227507,0.02419972897649192
2000-01-12,0.0027699910921434867,0.005499739280743432
2000-01-13,-0.0015698760460403083,-0.002500035729379624
2000-01-14,0.009700480449746918,0.02000026608346639
2000-01-17,0.0019495351185154774,0.0029999598667576066
2000-01-18,0.01019079797277156,0.020699830944211683
2000-01-19,-0.0030701732813276372,-0.002400126229586963
2000-01-20,-0.0004598227412935252,-0.0020993915006571884
2000-01-21,-0.0018904842008828915,-0.0008003725227092584
2000-01-24,0.0007902651987581333,-0.003899645701719523
2000-01-25,-0.00018975107031460325,9.990049515029575e-05
2000-01-26,-0.004670541486270108,-0.009900040252910913
2000-01-27,0.007630085358041994,0.01090004265320954
2000-01-28,0.006849868620505406,0.003099774804374178
2000-01-31,0.0017903849768199365,0.004499845342443409
2000-02-01,-0.003169835362034523,-0.007100030008414082
2000-02-02,-0.005110017811053802,-0.012800328699798746
2000-02-03,-0.01346089424005359,-0.025599441328485684
2000-02-04,0.00794085159166591,0.017599881715980814
2000-02-07,0.008759161696701101,0.01329979375784518
2000-02-08,-0.007059442925774206,-0.015000263878779174
2000-02-09,0.0020299105137888684,0.0034007794295303206
2000-02-10,0.006889886211737473,0.016699427433809255
2000-02-11,-0.001669750263012637,-0.00669987038262887
2000-02-14,0.003219375178008521,0.004200075222249744
2000-02-15,-0.002819416380809292,-0.004500418747572232
2000-02-16,0.00021009063349208823,0.0025008906803400954
2000-02-17,0.0036296821230794585,0.003299988352982286
2000-02-18,0.002860579744161429,0.003099624552518998
2000-02-21,-0.0016500153591854083,-0.004199852025939088
2000-02-22,-0.011789953240674333,-0.027500591015374276
2000-02-23,0.0037195445608950717,0.009000506610449266
2000-02-24,-0.0009601692261331785,0.0006994861661677731
2000-02-25,-0.00040020858161538,0.0008001545684173106
2000-02-28,-0.00511998737753494,-0.006300096022641144
2000-02-29,0.006520146737993837,0.012300672249589972
2000-03-01,-0.00879018288425537,-0.007800363742325733
2000-03-02,0.005410695213730499,0.006500602057629479
2000-03-03,0.0009595136619526823,0.0034994657227434
2000-03-06,0.0023298471185912994,0.00519981069721176
2000-03-07,0.0031104045889793763,0.0055998324239674435
2000-03-08,-0.011009759833474186,-0.020999976193877168
2000-03-09,-0.006209996157844122,-0.008099512347348847
2000-03-10,-0.0005904143090055269,0.0007998128662616288
2000-03-13,-0.005759690364163905,-0.011199658692621184
2000-03-14,-0.0025607280631465557,-0.005900149568172197
2000-03-15,0.0013204420557770824,-0.001600086390128208
2000-03-16,0.0012603155620785067,0.001599530748846556
2000-03-17,0.006109662254412118,0.011200639621211206
2000-03-20,-0.0055199649056539846,-0.011999708376075668
2000-03-21,0.006560444209094074,0.012899993868033865
2000-03-22,0.0009393692549732879,0.00249953056845853
2000-03-23,-0.004939776219061498,-0.0072004740951813195
2000-03-24,-0.00782982067184912,-0.01329918844022182
2000-03-27,-0.0009899869887424195,-0.0013008262597639098
2000-03-28,0.00046009230159405057,0.0014008635345492682
2000-03-29,0.0018395228560714738,-0.00030088447498799464
2000-03-30,-0.006239867151866307,-0.008199479564004242
2000-03-31,0.0115601478951739,0.016900164797417183
2000-04-03,-0.006919849178399606,-0.011300582436950979
2000-04-04,-0.005429938333363693,-0.009800068540742446
2000-04-05,-0.0025402864020500626,-0.004399751911992267
2000-04-06,-0.0015800073550309435,-0.002199498442066239
2000-04-07,0.0056698874593150705,0.012599616450031936
2000-04-10,-0.0030802102578306734,-0.006400287870912735
2000-04-11,-0.006869452916769658,-0.011899278122461832
2000-04-12,-0.0025597907898767813,-0.006900609362708976
2000-04-13,0.0011691424473705414,0.001700718812691182
2000-04-14,0.007190346649208257,0.005199069640169585
2000-04-17,0.0019704373270517106,-9.967108541808489e-05
2000-04-18,-0.005549895164127627,-0.004899375761005631
2000-04-19,0.0012290589621097858,0.0028995966200096035
2000-04-20,-0.0031199383978121054,-0.005300199656963711
2000-04-21,0.0011105066840413347,0.0019996501691927904
2000-04-24,-0.00014019432775802532,-9.913643544168238e-05
2000-04-25,0.0038901704879241716,0.005800056470263604
2000-04-26,0.0004098364833990953,0.0006000188577355292
2000-04-27,0.0003903061406467234,-0.0006007298707306763
2000-04-28,0.0003198650454738772,-0.0010993214422325703
2000-05-01,-0.005390141123324588,-0.008799959668639334
2000-05-02,-0.006119680347297263,-0.01070045331916425
2000-05-03,0.0013794055472913236,0.0004998988169790941
2000-05-04,-0.0008291780129973114,-0.0019996894959996014
2000-05-05,-0.004060784089633729,-0.009299823731695356
2000-05-08,0.0032999171919276815,0.005599762916830731
2000-05-09,8.03718537767395e-05,-0.0023004482135238202
2000-05-10,0.00528969148961389,0.006500634853454645
2000-05-11,0.008740382555721515,0.020300177180314405
2000-05-12,-0.010110451937506482,-0.01920080023010906
2000-05-15,0.005960311122698014,0.008700628773901764
2000-05-16,0.0010305228628129104,0.001899558794653533
2000-05-17,0.008639326466855834,0.016500567379572617
2000-05-18,0.008700740017643982,0.017499251690752837
2000-05-19,-0.008180881022580078,-0.012999222161386381
2000-05-22,-0.0040696353085559744,-0.009900359993805563
2000-05-23,0.0013499177473108581,0.0009995072097357394
2000-05-24,0.010330015587698638,0.017000341398105467
