Date,SPI200
2022-08-29 00:00:00+00:00,
2022-09-05 00:00:00+00:00,-0.00719669
2022-09-07 00:00:00+00:00,-0.01456467
2022-09-08 00:00:00+00:00,0.01698324
2022-09-09 00:00:00+00:00,0.00516870
2022-09-10 00:00:00+00:00,0.01181856
2022-09-12 00:00:00+00:00,-0.00151982
2022-09-13 00:00:00+00:00,0.00752321
2022-09-14 00:00:00+00:00,-0.02532447
2022-09-15 00:00:00+00:00,0.00093534
2022-09-16 00:00:00+00:00,-0.01542988
2022-09-17 00:00:00+00:00,-0.00038475
2022-09-19 00:00:00+00:00,-0.00246183
2022-09-20 00:00:00+00:00,0.01374423
2022-09-21 00:00:00+00:00,-0.01814252
2022-09-22 00:00:00+00:00,-0.00801087
2022-09-23 00:00:00+00:00,-0.01183928
2022-09-24 00:00:00+00:00,-0.01258875
2022-09-26 00:00:00+00:00,-0.00194331
2022-09-27 00:00:00+00:00,0.00593911
2022-09-28 00:00:00+00:00,-0.00731893
2022-09-29 00:00:00+00:00,0.01353445
2022-09-30 00:00:00+00:00,-0.01246516
2022-10-01 00:00:00+00:00,0.00083688
2022-10-03 00:00:00+00:00,-0.00302648
2022-10-04 00:00:00+00:00,0.03756844
2022-10-05 00:00:00+00:00,0.01543976
2022-10-06 00:00:00+00:00,0.00299477
2022-10-07 00:00:00+00:00,-0.00845160
2022-10-08 00:00:00+00:00,-0.00896564
2022-10-10 00:00:00+00:00,-0.00486781
2022-10-11 00:00:00+00:00,-0.00414298
2022-10-12 00:00:00+00:00,0.00020041
2022-10-13 00:00:00+00:00,-0.00190826
2022-10-14 00:00:00+00:00,0.01904039
2022-10-15 00:00:00+00:00,-0.01504203
2022-10-17 00:00:00+00:00,0.00019530
2022-10-18 00:00:00+00:00,0.01790333
2022-10-19 00:00:00+00:00,0.00136349
2022-10-20 00:00:00+00:00,-0.00997569
2022-10-21 00:00:00+00:00,-0.00858673
2022-10-22 00:00:00+00:00,0.01428623
2022-10-24 00:00:00+00:00,0.00062754
2022-10-25 00:00:00+00:00,0.00313717
2022-10-26 00:00:00+00:00,0.00091878
2022-10-27 00:00:00+00:00,0.00591877
2022-10-28 00:00:00+00:00,-0.00947148
2022-10-29 00:00:00+00:00,0.01361355
2022-10-31 00:00:00+00:00,0.01080660
2022-11-01 00:00:00+00:00,0.01674710
2022-11-02 00:00:00+00:00,0.00217995
2022-11-03 00:00:00+00:00,-0.01900439
2022-11-04 00:00:00+00:00,0.00396963
2022-11-05 00:00:00+00:00,0.01324993
2022-11-07 00:00:00+00:00,0.00562033
2022-11-08 00:00:00+00:00,0.00270984
2022-11-09 00:00:00+00:00,0.00577744
2022-11-10 00:00:00+00:00,-0.00569037
2022-11-11 00:00:00+00:00,0.02920221
2022-11-12 00:00:00+00:00,0.00574773
2022-11-14 00:00:00+00:00,0.02153850
2022-11-21 00:00:00+00:00,-0.00702918
