Date,EU-MEDIA
2018-06-14 00:00:00+00:00,
2018-06-15 00:00:00+00:00,-0.00744286
2018-06-18 00:00:00+00:00,-0.00537079
2018-06-19 00:00:00+00:00,-0.00753793
2018-06-20 00:00:00+00:00,0.01359083
2018-06-21 00:00:00+00:00,0.00065477
2018-06-22 00:00:00+00:00,0.01021229
2018-06-25 00:00:00+00:00,-0.01336740
2018-06-26 00:00:00+00:00,-0.00360497
2018-06-27 00:00:00+00:00,0.00422322
2018-06-28 00:00:00+00:00,-0.00324709
2018-06-29 00:00:00+00:00,0.00421865
2018-07-02 00:00:00+00:00,-0.01175173
2018-07-03 00:00:00+00:00,0.00353183
2018-07-04 00:00:00+00:00,0.00065982
2018-07-05 00:00:00+00:00,0.00280281
2018-07-06 00:00:00+00:00,0.00635606
2018-07-09 00:00:00+00:00,0.00808424
2018-07-10 00:00:00+00:00,0.00731609
2018-07-11 00:00:00+00:00,-0.00562938
2018-07-12 00:00:00+00:00,0.02236983
2018-07-13 00:00:00+00:00,0.00440036
2018-07-16 00:00:00+00:00,-0.00926690
2018-07-17 00:00:00+00:00,-0.00728746
2018-07-18 00:00:00+00:00,0.00202555
2018-07-19 00:00:00+00:00,0.00479058
2018-07-20 00:00:00+00:00,-0.01865642
2018-07-23 00:00:00+00:00,-0.00216061
2018-07-24 00:00:00+00:00,0.00135121
2018-07-25 00:00:00+00:00,-0.01024172
2018-07-26 00:00:00+00:00,0.00810657
2018-07-27 00:00:00+00:00,0.00698444
2018-07-30 00:00:00+00:00,-0.00529823
2018-07-31 00:00:00+00:00,0.00345723
2018-08-01 00:00:00+00:00,-0.00740919
2018-08-02 00:00:00+00:00,-0.00040848
2018-08-03 00:00:00+00:00,0.00947142
2018-08-06 00:00:00+00:00,0.00169170
2018-08-07 00:00:00+00:00,0.00378099
2018-08-08 00:00:00+00:00,0.00237598
2018-08-09 00:00:00+00:00,0.00306369
2018-08-10 00:00:00+00:00,-0.00074813
2018-08-13 00:00:00+00:00,0.00236456
2018-08-14 00:00:00+00:00,-0.00385355
2018-08-15 00:00:00+00:00,-0.00594594
2018-08-16 00:00:00+00:00,0.00865347
2018-08-17 00:00:00+00:00,-0.00143844
2018-08-20 00:00:00+00:00,0.00859086
2018-08-21 00:00:00+00:00,-0.00245830
2018-08-22 00:00:00+00:00,0.00509852
2018-08-23 00:00:00+00:00,-0.00176774
2018-08-24 00:00:00+00:00,-0.00211367
2018-08-28 00:00:00+00:00,0.00371706
2018-08-29 00:00:00+00:00,0.00301895
2018-08-30 00:00:00+00:00,-0.00346795
2018-08-31 00:00:00+00:00,-0.00450593
2018-09-03 00:00:00+00:00,0.00131613
2018-09-04 00:00:00+00:00,-0.01275613
2018-09-05 00:00:00+00:00,-0.01882886
2018-09-06 00:00:00+00:00,-0.00324726
2018-09-07 00:00:00+00:00,0.00420503
2018-09-10 00:00:00+00:00,0.00914106
2018-09-12 00:00:00+00:00,-0.00251417
2018-09-17 00:00:00+00:00,-0.02079808
2018-09-18 00:00:00+00:00,-0.00113720
2018-09-19 00:00:00+00:00,-0.00616868
2018-09-20 00:00:00+00:00,0.00210895
2018-09-21 00:00:00+00:00,-0.00042111
2018-09-24 00:00:00+00:00,0.01257046
2018-09-25 00:00:00+00:00,0.00564054
2018-09-26 00:00:00+00:00,0.00667137
2018-09-27 00:00:00+00:00,0.00627491
2018-09-28 00:00:00+00:00,0.00063846
2018-10-01 00:00:00+00:00,0.00588070
2018-10-02 00:00:00+00:00,-0.01013819
2018-10-03 00:00:00+00:00,0.01222326
2018-10-04 00:00:00+00:00,-0.01427809
2018-10-05 00:00:00+00:00,0.00204886
2018-10-08 00:00:00+00:00,-0.01164460
2018-10-09 00:00:00+00:00,-0.00006214
2018-10-10 00:00:00+00:00,-0.01426771
2018-10-11 00:00:00+00:00,-0.00870848
2018-10-12 00:00:00+00:00,0.00393401
2018-10-15 00:00:00+00:00,-0.00187304
2018-10-16 00:00:00+00:00,0.02060298
2018-10-17 00:00:00+00:00,-0.00930040
2018-10-18 00:00:00+00:00,0.00710686
2018-10-19 00:00:00+00:00,-0.00148813
2018-10-22 00:00:00+00:00,-0.00291627
2018-10-23 00:00:00+00:00,-0.00614294
2018-10-24 00:00:00+00:00,0.00712924
2018-10-25 00:00:00+00:00,-0.01827915
2018-10-26 00:00:00+00:00,-0.02407337
2018-10-29 00:00:00+00:00,0.00813550
