Date,KOSDAQ
2021-03-12 00:00:00+00:00,0.00693695
2021-03-15 00:00:00+00:00,-0.00672472
2021-03-16 00:00:00+00:00,0.02540349
2021-03-17 00:00:00+00:00,-0.00007149
2021-03-18 00:00:00+00:00,0.00653089
2021-03-19 00:00:00+00:00,-0.00395006
2021-03-22 00:00:00+00:00,0.00488572
2021-03-23 00:00:00+00:00,-0.00542639
2021-03-24 00:00:00+00:00,0.01147741
2021-03-25 00:00:00+00:00,-0.00378313
2021-03-26 00:00:00+00:00,-0.00021150
2021-03-29 00:00:00+00:00,-0.00443111
2021-03-30 00:00:00+00:00,-0.00014192
2021-03-31 00:00:00+00:00,-0.00685383
2021-04-01 00:00:00+00:00,0.01365818
2021-04-02 00:00:00+00:00,-0.00210597
2021-04-05 00:00:00+00:00,-0.00717406
2021-04-06 00:00:00+00:00,-0.00425075
2021-04-07 00:00:00+00:00,0.00049756
2021-04-08 00:00:00+00:00,0.01144725
2021-04-09 00:00:00+00:00,0.00745131
2021-04-12 00:00:00+00:00,0.01067566
2021-04-13 00:00:00+00:00,0.07214803
2021-04-14 00:00:00+00:00,0.01636897
2021-04-15 00:00:00+00:00,-0.00448393
2021-04-16 00:00:00+00:00,0.00880763
2021-04-19 00:00:00+00:00,0.01319733
2021-04-20 00:00:00+00:00,0.00365865
2021-04-21 00:00:00+00:00,-0.02442060
2021-04-22 00:00:00+00:00,0.00364770
2021-04-23 00:00:00+00:00,-0.00108200
2021-04-26 00:00:00+00:00,0.00338276
2021-04-27 00:00:00+00:00,-0.02077053
2021-04-28 00:00:00+00:00,-0.05825929
2021-04-29 00:00:00+00:00,-0.02621255
2021-04-30 00:00:00+00:00,-0.02104473
2021-05-03 00:00:00+00:00,-0.04716966
2021-05-04 00:00:00+00:00,0.01137006
2021-05-06 00:00:00+00:00,-0.00916287
2021-05-07 00:00:00+00:00,0.01595808
2021-05-10 00:00:00+00:00,0.05542647
2021-05-11 00:00:00+00:00,-0.04028006
2021-05-12 00:00:00+00:00,-0.03317664
2021-05-13 00:00:00+00:00,-0.01438000
2021-05-14 00:00:00+00:00,0.02399075
2021-05-17 00:00:00+00:00,0.00065661
2021-05-18 00:00:00+00:00,0.01086756
2021-05-20 00:00:00+00:00,0.00043271
2021-05-21 00:00:00+00:00,0.01882424
2021-05-24 00:00:00+00:00,-0.03933052
2021-05-25 00:00:00+00:00,0.01801325
2021-05-26 00:00:00+00:00,0.01807201
2021-05-27 00:00:00+00:00,0.00085511
2021-05-28 00:00:00+00:00,0.01965583
2021-05-31 00:00:00+00:00,0.00537141
2021-06-01 00:00:00+00:00,-0.00042905
2021-06-02 00:00:00+00:00,-0.02072668
2021-06-03 00:00:00+00:00,0.02012645
2021-06-04 00:00:00+00:00,-0.01347296
2021-06-07 00:00:00+00:00,-0.00851652
2021-06-08 00:00:00+00:00,0.01459129
2021-06-09 00:00:00+00:00,-0.03472394
2021-06-10 00:00:00+00:00,0.04181523
2021-06-11 00:00:00+00:00,-0.01208376
2021-06-14 00:00:00+00:00,0.01272066
2021-06-15 00:00:00+00:00,-0.00292697
2021-06-16 00:00:00+00:00,-0.00107506
2021-06-17 00:00:00+00:00,0.00394018
2021-06-18 00:00:00+00:00,0.02455275
2021-06-21 00:00:00+00:00,-0.00501716
2021-06-22 00:00:00+00:00,-0.00119150
2021-06-23 00:00:00+00:00,0.00855112
