Date,EU-FOOD
2020-06-17 00:00:00+00:00,
2020-06-18 00:00:00+00:00,-0.00538227
2020-06-19 00:00:00+00:00,0.01460917
2020-06-22 00:00:00+00:00,-0.01959230
2020-06-23 00:00:00+00:00,0.00748806
2020-06-24 00:00:00+00:00,-0.02508442
2020-06-25 00:00:00+00:00,0.00328651
2020-06-26 00:00:00+00:00,-0.00104756
2020-06-29 00:00:00+00:00,-0.00582383
2020-06-30 00:00:00+00:00,0.00194728
2020-07-01 00:00:00+00:00,-0.00000394
2020-07-02 00:00:00+00:00,0.01512714
2020-07-03 00:00:00+00:00,-0.00885873
2020-07-06 00:00:00+00:00,0.01131223
2020-07-07 00:00:00+00:00,-0.00368488
2020-07-08 00:00:00+00:00,-0.00000408
2020-07-09 00:00:00+00:00,-0.00783585
2020-07-10 00:00:00+00:00,0.01801838
2020-07-13 00:00:00+00:00,0.00380014
2020-07-14 00:00:00+00:00,-0.01093538
2020-07-15 00:00:00+00:00,0.02224789
2020-07-16 00:00:00+00:00,-0.01038229
2020-07-17 00:00:00+00:00,-0.00000325
2020-07-20 00:00:00+00:00,0.00159908
2020-07-21 00:00:00+00:00,0.00654106
2020-07-22 00:00:00+00:00,-0.00968407
2020-07-23 00:00:00+00:00,0.01517037
2020-07-24 00:00:00+00:00,-0.01250662
2020-07-27 00:00:00+00:00,-0.00538784
2020-07-28 00:00:00+00:00,0.01433704
2020-07-29 00:00:00+00:00,0.00922974
2020-07-30 00:00:00+00:00,-0.01258128
2020-07-31 00:00:00+00:00,-0.01274146
2020-08-03 00:00:00+00:00,0.00776879
2020-08-04 00:00:00+00:00,-0.01091502
2020-08-05 00:00:00+00:00,-0.01029995
2020-08-06 00:00:00+00:00,-0.00936660
2020-08-07 00:00:00+00:00,-0.00180320
2020-08-10 00:00:00+00:00,0.00315372
2020-08-11 00:00:00+00:00,0.01048535
2020-08-12 00:00:00+00:00,0.01349053
2020-08-13 00:00:00+00:00,0.00087508
2020-08-14 00:00:00+00:00,-0.00818869
2020-08-17 00:00:00+00:00,0.00486106
2020-08-18 00:00:00+00:00,-0.00352304
2020-08-19 00:00:00+00:00,0.01118354
2020-08-20 00:00:00+00:00,-0.00902741
2020-08-21 00:00:00+00:00,-0.00514368
