Date,EU-DJ-TECH
2018-11-23 00:00:00+00:00,0.00844599
2018-11-26 00:00:00+00:00,0.01011211
2018-11-27 00:00:00+00:00,0.00509417
2018-11-28 00:00:00+00:00,0.00604616
2018-11-29 00:00:00+00:00,0.00819673
2018-11-30 00:00:00+00:00,-0.00536812
2018-12-03 00:00:00+00:00,0.02319639
2018-12-04 00:00:00+00:00,-0.01048644
2018-12-05 00:00:00+00:00,-0.02232143
2018-12-06 00:00:00+00:00,-0.02943552
2018-12-07 00:00:00+00:00,0.00674131
2018-12-10 00:00:00+00:00,-0.01083512
2018-12-11 00:00:00+00:00,-0.12614340
2018-12-17 00:00:00+00:00,-0.01320414
2018-12-18 00:00:00+00:00,-0.00006622
2018-12-19 00:00:00+00:00,-0.00106926
2018-12-20 00:00:00+00:00,-0.02867372
2018-12-21 00:00:00+00:00,-0.01065786
2018-12-27 00:00:00+00:00,-0.00006694
2018-12-28 00:00:00+00:00,0.01664399
2019-01-02 00:00:00+00:00,0.00096008
2019-01-03 00:00:00+00:00,-0.04060061
2019-01-04 00:00:00+00:00,0.02987947
2019-01-07 00:00:00+00:00,0.01291335
2019-01-08 00:00:00+00:00,0.01274566
2019-01-09 00:00:00+00:00,0.01966898
2019-01-10 00:00:00+00:00,-0.00428595
2019-01-11 00:00:00+00:00,-0.00305761
2019-01-14 00:00:00+00:00,-0.01406364
2019-01-15 00:00:00+00:00,0.00272026
2019-01-16 00:00:00+00:00,0.01383571
2019-01-17 00:00:00+00:00,0.00217689
2019-01-18 00:00:00+00:00,0.03177402
2019-01-21 00:00:00+00:00,-0.00512946
2019-01-22 00:00:00+00:00,-0.00975897
2019-01-23 00:00:00+00:00,0.00384791
2019-01-24 00:00:00+00:00,0.02601267
2019-01-25 00:00:00+00:00,0.01394806
2019-01-28 00:00:00+00:00,-0.01365265
2019-01-29 00:00:00+00:00,-0.00624161
2019-01-30 00:00:00+00:00,-0.00126188
2019-01-31 00:00:00+00:00,0.00782815
2019-02-01 00:00:00+00:00,-0.00338960
2019-02-04 00:00:00+00:00,0.00088619
2019-02-05 00:00:00+00:00,0.01397045
2019-02-06 00:00:00+00:00,0.01753023
2019-02-07 00:00:00+00:00,0.03405797
2019-02-08 00:00:00+00:00,-0.00056148
2019-02-11 00:00:00+00:00,0.01077383
2019-02-12 00:00:00+00:00,0.00226391
2019-02-13 00:00:00+00:00,0.01691319
2019-02-14 00:00:00+00:00,0.00473579
2019-02-15 00:00:00+00:00,0.00494055
2019-02-18 00:00:00+00:00,0.00038558
2019-02-19 00:00:00+00:00,-0.00504823
2019-02-20 00:00:00+00:00,0.00584787
2019-02-21 00:00:00+00:00,-0.00300851
2019-02-22 00:00:00+00:00,0.01286298
2019-02-25 00:00:00+00:00,0.00373934
2019-02-26 00:00:00+00:00,-0.00185320
2019-02-27 00:00:00+00:00,-0.01102025
2019-02-28 00:00:00+00:00,-0.00074574
