Date,EU-DJ-OIL
2017-11-24 00:00:00+00:00,-0.00291715
2017-11-27 00:00:00+00:00,-0.00453071
2017-11-28 00:00:00+00:00,0.01028655
2017-11-29 00:00:00+00:00,0.00634989
2017-11-30 00:00:00+00:00,-0.00003525
2017-12-01 00:00:00+00:00,-0.00257324
2017-12-04 00:00:00+00:00,0.00664286
2017-12-05 00:00:00+00:00,-0.00319609
2017-12-06 00:00:00+00:00,-0.00637509
2017-12-07 00:00:00+00:00,-0.00067385
2017-12-08 00:00:00+00:00,-0.00354668
2017-12-11 00:00:00+00:00,0.05761940
2017-12-12 00:00:00+00:00,0.00926345
2017-12-13 00:00:00+00:00,0.00028232
2017-12-14 00:00:00+00:00,-0.00767984
2017-12-15 00:00:00+00:00,-0.01094801
2017-12-18 00:00:00+00:00,0.01294114
2017-12-19 00:00:00+00:00,-0.00836649
2017-12-20 00:00:00+00:00,0.00254553
2017-12-21 00:00:00+00:00,0.00994953
2017-12-22 00:00:00+00:00,0.00028190
2017-12-27 00:00:00+00:00,-0.00004019
2017-12-28 00:00:00+00:00,-0.00259010
2017-12-29 00:00:00+00:00,-0.00675219
2018-01-02 00:00:00+00:00,-0.00325773
2018-01-03 00:00:00+00:00,0.01675144
2018-01-04 00:00:00+00:00,0.01710930
2018-01-05 00:00:00+00:00,0.00682956
2018-01-08 00:00:00+00:00,0.00554212
2018-01-09 00:00:00+00:00,0.00180986
2018-01-10 00:00:00+00:00,-0.00157849
2018-01-11 00:00:00+00:00,0.00859140
2018-01-12 00:00:00+00:00,0.00423859
2018-01-15 00:00:00+00:00,0.00422036
2018-01-16 00:00:00+00:00,-0.00973666
2018-01-17 00:00:00+00:00,-0.00371211
2018-01-18 00:00:00+00:00,-0.00065425
2018-01-19 00:00:00+00:00,-0.00557149
2018-01-22 00:00:00+00:00,0.01170334
2018-01-23 00:00:00+00:00,-0.00492718
2018-01-24 00:00:00+00:00,-0.00004000
2018-01-25 00:00:00+00:00,-0.00464369
2018-01-26 00:00:00+00:00,-0.03580885
2018-01-29 00:00:00+00:00,0.02682367
2018-01-30 00:00:00+00:00,-0.01405488
2018-01-31 00:00:00+00:00,-0.00035655
2018-02-01 00:00:00+00:00,0.00785756
2018-02-02 00:00:00+00:00,-0.01822310
2018-02-05 00:00:00+00:00,-0.01377072
2018-02-06 00:00:00+00:00,-0.03500510
2018-02-07 00:00:00+00:00,0.02142633
2018-02-08 00:00:00+00:00,-0.00299878
2018-02-09 00:00:00+00:00,-0.01387738
2018-02-12 00:00:00+00:00,0.01866041
2018-02-13 00:00:00+00:00,-0.01184794
2018-02-14 00:00:00+00:00,0.00128303
2018-02-15 00:00:00+00:00,-0.00402053
2018-02-16 00:00:00+00:00,0.01459272
2018-02-19 00:00:00+00:00,-0.00168401
2018-02-20 00:00:00+00:00,0.01276316
2018-02-21 00:00:00+00:00,0.00319679
2018-02-22 00:00:00+00:00,0.00415601
2018-02-23 00:00:00+00:00,0.00381658
2018-02-26 00:00:00+00:00,0.00540474
2018-02-27 00:00:00+00:00,-0.00482969
2018-02-28 00:00:00+00:00,0.00988663
2018-03-01 00:00:00+00:00,-0.02352241
2018-03-02 00:00:00+00:00,-0.02376237
2018-03-05 00:00:00+00:00,0.01526152
2018-03-06 00:00:00+00:00,0.00224761
2018-03-07 00:00:00+00:00,-0.00004681
2018-03-08 00:00:00+00:00,0.00485864
2018-03-09 00:00:00+00:00,0.00483470
2018-03-12 00:00:00+00:00,-0.04505968
2018-03-13 00:00:00+00:00,0.00158533
2018-03-14 00:00:00+00:00,0.00425306
2018-03-15 00:00:00+00:00,-0.00598003
2018-03-16 00:00:00+00:00,0.01751770
2018-03-19 00:00:00+00:00,-0.01829018
2018-03-20 00:00:00+00:00,0.00990355
2018-03-21 00:00:00+00:00,0.00652180
2018-03-22 00:00:00+00:00,-0.01277632
2018-03-23 00:00:00+00:00,-0.00203147
2018-03-26 00:00:00+00:00,-0.00866062
2018-03-27 00:00:00+00:00,0.01264699
2018-03-28 00:00:00+00:00,-0.00961602
2018-03-29 00:00:00+00:00,0.01360992
2018-04-03 00:00:00+00:00,0.00586649
2018-04-04 00:00:00+00:00,0.00746644
2018-04-05 00:00:00+00:00,0.02978380
2018-04-06 00:00:00+00:00,-0.00445584
2018-04-09 00:00:00+00:00,-0.00289394
2018-04-10 00:00:00+00:00,0.01676117
2018-04-11 00:00:00+00:00,0.00431865
2018-04-12 00:00:00+00:00,0.00243597
2018-04-13 00:00:00+00:00,-0.00283697
2018-04-16 00:00:00+00:00,-0.00035938
2018-04-17 00:00:00+00:00,0.00802977
2018-04-18 00:00:00+00:00,0.01536271
2018-04-19 00:00:00+00:00,0.00875316
2018-04-20 00:00:00+00:00,0.00235727
2018-04-23 00:00:00+00:00,0.00925582
2018-04-24 00:00:00+00:00,0.00530209
2018-04-25 00:00:00+00:00,-0.01070239
2018-04-26 00:00:00+00:00,0.02058319
2018-04-27 00:00:00+00:00,0.00200062
2018-04-30 00:00:00+00:00,0.00433577
2018-05-02 00:00:00+00:00,-0.00296185
2018-05-03 00:00:00+00:00,-0.00559831
2018-05-04 00:00:00+00:00,0.00934418
2018-05-07 00:00:00+00:00,0.01332890
2018-05-08 00:00:00+00:00,-0.01698661
2018-05-09 00:00:00+00:00,0.02272136
2018-05-10 00:00:00+00:00,-0.00718924
2018-05-11 00:00:00+00:00,0.00742264
2018-05-14 00:00:00+00:00,0.00907967
2018-05-15 00:00:00+00:00,0.00390608
2018-05-16 00:00:00+00:00,-0.00315151
2018-05-17 00:00:00+00:00,0.01379275
2018-05-18 00:00:00+00:00,0.00078337
2018-05-21 00:00:00+00:00,0.00022550
2018-05-22 00:00:00+00:00,-0.00200261
2018-05-23 00:00:00+00:00,-0.03101562
2018-05-24 00:00:00+00:00,-0.01012776
2018-05-25 00:00:00+00:00,-0.02069823
2018-05-28 00:00:00+00:00,-0.00836623
2018-05-29 00:00:00+00:00,0.00443863
2018-05-30 00:00:00+00:00,0.01783034
2018-05-31 00:00:00+00:00,0.00463202
2018-06-01 00:00:00+00:00,0.01218827
2018-06-04 00:00:00+00:00,-0.00667557
2018-06-05 00:00:00+00:00,-0.00411208
2018-06-06 00:00:00+00:00,0.00663991
2018-06-07 00:00:00+00:00,0.01873795
2018-06-08 00:00:00+00:00,0.06550986
2018-06-11 00:00:00+00:00,0.01286508
2018-06-13 00:00:00+00:00,-0.01493917
2018-06-14 00:00:00+00:00,0.01532213
2018-06-15 00:00:00+00:00,-0.02491084
2018-06-18 00:00:00+00:00,0.01020138
2018-06-19 00:00:00+00:00,-0.00324423
2018-06-20 00:00:00+00:00,-0.01023699
2018-06-21 00:00:00+00:00,-0.01034176
2018-06-22 00:00:00+00:00,0.03083484
2018-06-25 00:00:00+00:00,-0.02108415
2018-06-26 00:00:00+00:00,0.00053475
2018-06-27 00:00:00+00:00,0.02582902
2018-06-28 00:00:00+00:00,-0.00779416
2018-06-29 00:00:00+00:00,0.00745895
2018-07-02 00:00:00+00:00,-0.01009103
