Date,EU-BASIC
2018-03-13 00:00:00+00:00,
2018-03-14 00:00:00+00:00,0.01081121
2018-03-15 00:00:00+00:00,-0.00026847
2018-03-16 00:00:00+00:00,0.01113479
2018-03-19 00:00:00+00:00,-0.03127881
2018-03-20 00:00:00+00:00,0.00935228
2018-03-21 00:00:00+00:00,0.01658490
2018-03-22 00:00:00+00:00,-0.03473372
2018-03-23 00:00:00+00:00,-0.00456777
2018-03-26 00:00:00+00:00,-0.00231865
2018-03-27 00:00:00+00:00,0.01337504
2018-03-28 00:00:00+00:00,-0.01733605
2018-03-29 00:00:00+00:00,0.01845819
2018-04-03 00:00:00+00:00,-0.00206756
2018-04-04 00:00:00+00:00,-0.02454733
2018-04-05 00:00:00+00:00,0.03474505
2018-04-06 00:00:00+00:00,-0.01563451
2018-04-09 00:00:00+00:00,-0.01158349
2018-04-10 00:00:00+00:00,0.03313256
2018-04-11 00:00:00+00:00,-0.00403488
2018-04-12 00:00:00+00:00,0.00617787
2018-04-13 00:00:00+00:00,0.00680197
2018-04-16 00:00:00+00:00,-0.00795039
2018-04-17 00:00:00+00:00,0.01167589
2018-04-18 00:00:00+00:00,0.04302858
2018-04-19 00:00:00+00:00,0.00351322
2018-04-20 00:00:00+00:00,-0.00005019
2018-04-23 00:00:00+00:00,-0.00151299
2018-04-24 00:00:00+00:00,0.00475985
2018-04-25 00:00:00+00:00,-0.01420932
2018-04-26 00:00:00+00:00,0.00269473
2018-04-27 00:00:00+00:00,-0.00047159
2018-04-30 00:00:00+00:00,-0.01184960
2018-05-02 00:00:00+00:00,0.01444830
2018-05-03 00:00:00+00:00,-0.00383396
2018-05-04 00:00:00+00:00,0.01345111
2018-05-07 00:00:00+00:00,0.00452854
2018-05-08 00:00:00+00:00,-0.00212416
2018-05-09 00:00:00+00:00,0.01905063
2018-05-10 00:00:00+00:00,0.00646747
2018-05-11 00:00:00+00:00,0.01290255
2018-05-14 00:00:00+00:00,0.00234533
2018-05-15 00:00:00+00:00,-0.00384107
2018-05-16 00:00:00+00:00,0.03256666
2018-05-17 00:00:00+00:00,0.00266021
2018-05-18 00:00:00+00:00,-0.01396848
2018-05-21 00:00:00+00:00,0.00915910
2018-05-22 00:00:00+00:00,0.00790888
2018-05-23 00:00:00+00:00,-0.02510145
2018-05-24 00:00:00+00:00,-0.01052723
2018-05-25 00:00:00+00:00,-0.00764207
2018-05-28 00:00:00+00:00,-0.00186392
2018-05-29 00:00:00+00:00,-0.01013303
2018-05-30 00:00:00+00:00,0.01114821
2018-05-31 00:00:00+00:00,0.00055104
2018-06-01 00:00:00+00:00,0.01645258
2018-06-04 00:00:00+00:00,-0.00025108
2018-06-05 00:00:00+00:00,0.00767019
2018-06-06 00:00:00+00:00,0.04299888
2018-06-07 00:00:00+00:00,-0.01566253
2018-06-08 00:00:00+00:00,-0.02454253
2018-06-11 00:00:00+00:00,-0.01108708
2018-06-12 00:00:00+00:00,-0.01829270
2018-06-13 00:00:00+00:00,0.00982326
2018-06-14 00:00:00+00:00,0.00613407
2018-06-15 00:00:00+00:00,-0.03298367
2018-06-18 00:00:00+00:00,-0.00374584
