Date,US10U
2016-07-21 00:00:00+00:00,-0.00399682
2016-07-22 00:00:00+00:00,0.00345402
2016-07-24 00:00:00+00:00,-0.00141073
2016-07-25 00:00:00+00:00,-0.00000867
2016-07-26 00:00:00+00:00,0.00161093
2016-07-27 00:00:00+00:00,-0.00205718
2016-07-28 00:00:00+00:00,0.00679978
2016-07-29 00:00:00+00:00,-0.00290450
2016-07-31 00:00:00+00:00,0.00655759
2016-08-01 00:00:00+00:00,-0.00171774
2016-08-02 00:00:00+00:00,-0.00429206
2016-08-03 00:00:00+00:00,-0.00183638
2016-08-04 00:00:00+00:00,0.00042370
2016-08-05 00:00:00+00:00,0.00516271
2016-08-07 00:00:00+00:00,-0.00879444
2016-08-08 00:00:00+00:00,0.00074928
2016-08-09 00:00:00+00:00,0.00096371
2016-08-10 00:00:00+00:00,0.00344551
2016-08-11 00:00:00+00:00,0.00182018
2016-08-12 00:00:00+00:00,-0.00376521
2016-08-14 00:00:00+00:00,0.00322493
2016-08-15 00:00:00+00:00,0.00074377
2016-08-16 00:00:00+00:00,-0.00290632
2016-08-17 00:00:00+00:00,-0.00302238
2016-08-18 00:00:00+00:00,0.00236691
2016-08-19 00:00:00+00:00,-0.00065486
2016-08-21 00:00:00+00:00,-0.00421208
2016-08-22 00:00:00+00:00,0.00020822
2016-08-23 00:00:00+00:00,0.00442800
2016-08-24 00:00:00+00:00,-0.00011649
2016-08-25 00:00:00+00:00,-0.00044002
2016-08-26 00:00:00+00:00,-0.00011688
2016-08-28 00:00:00+00:00,-0.00583056
2016-08-29 00:00:00+00:00,0.00064167
2016-08-30 00:00:00+00:00,0.00291643
2016-08-31 00:00:00+00:00,0.00031498
2016-09-01 00:00:00+00:00,0.00042275
2016-09-02 00:00:00+00:00,-0.00454360
2016-09-04 00:00:00+00:00,-0.00141892
2016-09-05 00:00:00+00:00,0.00042551
2016-09-06 00:00:00+00:00,-0.00120311
2016-09-07 00:00:00+00:00,0.00694708
2016-09-08 00:00:00+00:00,-0.00033364
2016-09-09 00:00:00+00:00,-0.00594874
