Date,AUD
2000-06-23 00:00:00+00:00,-0.00785809
2000-06-26 00:00:00+00:00,0.00891688
2000-06-27 00:00:00+00:00,0.01690506
2000-06-28 00:00:00+00:00,0.00150170
2000-06-29 00:00:00+00:00,0.00017367
2000-06-30 00:00:00+00:00,-0.01838562
2000-07-03 00:00:00+00:00,0.00719813
2000-07-05 00:00:00+00:00,-0.03415034
2000-07-06 00:00:00+00:00,0.00390529
2000-07-07 00:00:00+00:00,0.00152842
2000-07-10 00:00:00+00:00,0.00423023
2000-07-11 00:00:00+00:00,-0.01669086
2000-07-12 00:00:00+00:00,0.00289431
2000-07-13 00:00:00+00:00,-0.01137210
2000-07-14 00:00:00+00:00,-0.00119081
2000-07-17 00:00:00+00:00,0.01384140
2000-07-18 00:00:00+00:00,-0.02187943
2000-07-19 00:00:00+00:00,-0.02211831
2000-07-20 00:00:00+00:00,0.02549659
2000-07-21 00:00:00+00:00,0.00976453
2000-07-24 00:00:00+00:00,-0.00629899
2000-07-25 00:00:00+00:00,0.00256688
2000-07-26 00:00:00+00:00,0.01996985
2000-07-27 00:00:00+00:00,-0.01435937
2000-07-28 00:00:00+00:00,0.00391649
2000-07-31 00:00:00+00:00,-0.02920469
2000-08-01 00:00:00+00:00,-0.00395910
2000-08-02 00:00:00+00:00,0.01467689
2000-08-03 00:00:00+00:00,0.00771270
2000-08-04 00:00:00+00:00,-0.00341038
2000-08-07 00:00:00+00:00,0.00735175
2000-08-08 00:00:00+00:00,-0.01481218
2000-08-09 00:00:00+00:00,-0.01491990
2000-08-10 00:00:00+00:00,0.01192746
2000-08-11 00:00:00+00:00,-0.00841432
2000-08-14 00:00:00+00:00,0.00707471
2000-08-15 00:00:00+00:00,0.00498608
2000-08-16 00:00:00+00:00,0.02725627
2000-08-17 00:00:00+00:00,0.00608611
2000-08-18 00:00:00+00:00,-0.00994335
2000-08-21 00:00:00+00:00,-0.00457222
2000-08-22 00:00:00+00:00,-0.02902213
2000-08-23 00:00:00+00:00,-0.03237224
2000-08-24 00:00:00+00:00,0.00473052
2000-08-25 00:00:00+00:00,0.00471799
2000-08-28 00:00:00+00:00,-0.00992326
2000-08-29 00:00:00+00:00,-0.00402047
2000-08-30 00:00:00+00:00,0.01596130
2000-08-31 00:00:00+00:00,0.00922266
2000-09-01 00:00:00+00:00,-0.00241986
2000-09-05 00:00:00+00:00,-0.02616965
2000-09-06 00:00:00+00:00,-0.01474425
2000-09-07 00:00:00+00:00,-0.02245628
2000-09-08 00:00:00+00:00,-0.00767925
2000-09-11 00:00:00+00:00,0.01491822
2000-09-12 00:00:00+00:00,-0.00836263
2000-09-13 00:00:00+00:00,-0.01143861
2000-09-14 00:00:00+00:00,-0.01996425
2000-09-15 00:00:00+00:00,-0.00725546
2000-09-18 00:00:00+00:00,-0.01462940
2000-09-19 00:00:00+00:00,0.00425920
2000-09-20 00:00:00+00:00,-0.02187725
2000-09-21 00:00:00+00:00,0.02215531
2000-09-22 00:00:00+00:00,-0.00016639
2000-09-25 00:00:00+00:00,0.02227658
2000-09-26 00:00:00+00:00,0.00128867
2000-09-27 00:00:00+00:00,0.00601347
2000-09-28 00:00:00+00:00,-0.01104212
2000-09-29 00:00:00+00:00,-0.02094065
2000-10-02 00:00:00+00:00,0.01308972
2000-10-03 00:00:00+00:00,-0.02431321
2000-10-04 00:00:00+00:00,-0.00942588
2000-10-05 00:00:00+00:00,-0.00760909
2000-10-06 00:00:00+00:00,-0.00464929
2000-10-10 00:00:00+00:00,-0.00465908
2000-10-11 00:00:00+00:00,0.00320779
2000-10-12 00:00:00+00:00,-0.00503495
2000-10-13 00:00:00+00:00,-0.01255461
2000-10-16 00:00:00+00:00,-0.02358666
2000-10-17 00:00:00+00:00,-0.00590285
2000-10-18 00:00:00+00:00,-0.00553604
2000-10-19 00:00:00+00:00,0.00866880
2000-10-20 00:00:00+00:00,0.02126102
2000-10-23 00:00:00+00:00,-0.01001587
2000-10-24 00:00:00+00:00,0.00192145
2000-10-25 00:00:00+00:00,-0.02450220
2000-10-26 00:00:00+00:00,0.00483122
2000-10-27 00:00:00+00:00,0.01172880
2000-10-30 00:00:00+00:00,0.00326251
2000-10-31 00:00:00+00:00,-0.00931481
2000-11-01 00:00:00+00:00,0.00365535
2000-11-02 00:00:00+00:00,-0.00819334
2000-11-03 00:00:00+00:00,0.01631867
2000-11-06 00:00:00+00:00,0.00629300
2000-11-07 00:00:00+00:00,0.00816817
2000-11-08 00:00:00+00:00,-0.00847937
2000-11-09 00:00:00+00:00,0.00323982
2000-11-10 00:00:00+00:00,-0.02591003
2000-11-13 00:00:00+00:00,-0.00170569
2000-11-14 00:00:00+00:00,-0.00823000
2000-11-15 00:00:00+00:00,0.00714841
2000-11-16 00:00:00+00:00,-0.00938444
2000-11-17 00:00:00+00:00,0.00291384
2000-11-20 00:00:00+00:00,-0.01903959
