Date,V2X
2013-06-21 00:00:00+00:00,0.04245898
2013-06-24 00:00:00+00:00,0.06903337
2013-06-25 00:00:00+00:00,-0.04646901
2013-06-26 00:00:00+00:00,-0.01031357
2013-06-27 00:00:00+00:00,-0.03750155
2013-06-28 00:00:00+00:00,0.01268140
2013-07-01 00:00:00+00:00,-0.03789847
2013-07-02 00:00:00+00:00,0.00857996
2013-07-03 00:00:00+00:00,0.04700482
2013-07-04 00:00:00+00:00,-0.11088239
2013-07-05 00:00:00+00:00,0.09250729
2013-07-08 00:00:00+00:00,-0.06991912
2013-07-09 00:00:00+00:00,-0.05044239
2013-07-10 00:00:00+00:00,0.00223842
2013-07-11 00:00:00+00:00,-0.06278399
2013-07-12 00:00:00+00:00,-0.01152439
2013-07-15 00:00:00+00:00,-0.03248633
2013-07-16 00:00:00+00:00,0.02587862
2013-07-17 00:00:00+00:00,-0.00930584
2013-07-18 00:00:00+00:00,-0.07424939
2013-07-19 00:00:00+00:00,-0.00961869
2013-07-22 00:00:00+00:00,-0.02169033
2013-07-23 00:00:00+00:00,-0.01460192
2013-07-24 00:00:00+00:00,-0.02703033
2013-07-25 00:00:00+00:00,0.05197690
2013-07-26 00:00:00+00:00,0.01176414
2013-07-29 00:00:00+00:00,0.00234397
2013-07-30 00:00:00+00:00,-0.01408809
2013-07-31 00:00:00+00:00,-0.00945992
2013-08-01 00:00:00+00:00,-0.05701086
2013-08-02 00:00:00+00:00,-0.03902798
2013-08-05 00:00:00+00:00,-0.00995412
2013-08-06 00:00:00+00:00,0.03989624
2013-08-07 00:00:00+00:00,0.02933599
2013-08-08 00:00:00+00:00,-0.03140498
2013-08-09 00:00:00+00:00,0.00733089
2013-08-12 00:00:00+00:00,-0.01951641
2013-08-13 00:00:00+00:00,-0.00494242
2013-08-14 00:00:00+00:00,-0.01728796
2013-08-15 00:00:00+00:00,0.06203073
2013-08-16 00:00:00+00:00,-0.03874479
2013-08-19 00:00:00+00:00,0.01473786
2013-08-20 00:00:00+00:00,0.06127043
2013-08-21 00:00:00+00:00,0.06219709
2013-08-22 00:00:00+00:00,-0.09281101
2013-08-23 00:00:00+00:00,-0.03140441
2013-08-26 00:00:00+00:00,0.02456630
2013-08-27 00:00:00+00:00,0.13668951
2013-08-28 00:00:00+00:00,0.03619551
2013-08-29 00:00:00+00:00,-0.03571773
2013-08-30 00:00:00+00:00,0.07482663
2013-09-02 00:00:00+00:00,-0.06593751
2013-09-03 00:00:00+00:00,0.02477147
2013-09-04 00:00:00+00:00,0.01113262
2013-09-05 00:00:00+00:00,-0.01774166
2013-09-06 00:00:00+00:00,-0.04250875
2013-09-09 00:00:00+00:00,-0.01822654
2013-09-10 00:00:00+00:00,-0.05287673
2013-09-11 00:00:00+00:00,-0.03279019
2013-09-12 00:00:00+00:00,-0.01190800
2013-09-13 00:00:00+00:00,0.00717394
2013-09-16 00:00:00+00:00,-0.02143145
2013-09-17 00:00:00+00:00,0.00240676
2013-09-18 00:00:00+00:00,-0.03132818
2013-09-19 00:00:00+00:00,-0.05868259
2013-09-20 00:00:00+00:00,-0.02757194
2013-09-23 00:00:00+00:00,0.01767360
2013-09-24 00:00:00+00:00,-0.04000330
2013-09-25 00:00:00+00:00,-0.02544846
2013-09-26 00:00:00+00:00,0.00261082
2013-09-27 00:00:00+00:00,0.00260360
2013-09-30 00:00:00+00:00,0.05454503
