Date,US-DISCRETE
2011-11-30 00:00:00+00:00,0.06292371
2011-12-01 00:00:00+00:00,-0.00107759
2011-12-02 00:00:00+00:00,0.01807287
2011-12-05 00:00:00+00:00,0.01534528
2011-12-06 00:00:00+00:00,-0.00284298
2011-12-07 00:00:00+00:00,0.01015047
2011-12-08 00:00:00+00:00,-0.03959696
2011-12-09 00:00:00+00:00,0.02737531
2011-12-12 00:00:00+00:00,-0.00616729
2011-12-13 00:00:00+00:00,-0.02179911
2011-12-14 00:00:00+00:00,-0.01125072
2011-12-15 00:00:00+00:00,0.00211689
2011-12-16 00:00:00+00:00,-0.02878273
2011-12-19 00:00:00+00:00,-0.02694897
2011-12-20 00:00:00+00:00,0.05717604
2011-12-21 00:00:00+00:00,0.00723512
2011-12-22 00:00:00+00:00,0.00669080
2011-12-23 00:00:00+00:00,0.02060743
2011-12-27 00:00:00+00:00,0.00557865
2011-12-28 00:00:00+00:00,-0.02246931
2011-12-29 00:00:00+00:00,0.01851342
2011-12-30 00:00:00+00:00,-0.00821517
2012-01-03 00:00:00+00:00,0.01841324
2012-01-04 00:00:00+00:00,0.01367260
2012-01-05 00:00:00+00:00,0.01357918
2012-01-06 00:00:00+00:00,0.00296334
2012-01-09 00:00:00+00:00,-0.00004335
2012-01-10 00:00:00+00:00,0.01250896
2012-01-11 00:00:00+00:00,0.00343729
2012-01-12 00:00:00+00:00,0.00541663
2012-01-13 00:00:00+00:00,-0.00548932
2012-01-17 00:00:00+00:00,0.00889137
2012-01-18 00:00:00+00:00,0.03257297
2012-01-19 00:00:00+00:00,0.01697508
2012-01-20 00:00:00+00:00,-0.01258043
2012-01-23 00:00:00+00:00,-0.00683695
2012-01-24 00:00:00+00:00,0.00725869
2012-01-25 00:00:00+00:00,0.01256805
2012-01-26 00:00:00+00:00,-0.00004441
2012-01-27 00:00:00+00:00,-0.00289389
2012-01-30 00:00:00+00:00,-0.00342375
2012-01-31 00:00:00+00:00,-0.00294591
2012-02-01 00:00:00+00:00,0.00431366
2012-02-02 00:00:00+00:00,-0.00101175
2012-02-03 00:00:00+00:00,0.04104739
2012-02-06 00:00:00+00:00,-0.00478249
2012-02-07 00:00:00+00:00,0.00897658
2012-02-08 00:00:00+00:00,0.00515446
2012-02-09 00:00:00+00:00,0.00372626
2012-02-10 00:00:00+00:00,-0.01039841
2012-02-13 00:00:00+00:00,0.01556438
2012-02-14 00:00:00+00:00,-0.00286249
2012-02-15 00:00:00+00:00,-0.00709664
2012-02-16 00:00:00+00:00,0.00844467
2012-02-17 00:00:00+00:00,0.01850805
2012-02-21 00:00:00+00:00,-0.00795620
2012-02-22 00:00:00+00:00,-0.00518439
2012-02-23 00:00:00+00:00,0.00651176
2012-02-24 00:00:00+00:00,0.00228851
2012-02-27 00:00:00+00:00,0.00368422
2012-02-28 00:00:00+00:00,0.01577903
2012-02-29 00:00:00+00:00,-0.00420135
2012-03-01 00:00:00+00:00,0.01430016
2012-03-02 00:00:00+00:00,-0.00326101
2012-03-05 00:00:00+00:00,-0.00096565
2012-03-06 00:00:00+00:00,-0.02743923
2012-03-07 00:00:00+00:00,0.02049150
2012-03-08 00:00:00+00:00,0.01935876
2012-03-09 00:00:00+00:00,0.01093607
2012-03-12 00:00:00+00:00,-0.00277578
2012-03-13 00:00:00+00:00,0.01066319
2012-03-14 00:00:00+00:00,0.00022303
2012-03-15 00:00:00+00:00,0.00157538
2012-03-16 00:00:00+00:00,-0.00135253
2012-03-19 00:00:00+00:00,0.00360254
2012-03-20 00:00:00+00:00,0.00246687
2012-03-21 00:00:00+00:00,0.00089332
2012-03-22 00:00:00+00:00,-0.00291105
2012-03-23 00:00:00+00:00,0.00156880
2012-03-26 00:00:00+00:00,0.01612855
2012-03-27 00:00:00+00:00,-0.00088443
2012-03-28 00:00:00+00:00,-0.00860963
