Date,HANGENT
2023-02-13 00:00:00+00:00,0.00084534
2023-02-14 00:00:00+00:00,-0.01160448
2023-02-15 00:00:00+00:00,-0.02517619
2023-02-16 00:00:00+00:00,0.02380027
2023-02-17 00:00:00+00:00,-0.03885118
2023-02-20 00:00:00+00:00,0.02758281
2023-02-21 00:00:00+00:00,-0.03879282
2023-02-22 00:00:00+00:00,-0.03507633
2023-02-23 00:00:00+00:00,0.01691563
2023-02-24 00:00:00+00:00,-0.05173170
2023-02-27 00:00:00+00:00,0.00046345
2023-02-28 00:00:00+00:00,-0.02779226
2023-03-01 00:00:00+00:00,0.10036354
2023-03-02 00:00:00+00:00,-0.01413792
2023-03-03 00:00:00+00:00,0.02267959
2023-03-06 00:00:00+00:00,-0.00229196
2023-03-07 00:00:00+00:00,-0.00373677
2023-03-08 00:00:00+00:00,-0.06038924
2023-03-09 00:00:00+00:00,-0.02213169
2023-03-10 00:00:00+00:00,-0.06023528
2023-03-13 00:00:00+00:00,0.03702754
2023-03-14 00:00:00+00:00,-0.03647464
2023-03-15 00:00:00+00:00,0.03747667
2023-03-16 00:00:00+00:00,-0.03203752
2023-03-17 00:00:00+00:00,0.05144170
2023-03-20 00:00:00+00:00,-0.05554322
2023-03-21 00:00:00+00:00,0.02959243
2023-03-22 00:00:00+00:00,0.02702221
2023-03-23 00:00:00+00:00,0.05662874
2023-03-24 00:00:00+00:00,-0.01140228
2023-03-27 00:00:00+00:00,-0.01706515
2023-03-28 00:00:00+00:00,0.02517824
2023-03-29 00:00:00+00:00,0.04591953
2023-03-30 00:00:00+00:00,0.00999651
2023-03-31 00:00:00+00:00,0.02017046
2023-04-03 00:00:00+00:00,-0.01410912
2023-04-04 00:00:00+00:00,-0.02039283
2023-04-06 00:00:00+00:00,0.00073408
2023-04-11 00:00:00+00:00,0.02248053
2023-04-12 00:00:00+00:00,-0.02509409
2023-04-13 00:00:00+00:00,-0.00043171
2023-04-14 00:00:00+00:00,0.01118432
2023-04-17 00:00:00+00:00,0.03918575
2023-04-18 00:00:00+00:00,-0.01332215
2023-04-19 00:00:00+00:00,-0.03936866
2023-04-20 00:00:00+00:00,0.00713172
2023-04-21 00:00:00+00:00,-0.04391171
2023-04-24 00:00:00+00:00,-0.00799505
2023-04-25 00:00:00+00:00,-0.01665665
2023-04-26 00:00:00+00:00,0.01422713
2023-04-27 00:00:00+00:00,0.00571180
2023-04-28 00:00:00+00:00,0.00719535
2023-05-02 00:00:00+00:00,-0.00746012
2023-05-03 00:00:00+00:00,-0.02906140
2023-05-04 00:00:00+00:00,0.04773179
2023-05-05 00:00:00+00:00,0.01870055
2023-05-08 00:00:00+00:00,0.03189726
2023-05-09 00:00:00+00:00,-0.04977919
2023-05-10 00:00:00+00:00,-0.01543095
2023-05-11 00:00:00+00:00,0.00553718
2023-05-12 00:00:00+00:00,-0.00924272
2023-05-15 00:00:00+00:00,0.03402227
2023-05-16 00:00:00+00:00,-0.00279665
2023-05-17 00:00:00+00:00,-0.04467068
2023-05-18 00:00:00+00:00,0.02669508
2023-05-19 00:00:00+00:00,-0.03586185
2023-05-22 00:00:00+00:00,0.03440259
2023-05-23 00:00:00+00:00,-0.03053831
2023-05-24 00:00:00+00:00,-0.04537781
2023-05-25 00:00:00+00:00,-0.02675964
2023-05-29 00:00:00+00:00,-0.01222666
2023-05-30 00:00:00+00:00,0.00982673
2023-05-31 00:00:00+00:00,-0.04561390
2023-06-01 00:00:00+00:00,0.00050018
2023-06-02 00:00:00+00:00,0.09163521
2023-06-05 00:00:00+00:00,0.00986461
2023-06-06 00:00:00+00:00,0.00171826
2023-06-07 00:00:00+00:00,0.02846658
2023-06-08 00:00:00+00:00,0.00000552
