Date,NOK
2002-06-17 00:00:00+00:00,
2002-06-18 00:00:00+00:00,0.00886856
2002-06-19 00:00:00+00:00,0.01218310
2002-06-20 00:00:00+00:00,0.01834860
2002-06-21 00:00:00+00:00,-0.00770098
2002-06-24 00:00:00+00:00,0.00296060
2002-06-25 00:00:00+00:00,0.00987280
2002-06-26 00:00:00+00:00,0.00406539
2002-06-27 00:00:00+00:00,-0.00080471
2002-06-28 00:00:00+00:00,0.00056073
2002-07-01 00:00:00+00:00,-0.00209473
2002-07-02 00:00:00+00:00,0.00443702
2002-07-03 00:00:00+00:00,0.00192022
2002-07-08 00:00:00+00:00,0.01029787
2002-07-09 00:00:00+00:00,0.00623108
2002-07-10 00:00:00+00:00,-0.00361201
2002-07-11 00:00:00+00:00,0.00241281
2002-07-12 00:00:00+00:00,-0.00242603
2002-07-15 00:00:00+00:00,0.00449953
2002-07-16 00:00:00+00:00,0.00499831
2002-07-17 00:00:00+00:00,0.00283213
2002-07-18 00:00:00+00:00,-0.00041500
2002-07-19 00:00:00+00:00,-0.00225580
2002-07-22 00:00:00+00:00,-0.02226041
2002-07-23 00:00:00+00:00,-0.02201031
2002-07-24 00:00:00+00:00,0.00319513
2002-07-25 00:00:00+00:00,0.00649207
2002-07-26 00:00:00+00:00,-0.01212101
2002-07-29 00:00:00+00:00,-0.00252238
2002-07-30 00:00:00+00:00,0.01616089
2002-07-31 00:00:00+00:00,-0.00844105
2002-08-01 00:00:00+00:00,0.00087767
2002-08-02 00:00:00+00:00,0.00041688
2002-08-05 00:00:00+00:00,-0.00442529
2002-08-06 00:00:00+00:00,-0.01887943
2002-08-07 00:00:00+00:00,0.01333091
2002-08-08 00:00:00+00:00,0.00104271
2002-08-09 00:00:00+00:00,0.00204967
2002-08-12 00:00:00+00:00,0.01009192
2002-08-13 00:00:00+00:00,0.00455220
2002-08-14 00:00:00+00:00,0.00209056
2002-08-15 00:00:00+00:00,0.00132559
2002-08-16 00:00:00+00:00,0.00633930
2002-08-19 00:00:00+00:00,-0.00457625
2002-08-20 00:00:00+00:00,0.00670695
2002-08-21 00:00:00+00:00,-0.00607217
2002-08-22 00:00:00+00:00,-0.01050589
2002-08-23 00:00:00+00:00,0.00118068
2002-08-26 00:00:00+00:00,0.00393274
2002-08-27 00:00:00+00:00,0.01039465
2002-08-28 00:00:00+00:00,-0.00170481
2002-08-29 00:00:00+00:00,0.00297600
2002-08-30 00:00:00+00:00,-0.00260693
2002-09-03 00:00:00+00:00,0.00848809
2002-09-04 00:00:00+00:00,0.00354945
2002-09-05 00:00:00+00:00,0.00742995
2002-09-06 00:00:00+00:00,-0.01597976
2002-09-09 00:00:00+00:00,-0.00605077
2002-09-10 00:00:00+00:00,-0.01645779
2002-09-11 00:00:00+00:00,0.00207928
2002-09-12 00:00:00+00:00,0.01557415
2002-09-13 00:00:00+00:00,-0.01389007
2002-09-16 00:00:00+00:00,-0.01080506
2002-09-17 00:00:00+00:00,-0.00203766
2002-09-18 00:00:00+00:00,0.00709099
2002-09-19 00:00:00+00:00,0.00955573
2002-09-20 00:00:00+00:00,-0.01053557
2002-09-23 00:00:00+00:00,0.00254824
2002-09-24 00:00:00+00:00,0.00817105
2002-09-25 00:00:00+00:00,-0.00577983
2002-09-26 00:00:00+00:00,0.00109335
2002-09-27 00:00:00+00:00,0.00010716
2002-09-30 00:00:00+00:00,0.01147761
2002-10-01 00:00:00+00:00,-0.00386470
2002-10-02 00:00:00+00:00,0.00131084
2002-10-03 00:00:00+00:00,0.00138440
2002-10-04 00:00:00+00:00,0.00168128
2002-10-07 00:00:00+00:00,-0.00169177
2002-10-08 00:00:00+00:00,-0.00184393
2002-10-09 00:00:00+00:00,0.01010073
2002-10-10 00:00:00+00:00,-0.00391095
2002-10-11 00:00:00+00:00,0.00145037
2002-10-15 00:00:00+00:00,-0.00765096
2002-10-16 00:00:00+00:00,-0.00507909
2002-10-17 00:00:00+00:00,-0.01982959
2002-10-18 00:00:00+00:00,0.00103294
2002-10-21 00:00:00+00:00,0.00418573
2002-10-22 00:00:00+00:00,0.00240600
2002-10-23 00:00:00+00:00,0.00301180
2002-10-24 00:00:00+00:00,0.00155537
2002-10-25 00:00:00+00:00,0.00094440
2002-10-28 00:00:00+00:00,0.00588552
2002-10-29 00:00:00+00:00,-0.00019224
2002-10-30 00:00:00+00:00,0.00222612
