Date,GOLD-mini
2000-01-05 00:00:00+00:00,
2000-01-06 00:00:00+00:00,0.00195707
2000-01-07 00:00:00+00:00,0.00337208
2000-01-10 00:00:00+00:00,-0.00158348
2000-01-11 00:00:00+00:00,0.01221023
2000-01-12 00:00:00+00:00,-0.00474197
2000-01-13 00:00:00+00:00,0.01005223
2000-01-14 00:00:00+00:00,-0.00122210
2000-01-18 00:00:00+00:00,0.03317548
2000-01-19 00:00:00+00:00,0.00500695
2000-01-20 00:00:00+00:00,-0.00671673
2000-01-21 00:00:00+00:00,0.00224813
2000-01-24 00:00:00+00:00,-0.01156287
2000-01-25 00:00:00+00:00,-0.01093415
2000-01-26 00:00:00+00:00,-0.00017428
2000-01-27 00:00:00+00:00,0.00471201
2000-01-28 00:00:00+00:00,-0.02804108
2000-01-31 00:00:00+00:00,0.01112981
2000-02-01 00:00:00+00:00,-0.00574439
2000-02-02 00:00:00+00:00,0.01594123
2000-02-03 00:00:00+00:00,0.01477046
2000-02-04 00:00:00+00:00,0.15987842
2000-02-07 00:00:00+00:00,-0.05448904
2000-02-08 00:00:00+00:00,-0.01889654
2000-02-09 00:00:00+00:00,0.04589576
2000-02-10 00:00:00+00:00,0.06495608
2000-02-11 00:00:00+00:00,-0.03218152
2000-02-14 00:00:00+00:00,-0.01675758
2000-02-15 00:00:00+00:00,-0.04455199
2000-02-16 00:00:00+00:00,0.00574066
2000-02-17 00:00:00+00:00,-0.00804758
2000-02-18 00:00:00+00:00,0.02286248
2000-02-22 00:00:00+00:00,0.00242376
2000-02-23 00:00:00+00:00,-0.03495480
2000-02-24 00:00:00+00:00,-0.01010102
2000-02-25 00:00:00+00:00,-0.04271916
2000-02-28 00:00:00+00:00,-0.00255649
2000-02-29 00:00:00+00:00,0.00015979
2000-03-01 00:00:00+00:00,-0.00595794
2000-03-02 00:00:00+00:00,-0.02506875
2000-03-03 00:00:00+00:00,0.00396183
2000-03-06 00:00:00+00:00,-0.00638170
2000-03-07 00:00:00+00:00,0.02988070
2000-03-08 00:00:00+00:00,-0.02231293
2000-03-09 00:00:00+00:00,0.01600335
2000-03-10 00:00:00+00:00,-0.01828961
2000-03-13 00:00:00+00:00,0.01016222
2000-03-14 00:00:00+00:00,-0.01287558
2000-03-15 00:00:00+00:00,-0.00087242
2000-03-16 00:00:00+00:00,-0.01848344
2000-03-17 00:00:00+00:00,-0.01412017
2000-03-20 00:00:00+00:00,0.01069375
2000-03-21 00:00:00+00:00,0.02739073
2000-03-22 00:00:00+00:00,-0.01464625
2000-03-23 00:00:00+00:00,-0.02030110
2000-03-24 00:00:00+00:00,-0.00228576
2000-03-27 00:00:00+00:00,-0.03280219
2000-03-28 00:00:00+00:00,-0.00731301
2000-03-29 00:00:00+00:00,-0.00304542
2000-03-30 00:00:00+00:00,0.00271186
2000-03-31 00:00:00+00:00,0.01629866
2000-04-03 00:00:00+00:00,-0.00728938
2000-04-04 00:00:00+00:00,0.04404104
2000-04-05 00:00:00+00:00,-0.01972176
2000-04-06 00:00:00+00:00,-0.00793483
2000-04-07 00:00:00+00:00,-0.00159809
2000-04-10 00:00:00+00:00,0.01043714
2000-04-11 00:00:00+00:00,-0.00229418
2000-04-12 00:00:00+00:00,-0.00159144
2000-04-13 00:00:00+00:00,-0.00229735
2000-04-14 00:00:00+00:00,0.00970606
2000-04-17 00:00:00+00:00,-0.00299191
2000-04-18 00:00:00+00:00,-0.00862570
2000-04-19 00:00:00+00:00,-0.00371451
2000-04-20 00:00:00+00:00,-0.00726003
2000-04-24 00:00:00+00:00,-0.00231127
2000-04-25 00:00:00+00:00,-0.01013771
2000-04-26 00:00:00+00:00,-0.01912138
2000-04-27 00:00:00+00:00,0.00920362
2000-04-28 00:00:00+00:00,-0.02676168
2000-05-01 00:00:00+00:00,0.00054657
2000-05-02 00:00:00+00:00,0.01582792
2000-05-03 00:00:00+00:00,0.01534002
2000-05-04 00:00:00+00:00,0.01486520
2000-05-05 00:00:00+00:00,-0.00800845
2000-05-08 00:00:00+00:00,-0.01839484
2000-05-09 00:00:00+00:00,0.00449344
2000-05-10 00:00:00+00:00,0.00340498
2000-05-11 00:00:00+00:00,-0.01597714
2000-05-12 00:00:00+00:00,0.00270375
2000-05-15 00:00:00+00:00,-0.00343927
2000-05-16 00:00:00+00:00,-0.00163840
2000-05-17 00:00:00+00:00,-0.01792810
2000-05-18 00:00:00+00:00,-0.00091418
2000-05-19 00:00:00+00:00,0.00602857
2000-05-22 00:00:00+00:00,0.01147070
2000-05-23 00:00:00+00:00,-0.01140997
2000-05-24 00:00:00+00:00,-0.00637229
2000-05-25 00:00:00+00:00,-0.02282604
2000-05-26 00:00:00+00:00,0.01127085
2000-05-30 00:00:00+00:00,0.01194388
2000-05-31 00:00:00+00:00,-0.00523389
2000-06-01 00:00:00+00:00,0.00418809
2000-06-02 00:00:00+00:00,0.06336160
2000-06-05 00:00:00+00:00,0.02796630
2000-06-06 00:00:00+00:00,0.02514397
2000-06-07 00:00:00+00:00,-0.01252094
2000-06-08 00:00:00+00:00,-0.02225241
2000-06-09 00:00:00+00:00,-0.00297312
2000-06-12 00:00:00+00:00,0.01867269
2000-06-13 00:00:00+00:00,-0.00710091
2000-06-14 00:00:00+00:00,0.04216519
2000-06-15 00:00:00+00:00,-0.01445750
2000-06-16 00:00:00+00:00,-0.00668584
2000-06-19 00:00:00+00:00,-0.02215869
2000-06-20 00:00:00+00:00,0.00051406
2000-06-21 00:00:00+00:00,-0.00018094
2000-06-22 00:00:00+00:00,-0.00675243
2000-06-23 00:00:00+00:00,-0.01689515
2000-06-26 00:00:00+00:00,0.00473451
2000-06-27 00:00:00+00:00,0.01417927
2000-06-28 00:00:00+00:00,0.04747123
2000-06-29 00:00:00+00:00,-0.02464661
2000-06-30 00:00:00+00:00,0.00532134
2000-07-05 00:00:00+00:00,-0.04238121
2000-07-06 00:00:00+00:00,-0.00509362
2000-07-07 00:00:00+00:00,-0.00018706
2000-07-10 00:00:00+00:00,0.00194433
2000-07-11 00:00:00+00:00,-0.01142073
2000-07-12 00:00:00+00:00,-0.01395671
2000-07-13 00:00:00+00:00,-0.00374433
2000-07-14 00:00:00+00:00,0.00692958
2000-07-17 00:00:00+00:00,0.01648247
2000-07-18 00:00:00+00:00,-0.00793114
2000-07-19 00:00:00+00:00,-0.02491691
2000-07-20 00:00:00+00:00,0.00553179
2000-07-21 00:00:00+00:00,0.00123726
2000-07-24 00:00:00+00:00,-0.00909959
2000-07-25 00:00:00+00:00,-0.00019122
2000-07-26 00:00:00+00:00,0.00269764
2000-07-27 00:00:00+00:00,-0.00769982
2000-07-28 00:00:00+00:00,-0.00593422
2000-07-31 00:00:00+00:00,0.00881102
2000-08-01 00:00:00+00:00,-0.00016861
2000-08-02 00:00:00+00:00,-0.00338060
2000-08-03 00:00:00+00:00,-0.02378877
2000-08-04 00:00:00+00:00,-0.00634256
2000-08-07 00:00:00+00:00,0.00343611
2000-08-08 00:00:00+00:00,-0.00309039
2000-08-09 00:00:00+00:00,-0.00998587
2000-08-10 00:00:00+00:00,0.00199398
2000-08-11 00:00:00+00:00,0.01946409
2000-08-14 00:00:00+00:00,-0.00524003
2000-08-15 00:00:00+00:00,-0.00019344
2000-08-16 00:00:00+00:00,0.01934655
2000-08-17 00:00:00+00:00,0.00195429
2000-08-18 00:00:00+00:00,-0.00662863
2000-08-21 00:00:00+00:00,-0.01238829
2000-08-22 00:00:00+00:00,-0.01246338
2000-08-23 00:00:00+00:00,-0.01907535
2000-08-24 00:00:00+00:00,0.01300276
2000-08-25 00:00:00+00:00,0.00781738
2000-08-28 00:00:00+00:00,-0.00055727
2000-08-29 00:00:00+00:00,-0.00744854
2000-08-30 00:00:00+00:00,0.00490191
2000-08-31 00:00:00+00:00,0.02921749
2000-09-01 00:00:00+00:00,-0.00913451
2000-09-05 00:00:00+00:00,-0.00881640
2000-09-06 00:00:00+00:00,-0.01318320
2000-09-07 00:00:00+00:00,-0.00164418
2000-09-08 00:00:00+00:00,-0.00673291
2000-09-11 00:00:00+00:00,-0.00091867
2000-09-12 00:00:00+00:00,-0.00162430
2000-09-13 00:00:00+00:00,-0.00091890
2000-09-14 00:00:00+00:00,-0.00384347
2000-09-15 00:00:00+00:00,-0.00165396
2000-09-18 00:00:00+00:00,-0.00678324
2000-09-19 00:00:00+00:00,0.00348473
2000-09-20 00:00:00+00:00,-0.02146671
2000-09-21 00:00:00+00:00,0.00759632
2000-09-22 00:00:00+00:00,0.01125717
2000-09-25 00:00:00+00:00,0.01560102
2000-09-26 00:00:00+00:00,-0.00091953
2000-09-27 00:00:00+00:00,0.03083205
2000-09-28 00:00:00+00:00,0.00160337
2000-09-29 00:00:00+00:00,-0.01451011
2000-10-02 00:00:00+00:00,-0.00452519
2000-10-03 00:00:00+00:00,-0.01105010
2000-10-04 00:00:00+00:00,-0.01183717
2000-10-05 00:00:00+00:00,0.00127152
2000-10-06 00:00:00+00:00,-0.00970221
2000-10-09 00:00:00+00:00,0.00568786
2000-10-10 00:00:00+00:00,0.01593107
2000-10-11 00:00:00+00:00,-0.01545923
2000-10-12 00:00:00+00:00,0.04229990
2000-10-13 00:00:00+00:00,-0.02888563
2000-10-16 00:00:00+00:00,-0.00674255
2000-10-17 00:00:00+00:00,-0.00384497
2000-10-18 00:00:00+00:00,-0.00604623
2000-10-19 00:00:00+00:00,-0.00239558
2000-10-20 00:00:00+00:00,0.00715056
2000-10-23 00:00:00+00:00,-0.00970847
2000-10-24 00:00:00+00:00,0.00053991
2000-10-25 00:00:00+00:00,-0.03106723
2000-10-26 00:00:00+00:00,-0.00990078
2000-10-27 00:00:00+00:00,-0.00544670
2000-10-30 00:00:00+00:00,-0.00094811
2000-10-31 00:00:00+00:00,0.00394251
2000-11-01 00:00:00+00:00,-0.00770317
2000-11-02 00:00:00+00:00,0.00357195
2000-11-03 00:00:00+00:00,0.00130810
2000-11-06 00:00:00+00:00,-0.00132473
2000-11-07 00:00:00+00:00,-0.00433239
2000-11-08 00:00:00+00:00,0.00507828
2000-11-09 00:00:00+00:00,0.00581628
2000-11-10 00:00:00+00:00,-0.01068677
2000-11-13 00:00:00+00:00,-0.00132589
2000-11-14 00:00:00+00:00,0.00055820
2000-11-15 00:00:00+00:00,0.00131121
2000-11-16 00:00:00+00:00,0.00507570
2000-11-17 00:00:00+00:00,-0.00094642
2000-11-20 00:00:00+00:00,0.00431222
2000-11-21 00:00:00+00:00,-0.00581786
2000-11-22 00:00:00+00:00,0.00431392
2000-11-27 00:00:00+00:00,0.02717702
2000-11-28 00:00:00+00:00,0.00831590
2000-11-29 00:00:00+00:00,-0.02254489
2000-11-30 00:00:00+00:00,0.02688565
2000-12-01 00:00:00+00:00,-0.01043679
2000-12-04 00:00:00+00:00,0.01378548
2000-12-05 00:00:00+00:00,-0.00420542
2000-12-06 00:00:00+00:00,0.02908342
2000-12-07 00:00:00+00:00,-0.00884375
2000-12-08 00:00:00+00:00,-0.00743192
2000-12-11 00:00:00+00:00,-0.01472833
2000-12-12 00:00:00+00:00,0.00054417
2000-12-13 00:00:00+00:00,-0.01482862
2000-12-14 00:00:00+00:00,0.00202506
2000-12-15 00:00:00+00:00,0.01012574
2000-12-18 00:00:00+00:00,-0.00678038
2000-12-19 00:00:00+00:00,-0.00018372
2000-12-20 00:00:00+00:00,0.01969461
2000-12-21 00:00:00+00:00,0.00710806
2000-12-22 00:00:00+00:00,-0.00161652
2000-12-26 00:00:00+00:00,0.00272453
2000-12-27 00:00:00+00:00,0.00743037
2000-12-28 00:00:00+00:00,-0.02329482
2000-12-29 00:00:00+00:00,-0.00091375
2001-01-02 00:00:00+00:00,-0.02649729
2001-01-03 00:00:00+00:00,-0.00573233
2001-01-04 00:00:00+00:00,-0.00760122
2001-01-05 00:00:00+00:00,0.00430805
