Date,US-MATERIAL
2011-09-01 00:00:00+00:00,-0.02643128
2011-09-02 00:00:00+00:00,-0.04425660
2011-09-06 00:00:00+00:00,-0.02906461
2011-09-07 00:00:00+00:00,0.06569182
2011-09-08 00:00:00+00:00,-0.02197227
2011-09-09 00:00:00+00:00,-0.06658602
2011-09-12 00:00:00+00:00,-0.01838943
2011-09-13 00:00:00+00:00,0.01097138
2011-09-14 00:00:00+00:00,0.01517741
2011-09-15 00:00:00+00:00,0.02002815
2011-09-16 00:00:00+00:00,0.04977871
2011-09-19 00:00:00+00:00,-0.03038342
2011-09-20 00:00:00+00:00,-0.02300590
2011-09-21 00:00:00+00:00,-0.09044978
2011-09-22 00:00:00+00:00,-0.11163595
2011-09-23 00:00:00+00:00,-0.00757494
2011-09-26 00:00:00+00:00,0.06245006
2011-09-27 00:00:00+00:00,0.04464523
2011-09-28 00:00:00+00:00,-0.08742926
2011-09-29 00:00:00+00:00,-0.00190835
2011-09-30 00:00:00+00:00,-0.07145926
2011-10-03 00:00:00+00:00,-0.05331158
2011-10-04 00:00:00+00:00,0.06939568
2011-10-05 00:00:00+00:00,0.08448607
2011-10-06 00:00:00+00:00,0.05072814
2011-10-07 00:00:00+00:00,-0.02961072
2011-10-10 00:00:00+00:00,0.08085208
2011-10-11 00:00:00+00:00,0.00409229
2011-10-12 00:00:00+00:00,0.01936409
2011-10-13 00:00:00+00:00,-0.00876165
2011-10-14 00:00:00+00:00,0.04907788
2011-10-17 00:00:00+00:00,-0.05994511
2011-10-18 00:00:00+00:00,0.04526327
2011-10-19 00:00:00+00:00,-0.05812677
2011-10-20 00:00:00+00:00,0.01892685
2011-10-21 00:00:00+00:00,0.05219948
2011-10-24 00:00:00+00:00,0.04686706
2011-10-25 00:00:00+00:00,-0.04808868
2011-10-26 00:00:00+00:00,0.03947709
2011-10-27 00:00:00+00:00,0.10608973
2011-10-28 00:00:00+00:00,0.01169992
2011-10-31 00:00:00+00:00,-0.08272254
2011-11-01 00:00:00+00:00,-0.05145397
2011-11-02 00:00:00+00:00,0.04310259
2011-11-03 00:00:00+00:00,0.04108090
2011-11-04 00:00:00+00:00,-0.00220753
2011-11-07 00:00:00+00:00,0.01577367
2011-11-08 00:00:00+00:00,0.02375993
2011-11-09 00:00:00+00:00,-0.09514116
2011-11-10 00:00:00+00:00,0.02016614
2011-11-11 00:00:00+00:00,0.04717890
2011-11-14 00:00:00+00:00,-0.01739328
2011-11-15 00:00:00+00:00,0.00325365
2011-11-16 00:00:00+00:00,-0.04538548
2011-11-17 00:00:00+00:00,-0.05929776
2011-11-18 00:00:00+00:00,0.01207005
2011-11-21 00:00:00+00:00,-0.03439454
2011-11-22 00:00:00+00:00,-0.01518222
2011-11-23 00:00:00+00:00,-0.05464008
2011-11-25 00:00:00+00:00,-0.00968948
2011-11-28 00:00:00+00:00,0.07215599
2011-11-29 00:00:00+00:00,0.00289684
2011-11-30 00:00:00+00:00,0.11806391
2011-12-01 00:00:00+00:00,-0.01162253
2011-12-02 00:00:00+00:00,-0.01613224
2011-12-05 00:00:00+00:00,0.01956110
2011-12-06 00:00:00+00:00,0.01826240
2011-12-07 00:00:00+00:00,0.00244164
2011-12-08 00:00:00+00:00,-0.05762758
2011-12-09 00:00:00+00:00,0.02086784
2011-12-12 00:00:00+00:00,-0.04614543
2011-12-13 00:00:00+00:00,-0.02149565
2011-12-14 00:00:00+00:00,-0.01082195
2011-12-15 00:00:00+00:00,0.00443518
2011-12-16 00:00:00+00:00,0.00765376
2011-12-19 00:00:00+00:00,-0.01840505
2011-12-20 00:00:00+00:00,0.03749979
2011-12-21 00:00:00+00:00,0.00286833
2011-12-22 00:00:00+00:00,0.00886707
2011-12-23 00:00:00+00:00,0.00878928
2011-12-27 00:00:00+00:00,0.00056148
2011-12-28 00:00:00+00:00,-0.01797774
2011-12-29 00:00:00+00:00,0.00686471
2011-12-30 00:00:00+00:00,0.00085171
2012-01-03 00:00:00+00:00,0.02951973
