Date,EU-AUTO
2015-06-16 00:00:00+00:00,
2015-06-17 00:00:00+00:00,-0.01428839
2015-06-18 00:00:00+00:00,0.00214105
2015-06-19 00:00:00+00:00,0.00821806
2015-06-22 00:00:00+00:00,0.03586544
2015-06-23 00:00:00+00:00,0.01274751
2015-06-24 00:00:00+00:00,-0.01010129
2015-06-25 00:00:00+00:00,0.00345355
2015-06-26 00:00:00+00:00,0.00641413
2015-06-29 00:00:00+00:00,-0.04010584
2015-06-30 00:00:00+00:00,-0.01214630
2015-07-01 00:00:00+00:00,0.02868816
2015-07-02 00:00:00+00:00,-0.01354604
2015-07-03 00:00:00+00:00,-0.00242349
2015-07-06 00:00:00+00:00,-0.01538489
2015-07-07 00:00:00+00:00,-0.01792805
2015-07-08 00:00:00+00:00,-0.02545679
2015-07-09 00:00:00+00:00,0.02594898
2015-07-10 00:00:00+00:00,0.01691751
2015-07-13 00:00:00+00:00,0.00642407
2015-07-14 00:00:00+00:00,-0.01178438
2015-07-15 00:00:00+00:00,-0.00049741
2015-07-16 00:00:00+00:00,0.02038061
2015-07-17 00:00:00+00:00,-0.00584661
2015-07-20 00:00:00+00:00,0.00783980
2015-07-21 00:00:00+00:00,-0.00389079
2015-07-22 00:00:00+00:00,-0.00748554
2015-07-23 00:00:00+00:00,-0.00344362
2015-07-24 00:00:00+00:00,-0.02286666
2015-07-27 00:00:00+00:00,-0.02811540
2015-07-28 00:00:00+00:00,0.01073818
2015-07-29 00:00:00+00:00,-0.00274355
2015-07-30 00:00:00+00:00,-0.00550114
2015-07-31 00:00:00+00:00,0.00742867
2015-08-03 00:00:00+00:00,0.00480083
2015-08-04 00:00:00+00:00,0.00972803
2015-08-05 00:00:00+00:00,0.02451170
2015-08-06 00:00:00+00:00,-0.00643656
2015-08-07 00:00:00+00:00,0.00033034
2015-08-10 00:00:00+00:00,0.00597498
2015-08-11 00:00:00+00:00,-0.04126382
2015-08-12 00:00:00+00:00,-0.03236641
2015-08-13 00:00:00+00:00,-0.00018046
2015-08-14 00:00:00+00:00,0.00248855
2015-08-17 00:00:00+00:00,-0.00337435
2015-08-18 00:00:00+00:00,-0.00837299
2015-08-19 00:00:00+00:00,-0.02209193
2015-08-20 00:00:00+00:00,-0.02516125
2015-08-21 00:00:00+00:00,-0.01846356
2015-08-24 00:00:00+00:00,-0.02533653
2015-08-25 00:00:00+00:00,0.02579586
2015-08-26 00:00:00+00:00,-0.00710487
2015-08-27 00:00:00+00:00,0.03402778
2015-08-28 00:00:00+00:00,-0.00897693
2015-08-31 00:00:00+00:00,-0.00962292
2015-09-01 00:00:00+00:00,-0.02591117
2015-09-02 00:00:00+00:00,-0.00625942
2015-09-03 00:00:00+00:00,0.03857453
2015-09-04 00:00:00+00:00,-0.02596272
2015-09-07 00:00:00+00:00,0.00680834
2015-09-08 00:00:00+00:00,0.06589286
2015-09-09 00:00:00+00:00,0.04077154
2015-09-10 00:00:00+00:00,-0.02157001
2015-09-11 00:00:00+00:00,-0.01942138
2015-09-14 00:00:00+00:00,-0.00488361
2015-09-15 00:00:00+00:00,0.01518382
2015-09-16 00:00:00+00:00,0.00516904
2015-09-17 00:00:00+00:00,0.00477642
2015-09-18 00:00:00+00:00,-0.03090123
2015-09-21 00:00:00+00:00,-0.04622619
2015-09-22 00:00:00+00:00,-0.07319508
2015-09-23 00:00:00+00:00,0.00960485
2015-09-24 00:00:00+00:00,-0.03467244
2015-09-25 00:00:00+00:00,0.02562454
2015-09-28 00:00:00+00:00,-0.03587436
2015-09-29 00:00:00+00:00,-0.00376550
2015-09-30 00:00:00+00:00,0.03201400
2015-10-01 00:00:00+00:00,-0.00107684
2015-10-02 00:00:00+00:00,-0.00237231
2015-10-05 00:00:00+00:00,0.03329002
2015-10-06 00:00:00+00:00,0.01548103
2015-10-07 00:00:00+00:00,0.03440448
2015-10-08 00:00:00+00:00,0.01653043
2015-10-09 00:00:00+00:00,0.00705307
2015-10-12 00:00:00+00:00,0.01050561
2015-10-13 00:00:00+00:00,-0.01521000
2015-10-14 00:00:00+00:00,-0.01114383
2015-10-15 00:00:00+00:00,0.01205996
2015-10-16 00:00:00+00:00,-0.00800952
2015-10-19 00:00:00+00:00,0.00728625
2015-10-20 00:00:00+00:00,-0.00488814
2015-10-21 00:00:00+00:00,0.00982304
2015-10-22 00:00:00+00:00,0.04027224
