Date,AUDJPY
2021-12-15 00:00:00+00:00,
2021-12-16 00:00:00+00:00,-0.00024845
2021-12-17 00:00:00+00:00,-0.00811103
2021-12-20 00:00:00+00:00,-0.00666452
2021-12-21 00:00:00+00:00,0.01930346
2021-12-22 00:00:00+00:00,0.01813823
2021-12-23 00:00:00+00:00,0.01408788
2021-12-27 00:00:00+00:00,0.00626956
2021-12-28 00:00:00+00:00,-0.00469295
2021-12-29 00:00:00+00:00,0.00903650
2021-12-30 00:00:00+00:00,0.00311697
2021-12-31 00:00:00+00:00,0.00478917
2022-01-03 00:00:00+00:00,-0.01828937
2022-01-04 00:00:00+00:00,0.02834352
2022-01-05 00:00:00+00:00,-0.00488034
2022-01-06 00:00:00+00:00,-0.01931991
2022-01-07 00:00:00+00:00,-0.00156930
2022-01-10 00:00:00+00:00,-0.01024645
2022-01-11 00:00:00+00:00,0.01343811
2022-01-12 00:00:00+00:00,0.00649174
2022-01-13 00:00:00+00:00,-0.00612073
2022-01-14 00:00:00+00:00,-0.02129447
2022-01-17 00:00:00+00:00,0.00400707
2022-01-18 00:00:00+00:00,-0.00218365
2022-01-19 00:00:00+00:00,0.00448783
2022-01-20 00:00:00+00:00,0.00387135
2022-01-21 00:00:00+00:00,-0.02721957
2022-01-24 00:00:00+00:00,-0.01128764
2022-01-25 00:00:00+00:00,0.01368163
2022-01-26 00:00:00+00:00,-0.00172169
2022-01-27 00:00:00+00:00,-0.01447152
2022-01-28 00:00:00+00:00,-0.01371217
2022-01-31 00:00:00+00:00,0.02224874
2022-02-01 00:00:00+00:00,0.00687803
2022-02-02 00:00:00+00:00,0.00281177
2022-02-03 00:00:00+00:00,0.00635678
2022-02-04 00:00:00+00:00,-0.01086574
2022-02-07 00:00:00+00:00,0.01213508
2022-02-08 00:00:00+00:00,0.00986625
2022-02-09 00:00:00+00:00,0.01309278
2022-02-10 00:00:00+00:00,0.00275923
2022-02-11 00:00:00+00:00,-0.02360074
2022-02-14 00:00:00+00:00,0.00607703
2022-02-15 00:00:00+00:00,0.00800054
2022-02-16 00:00:00+00:00,0.01026722
2022-02-17 00:00:00+00:00,-0.01180324
2022-02-18 00:00:00+00:00,0.00156202
2022-02-21 00:00:00+00:00,0.00035136
2022-02-22 00:00:00+00:00,0.00905687
2022-02-23 00:00:00+00:00,0.00239596
2022-02-24 00:00:00+00:00,-0.00914835
2022-02-25 00:00:00+00:00,0.01907096
2022-02-28 00:00:00+00:00,-0.00383865
2022-03-01 00:00:00+00:00,-0.00468586
2022-03-02 00:00:00+00:00,0.02678242
2022-03-03 00:00:00+00:00,0.00508677
2022-03-04 00:00:00+00:00,0.00022571
2022-03-07 00:00:00+00:00,-0.00213936
2022-03-08 00:00:00+00:00,-0.00652233
2022-03-09 00:00:00+00:00,0.01376300
2022-03-10 00:00:00+00:00,0.01697063
2022-03-11 00:00:00+00:00,0.00256030
2022-03-14 00:00:00+00:00,-0.01029245
2022-03-15 00:00:00+00:00,-0.00434796
2022-03-16 00:00:00+00:00,0.02692526
2022-03-17 00:00:00+00:00,0.02935829
2022-03-18 00:00:00+00:00,0.01783189
2022-03-21 00:00:00+00:00,0.00111862
2022-03-22 00:00:00+00:00,0.03919036
2022-03-23 00:00:00+00:00,0.01898681
2022-03-24 00:00:00+00:00,0.02012715
2022-03-25 00:00:00+00:00,0.00031046
2022-03-28 00:00:00+00:00,0.01730482
2022-03-29 00:00:00+00:00,-0.00671363
2022-03-30 00:00:00+00:00,-0.02028086
2022-03-31 00:00:00+00:00,-0.00724169
2022-04-01 00:00:00+00:00,0.01866515
2022-04-04 00:00:00+00:00,0.01707400
2022-04-05 00:00:00+00:00,0.02469873
2022-04-06 00:00:00+00:00,-0.02038091
2022-04-07 00:00:00+00:00,-0.00303544
2022-04-08 00:00:00+00:00,-0.00023659
2022-04-11 00:00:00+00:00,0.00936299
2022-04-12 00:00:00+00:00,0.00588251
2022-04-13 00:00:00+00:00,0.00094097
2022-04-14 00:00:00+00:00,-0.00194932
2022-04-18 00:00:00+00:00,-0.00216518
2022-04-19 00:00:00+00:00,0.03428372
2022-04-20 00:00:00+00:00,0.00282134
2022-04-21 00:00:00+00:00,-0.01170625
2022-04-22 00:00:00+00:00,-0.03146305
2022-04-25 00:00:00+00:00,-0.02830413
2022-04-26 00:00:00+00:00,-0.01289613
2022-04-27 00:00:00+00:00,0.00447654
2022-04-28 00:00:00+00:00,0.03282709
2022-04-29 00:00:00+00:00,-0.02566589
2022-05-02 00:00:00+00:00,-0.00220665
2022-05-03 00:00:00+00:00,0.01658120
2022-05-04 00:00:00+00:00,0.01654927
2022-05-05 00:00:00+00:00,-0.01356334
2022-05-06 00:00:00+00:00,-0.00208067
2022-05-09 00:00:00+00:00,-0.03716997
2022-05-10 00:00:00+00:00,-0.00311686
2022-05-11 00:00:00+00:00,-0.00809648
2022-05-12 00:00:00+00:00,-0.05874015
2022-05-13 00:00:00+00:00,0.04697471
2022-05-16 00:00:00+00:00,0.01214874
2022-05-17 00:00:00+00:00,0.01507318
2022-05-18 00:00:00+00:00,-0.03386702
2022-05-19 00:00:00+00:00,0.02216922
2022-05-20 00:00:00+00:00,-0.01078649
2022-05-23 00:00:00+00:00,0.02628277
2022-05-24 00:00:00+00:00,-0.02369126
2022-05-25 00:00:00+00:00,0.01021482
2022-05-26 00:00:00+00:00,-0.00191446
2022-05-27 00:00:00+00:00,0.01649262
2022-05-30 00:00:00+00:00,0.00810730
2022-05-31 00:00:00+00:00,0.02168103
2022-06-01 00:00:00+00:00,0.02673345
2022-06-02 00:00:00+00:00,0.01429515
2022-06-03 00:00:00+00:00,0.00346877
2022-06-06 00:00:00+00:00,0.01194002
2022-06-07 00:00:00+00:00,0.01871427
2022-06-08 00:00:00+00:00,0.01363200
2022-06-09 00:00:00+00:00,-0.02262756
2022-06-10 00:00:00+00:00,-0.01355996
2022-06-13 00:00:00+00:00,-0.03528789
2022-06-14 00:00:00+00:00,-0.00949747
2022-06-15 00:00:00+00:00,0.01620607
2022-06-16 00:00:00+00:00,-0.00789162
2022-06-17 00:00:00+00:00,0.00858703
2022-06-20 00:00:00+00:00,0.00511110
2022-06-21 00:00:00+00:00,0.02999031
2022-06-22 00:00:00+00:00,-0.01567240
2022-06-23 00:00:00+00:00,-0.03059505
2022-06-24 00:00:00+00:00,0.01843813
2022-06-27 00:00:00+00:00,-0.00165499
2022-06-28 00:00:00+00:00,0.01002624
2022-06-29 00:00:00+00:00,-0.00762283
2022-06-30 00:00:00+00:00,-0.00422431
2022-07-01 00:00:00+00:00,-0.03019921
2022-07-04 00:00:00+00:00,-0.00004900
2022-07-05 00:00:00+00:00,-0.00179138
2022-07-06 00:00:00+00:00,0.00463585
2022-07-07 00:00:00+00:00,0.01702632
2022-07-08 00:00:00+00:00,0.00415109
2022-07-11 00:00:00+00:00,-0.01555929
2022-07-12 00:00:00+00:00,-0.00038820
2022-07-13 00:00:00+00:00,0.00872402
2022-07-14 00:00:00+00:00,0.01818634
2022-07-15 00:00:00+00:00,0.00581914
2022-07-18 00:00:00+00:00,-0.00049414
2022-07-19 00:00:00+00:00,0.02586275
2022-07-20 00:00:00+00:00,-0.00186152
2022-07-21 00:00:00+00:00,-0.00323300
2022-07-22 00:00:00+00:00,-0.01844525
2022-07-25 00:00:00+00:00,0.01943696
2022-07-26 00:00:00+00:00,-0.00682782
2022-07-27 00:00:00+00:00,0.01465187
2022-07-28 00:00:00+00:00,-0.03508723
2022-07-29 00:00:00+00:00,-0.00841949
2022-08-01 00:00:00+00:00,-0.01555165
2022-08-02 00:00:00+00:00,-0.00960806
2022-08-03 00:00:00+00:00,0.02334224
2022-08-04 00:00:00+00:00,-0.00771117
2022-08-05 00:00:00+00:00,0.01116539
2022-08-08 00:00:00+00:00,0.01744007
2022-08-09 00:00:00+00:00,-0.00209807
2022-08-10 00:00:00+00:00,0.00301805
2022-08-11 00:00:00+00:00,0.00663385
2022-08-12 00:00:00+00:00,0.01435395
2022-08-15 00:00:00+00:00,-0.03282747
2022-08-16 00:00:00+00:00,0.01481000
2022-08-17 00:00:00+00:00,-0.01038633
2022-08-18 00:00:00+00:00,0.00537366
2022-08-19 00:00:00+00:00,-0.00007611
2022-08-22 00:00:00+00:00,0.00993796
2022-08-23 00:00:00+00:00,0.00448005
2022-08-24 00:00:00+00:00,-0.00113636
2022-08-25 00:00:00+00:00,0.01240749
2022-08-26 00:00:00+00:00,-0.01133283
2022-08-29 00:00:00+00:00,0.02350374
2022-08-30 00:00:00+00:00,-0.01503049
2022-08-31 00:00:00+00:00,-0.00166270
2022-09-01 00:00:00+00:00,0.00286785
2022-09-02 00:00:00+00:00,0.00865362
