Date,SUGAR_WHITE
2000-06-26 00:00:00+00:00,-0.00317637
2000-06-27 00:00:00+00:00,0.01746450
2000-06-28 00:00:00+00:00,0.01305396
2000-06-29 00:00:00+00:00,0.04969542
2000-06-30 00:00:00+00:00,-0.03938621
2000-07-03 00:00:00+00:00,-0.00396920
2000-07-04 00:00:00+00:00,-0.00102218
2000-07-05 00:00:00+00:00,-0.00944093
2000-07-06 00:00:00+00:00,0.03320719
2000-07-07 00:00:00+00:00,-0.01264153
2000-07-10 00:00:00+00:00,-0.00436274
2000-07-11 00:00:00+00:00,0.00441202
2000-07-12 00:00:00+00:00,0.04312890
2000-07-13 00:00:00+00:00,-0.00182534
2000-07-14 00:00:00+00:00,-0.01325828
2000-07-17 00:00:00+00:00,0.02063872
2000-07-18 00:00:00+00:00,0.02983389
2000-07-19 00:00:00+00:00,-0.02143814
2000-07-20 00:00:00+00:00,0.05399660
2000-07-21 00:00:00+00:00,0.01300836
2000-07-24 00:00:00+00:00,-0.00713324
2000-07-25 00:00:00+00:00,0.02689208
2000-07-26 00:00:00+00:00,0.03072936
2000-07-27 00:00:00+00:00,0.04680470
2000-07-28 00:00:00+00:00,0.02918135
2000-07-31 00:00:00+00:00,-0.09422005
2000-08-01 00:00:00+00:00,0.01798286
2000-08-02 00:00:00+00:00,0.07651187
2000-08-03 00:00:00+00:00,0.05126122
2000-08-04 00:00:00+00:00,-0.03624320
2000-08-07 00:00:00+00:00,-0.03340159
2000-08-08 00:00:00+00:00,-0.00011557
2000-08-09 00:00:00+00:00,-0.01598194
2000-08-10 00:00:00+00:00,-0.03043345
2000-08-11 00:00:00+00:00,0.02155756
2000-08-14 00:00:00+00:00,0.01016334
2000-08-15 00:00:00+00:00,-0.00606115
2000-08-16 00:00:00+00:00,0.00088491
2000-08-17 00:00:00+00:00,-0.00386890
2000-08-18 00:00:00+00:00,0.02060478
2000-08-21 00:00:00+00:00,0.00311237
2000-08-22 00:00:00+00:00,-0.02001356
2000-08-23 00:00:00+00:00,-0.01906463
2000-08-24 00:00:00+00:00,-0.01100195
2000-08-25 00:00:00+00:00,0.04782023
2000-08-29 00:00:00+00:00,-0.01117929
2000-08-30 00:00:00+00:00,-0.00129553
2000-08-31 00:00:00+00:00,-0.01785097
2000-09-01 00:00:00+00:00,0.01100459
2000-09-04 00:00:00+00:00,0.00530899
2000-09-05 00:00:00+00:00,-0.02116068
2000-09-06 00:00:00+00:00,-0.01056735
2000-09-07 00:00:00+00:00,0.01023879
2000-09-08 00:00:00+00:00,0.01804401
