Date,EURIBOR
2000-07-18 00:00:00+00:00,-0.00059036
2000-07-19 00:00:00+00:00,0.00041593
2000-07-20 00:00:00+00:00,0.00046797
2000-07-21 00:00:00+00:00,0.00009865
2000-07-24 00:00:00+00:00,-0.00059022
2000-07-25 00:00:00+00:00,0.00057315
2000-07-26 00:00:00+00:00,0.00073218
2000-07-27 00:00:00+00:00,-0.00064451
2000-07-28 00:00:00+00:00,-0.00048535
2000-07-31 00:00:00+00:00,-0.00016822
2000-08-01 00:00:00+00:00,0.00073086
2000-08-02 00:00:00+00:00,-0.00075110
2000-08-03 00:00:00+00:00,-0.00011587
2000-08-04 00:00:00+00:00,0.00041386
2000-08-07 00:00:00+00:00,0.00057137
2000-08-08 00:00:00+00:00,-0.00069829
2000-08-09 00:00:00+00:00,-0.00038086
2000-08-10 00:00:00+00:00,0.00072976
2000-08-11 00:00:00+00:00,-0.00154494
2000-08-14 00:00:00+00:00,-0.00064598
2000-08-15 00:00:00+00:00,-0.00075221
2000-08-16 00:00:00+00:00,-0.00085794
2000-08-17 00:00:00+00:00,-0.00006399
2000-08-18 00:00:00+00:00,-0.00054049
2000-08-21 00:00:00+00:00,-0.00101712
2000-08-22 00:00:00+00:00,0.00051850
2000-08-23 00:00:00+00:00,0.00078280
2000-08-24 00:00:00+00:00,-0.00011751
2000-08-25 00:00:00+00:00,-0.00038200
2000-08-28 00:00:00+00:00,-0.00048889
2000-08-29 00:00:00+00:00,-0.00043572
2000-08-30 00:00:00+00:00,0.00019939
2000-08-31 00:00:00+00:00,0.00009372
2000-09-01 00:00:00+00:00,0.00173588
2000-09-04 00:00:00+00:00,-0.00032854
2000-09-05 00:00:00+00:00,-0.00080398
2000-09-06 00:00:00+00:00,-0.00090888
2000-09-07 00:00:00+00:00,-0.00006209
2000-09-08 00:00:00+00:00,-0.00006071
2000-09-11 00:00:00+00:00,-0.00016600
2000-09-12 00:00:00+00:00,0.00004724
2000-09-13 00:00:00+00:00,0.00057565
2000-09-14 00:00:00+00:00,0.00041530
2000-09-15 00:00:00+00:00,0.00004497
2000-09-18 00:00:00+00:00,-0.00027231
2000-09-19 00:00:00+00:00,0.00067977
2000-09-20 00:00:00+00:00,-0.00032542
2000-09-21 00:00:00+00:00,0.00015036
2000-09-22 00:00:00+00:00,0.00073146
2000-09-25 00:00:00+00:00,-0.00212199
2000-09-26 00:00:00+00:00,0.00067877
2000-09-27 00:00:00+00:00,0.00014923
2000-09-28 00:00:00+00:00,-0.00016933
2000-09-29 00:00:00+00:00,0.00067761
2000-10-02 00:00:00+00:00,0.00046576
2000-10-03 00:00:00+00:00,0.00020065
2000-10-04 00:00:00+00:00,-0.00053868
2000-10-05 00:00:00+00:00,-0.00075030
2000-10-06 00:00:00+00:00,0.00035924
2000-10-09 00:00:00+00:00,0.00035910
2000-10-10 00:00:00+00:00,-0.00027438
2000-10-11 00:00:00+00:00,0.00083445
2000-10-12 00:00:00+00:00,0.00014899
2000-10-13 00:00:00+00:00,-0.00027348
2000-10-16 00:00:00+00:00,-0.00064399
2000-10-17 00:00:00+00:00,-0.00149026
2000-10-18 00:00:00+00:00,-0.00006430
2000-10-19 00:00:00+00:00,-0.00085831
2000-10-20 00:00:00+00:00,-0.00022386
2000-10-23 00:00:00+00:00,-0.00059475
2000-10-24 00:00:00+00:00,0.00030378
2000-10-25 00:00:00+00:00,-0.00033153
2000-10-26 00:00:00+00:00,0.00019767
2000-10-27 00:00:00+00:00,0.00035646
2000-10-30 00:00:00+00:00,-0.00006698
2000-10-31 00:00:00+00:00,-0.00038403
2000-11-01 00:00:00+00:00,0.00051461
2000-11-02 00:00:00+00:00,-0.00027832
2000-11-03 00:00:00+00:00,-0.00017294
2000-11-06 00:00:00+00:00,-0.00049032
2000-11-07 00:00:00+00:00,-0.00022662
2000-11-08 00:00:00+00:00,-0.00048984
2000-11-09 00:00:00+00:00,0.00035529
