Date,YENEUR
2000-03-14 00:00:00+00:00,
2000-03-15 00:00:00+00:00,0.00580497
2000-03-16 00:00:00+00:00,0.00369466
2000-03-17 00:00:00+00:00,0.01204463
2000-03-20 00:00:00+00:00,-0.00327077
2000-03-21 00:00:00+00:00,-0.00211009
2000-03-22 00:00:00+00:00,-0.00572966
2000-03-23 00:00:00+00:00,0.01674335
2000-03-24 00:00:00+00:00,-0.00044936
2000-03-27 00:00:00+00:00,-0.01233785
2000-03-28 00:00:00+00:00,-0.01239101
2000-03-29 00:00:00+00:00,-0.01392972
2000-03-30 00:00:00+00:00,0.01018795
2000-03-31 00:00:00+00:00,-0.03615014
2000-04-03 00:00:00+00:00,0.02768848
2000-04-04 00:00:00+00:00,0.00586297
2000-04-05 00:00:00+00:00,-0.00035781
2000-04-06 00:00:00+00:00,-0.00394979
2000-04-07 00:00:00+00:00,0.00054181
2000-04-10 00:00:00+00:00,0.01675350
2000-04-11 00:00:00+00:00,0.00328670
2000-04-12 00:00:00+00:00,-0.01457351
2000-04-13 00:00:00+00:00,-0.00234600
2000-04-14 00:00:00+00:00,-0.00404606
2000-04-17 00:00:00+00:00,-0.01116906
2000-04-18 00:00:00+00:00,-0.00218144
2000-04-19 00:00:00+00:00,-0.00786564
2000-04-20 00:00:00+00:00,0.00270572
2000-04-24 00:00:00+00:00,0.00646938
2000-04-25 00:00:00+00:00,-0.02030625
2000-04-26 00:00:00+00:00,0.00831842
2000-04-27 00:00:00+00:00,-0.01306644
2000-04-28 00:00:00+00:00,0.01614092
2000-05-01 00:00:00+00:00,0.01475568
2000-05-02 00:00:00+00:00,-0.01334410
2000-05-03 00:00:00+00:00,-0.00658474
2000-05-04 00:00:00+00:00,-0.01709614
2000-05-05 00:00:00+00:00,0.01289127
2000-05-08 00:00:00+00:00,0.00272295
2000-05-09 00:00:00+00:00,0.01514791
2000-05-10 00:00:00+00:00,0.00246629
2000-05-11 00:00:00+00:00,-0.01823724
2000-05-12 00:00:00+00:00,0.01967816
2000-05-15 00:00:00+00:00,0.00376685
2000-05-16 00:00:00+00:00,-0.01131404
2000-05-17 00:00:00+00:00,-0.00950628
2000-05-18 00:00:00+00:00,-0.00764306
2000-05-19 00:00:00+00:00,-0.01182975
2000-05-22 00:00:00+00:00,0.00872424
2000-05-23 00:00:00+00:00,-0.00285541
2000-05-24 00:00:00+00:00,0.01251165
2000-05-25 00:00:00+00:00,0.00312427
2000-05-26 00:00:00+00:00,0.01568849
2000-05-30 00:00:00+00:00,-0.00317458
2000-05-31 00:00:00+00:00,0.01519046
2000-06-01 00:00:00+00:00,0.00451771
2000-06-02 00:00:00+00:00,0.00785671
2000-06-05 00:00:00+00:00,0.00209889
2000-06-06 00:00:00+00:00,-0.02467738
2000-06-07 00:00:00+00:00,0.01076054
2000-06-08 00:00:00+00:00,0.00299933
2000-06-09 00:00:00+00:00,0.00683770
2000-06-13 00:00:00+00:00,-0.00320518
2000-06-14 00:00:00+00:00,-0.00193080
2000-06-15 00:00:00+00:00,-0.00795535
2000-06-16 00:00:00+00:00,0.00869674
2000-06-19 00:00:00+00:00,-0.01100372
2000-06-20 00:00:00+00:00,-0.00414403
2000-06-21 00:00:00+00:00,-0.01246802
2000-06-22 00:00:00+00:00,-0.01809427
2000-06-23 00:00:00+00:00,0.00077064
2000-06-26 00:00:00+00:00,0.01200773
2000-06-27 00:00:00+00:00,0.00452777
2000-06-28 00:00:00+00:00,-0.00086660
2000-06-30 00:00:00+00:00,0.01475465
2000-07-03 00:00:00+00:00,-0.00515772
2000-07-05 00:00:00+00:00,0.01631412
2000-07-06 00:00:00+00:00,0.00092467
2000-07-07 00:00:00+00:00,0.00013312
2000-07-10 00:00:00+00:00,0.00102048
2000-07-11 00:00:00+00:00,-0.00341788
2000-07-12 00:00:00+00:00,0.00121824
2000-07-13 00:00:00+00:00,-0.00658642
2000-07-14 00:00:00+00:00,-0.00175685
2000-07-17 00:00:00+00:00,0.00172557
2000-07-18 00:00:00+00:00,-0.00990476
2000-07-19 00:00:00+00:00,-0.00377931
2000-07-21 00:00:00+00:00,0.02017917
2000-07-24 00:00:00+00:00,-0.00598982
2000-07-25 00:00:00+00:00,0.01055557
2000-07-26 00:00:00+00:00,0.00405730
2000-07-27 00:00:00+00:00,-0.01043874
2000-07-28 00:00:00+00:00,-0.00599841
2000-07-31 00:00:00+00:00,0.00152253
2000-08-01 00:00:00+00:00,-0.01029168
2000-08-02 00:00:00+00:00,-0.00859051
2000-08-03 00:00:00+00:00,-0.01098706
2000-08-04 00:00:00+00:00,0.00177409
2000-08-07 00:00:00+00:00,0.00625893
2000-08-08 00:00:00+00:00,-0.01152216
2000-08-09 00:00:00+00:00,-0.01103706
2000-08-10 00:00:00+00:00,0.01952663
2000-08-11 00:00:00+00:00,-0.00596417
2000-08-14 00:00:00+00:00,0.00934004
2000-08-15 00:00:00+00:00,0.00530002
