Date,GBP
2000-07-18 00:00:00+00:00,0.00384404
2000-07-19 00:00:00+00:00,-0.00123391
2000-07-20 00:00:00+00:00,0.02118944
2000-07-21 00:00:00+00:00,0.00775865
2000-07-24 00:00:00+00:00,-0.00490171
2000-07-25 00:00:00+00:00,0.00194248
2000-07-26 00:00:00+00:00,-0.00253759
2000-07-27 00:00:00+00:00,-0.00254151
2000-07-28 00:00:00+00:00,-0.01125780
2000-07-31 00:00:00+00:00,-0.00760245
2000-08-01 00:00:00+00:00,-0.00363344
2000-08-02 00:00:00+00:00,-0.00724377
2000-08-03 00:00:00+00:00,0.00331439
2000-08-04 00:00:00+00:00,0.01026114
2000-08-07 00:00:00+00:00,0.01100484
2000-08-08 00:00:00+00:00,-0.00863450
2000-08-09 00:00:00+00:00,-0.00468509
2000-08-10 00:00:00+00:00,-0.00576042
2000-08-11 00:00:00+00:00,0.00757393
2000-08-14 00:00:00+00:00,0.00116079
2000-08-15 00:00:00+00:00,-0.00043527
2000-08-16 00:00:00+00:00,-0.00389109
2000-08-17 00:00:00+00:00,-0.00203360
2000-08-18 00:00:00+00:00,-0.01389884
2000-08-21 00:00:00+00:00,-0.00285338
2000-08-22 00:00:00+00:00,-0.00473873
2000-08-23 00:00:00+00:00,0.00333243
2000-08-24 00:00:00+00:00,-0.00662394
2000-08-25 00:00:00+00:00,-0.01487418
2000-08-28 00:00:00+00:00,-0.00098589
2000-08-29 00:00:00+00:00,-0.01947425
2000-08-30 00:00:00+00:00,0.00284934
2000-08-31 00:00:00+00:00,-0.01140932
2000-09-01 00:00:00+00:00,0.01361442
2000-09-05 00:00:00+00:00,-0.00947731
2000-09-06 00:00:00+00:00,-0.02079741
2000-09-07 00:00:00+00:00,-0.00113999
2000-09-08 00:00:00+00:00,-0.02449843
2000-09-11 00:00:00+00:00,-0.01733629
2000-09-12 00:00:00+00:00,-0.00271982
2000-09-13 00:00:00+00:00,0.00324706
2000-09-14 00:00:00+00:00,-0.00399726
2000-09-15 00:00:00+00:00,-0.00400488
2000-09-18 00:00:00+00:00,0.00925466
2000-09-19 00:00:00+00:00,0.00580036
2000-09-20 00:00:00+00:00,-0.00073269
2000-09-21 00:00:00+00:00,0.03752161
2000-09-22 00:00:00+00:00,0.03126178
2000-09-25 00:00:00+00:00,-0.01166694
2000-09-26 00:00:00+00:00,0.01635770
2000-09-27 00:00:00+00:00,0.00147167
2000-09-28 00:00:00+00:00,-0.00030508
2000-09-29 00:00:00+00:00,0.01566380
2000-10-02 00:00:00+00:00,-0.00883372
2000-10-03 00:00:00+00:00,-0.01567222
2000-10-04 00:00:00+00:00,0.00284701
2000-10-05 00:00:00+00:00,-0.01837034
2000-10-06 00:00:00+00:00,-0.00293039
2000-10-10 00:00:00+00:00,0.01158688
2000-10-11 00:00:00+00:00,0.01028155
2000-10-12 00:00:00+00:00,0.01323751
2000-10-13 00:00:00+00:00,-0.02530310
2000-10-16 00:00:00+00:00,-0.00677263
2000-10-17 00:00:00+00:00,0.00259090
2000-10-18 00:00:00+00:00,-0.00899273
2000-10-19 00:00:00+00:00,0.00287569
2000-10-20 00:00:00+00:00,0.00646597
2000-10-23 00:00:00+00:00,0.00368723
2000-10-24 00:00:00+00:00,-0.00402231
2000-10-25 00:00:00+00:00,-0.02056633
2000-10-26 00:00:00+00:00,-0.00156385
2000-10-27 00:00:00+00:00,0.02685563
2000-10-30 00:00:00+00:00,-0.00237126
2000-10-31 00:00:00+00:00,-0.00430020
2000-11-01 00:00:00+00:00,0.00010411
2000-11-02 00:00:00+00:00,-0.00430817
2000-11-03 00:00:00+00:00,0.00535416
2000-11-06 00:00:00+00:00,-0.02924471
2000-11-07 00:00:00+00:00,0.00737833
2000-11-08 00:00:00+00:00,-0.01661190
2000-11-09 00:00:00+00:00,0.01275066
2000-11-10 00:00:00+00:00,-0.00659205
2000-11-13 00:00:00+00:00,0.01635003
2000-11-14 00:00:00+00:00,-0.01378089
2000-11-15 00:00:00+00:00,-0.00436658
2000-11-16 00:00:00+00:00,-0.00437484
2000-11-17 00:00:00+00:00,-0.00101385
2000-11-20 00:00:00+00:00,-0.00003120
2000-11-21 00:00:00+00:00,-0.00803795
2000-11-22 00:00:00+00:00,-0.01004334
2000-11-24 00:00:00+00:00,-0.01519435
2000-11-27 00:00:00+00:00,0.02610389
2000-11-28 00:00:00+00:00,-0.00045106
2000-11-29 00:00:00+00:00,0.00716235
2000-11-30 00:00:00+00:00,0.00179879
2000-12-01 00:00:00+00:00,0.01807285
2000-12-04 00:00:00+00:00,0.02041216
2000-12-05 00:00:00+00:00,-0.02590020
2000-12-06 00:00:00+00:00,0.01070966
2000-12-07 00:00:00+00:00,0.00080574
2000-12-08 00:00:00+00:00,0.00316177
2000-12-11 00:00:00+00:00,0.01643793
2000-12-12 00:00:00+00:00,-0.01059227
2000-12-13 00:00:00+00:00,0.00562976
2000-12-14 00:00:00+00:00,0.02349228
2000-12-15 00:00:00+00:00,0.00377795
2000-12-18 00:00:00+00:00,-0.00286801
2000-12-19 00:00:00+00:00,-0.00829312
2000-12-20 00:00:00+00:00,0.01372488
2000-12-21 00:00:00+00:00,-0.00717754
2000-12-22 00:00:00+00:00,0.00609815
2000-12-26 00:00:00+00:00,0.00958102
2000-12-27 00:00:00+00:00,0.01303091
2000-12-28 00:00:00+00:00,-0.00283122
2000-12-29 00:00:00+00:00,0.00064407
2001-01-02 00:00:00+00:00,0.00693374
2001-01-03 00:00:00+00:00,-0.01054863
2001-01-04 00:00:00+00:00,0.01016562
2001-01-05 00:00:00+00:00,0.00212656
2001-01-08 00:00:00+00:00,-0.00705839
2001-01-09 00:00:00+00:00,-0.00922166
2001-01-10 00:00:00+00:00,-0.00148417
2001-01-11 00:00:00+00:00,0.00656849
2001-01-12 00:00:00+00:00,-0.02208314
2001-01-16 00:00:00+00:00,-0.01123547
2001-01-17 00:00:00+00:00,0.00475176
2001-01-18 00:00:00+00:00,-0.00150130
2001-01-19 00:00:00+00:00,-0.01236108
2001-01-22 00:00:00+00:00,0.00081461
2001-01-23 00:00:00+00:00,0.00641268
2001-01-24 00:00:00+00:00,-0.01484038
2001-01-25 00:00:00+00:00,0.00150268
2001-01-26 00:00:00+00:00,-0.00096442
2001-01-29 00:00:00+00:00,-0.00096087
2001-01-30 00:00:00+00:00,0.00479820
2001-01-31 00:00:00+00:00,-0.00013417
2001-02-01 00:00:00+00:00,0.02188332
2001-02-02 00:00:00+00:00,-0.01772115
2001-02-05 00:00:00+00:00,0.01296265
2001-02-06 00:00:00+00:00,-0.02291366
2001-02-07 00:00:00+00:00,-0.00452518
