Date,LUMBER-new
2023-02-22 00:00:00+00:00,-0.01180726
2023-02-23 00:00:00+00:00,-0.00013422
2023-02-24 00:00:00+00:00,0.03726732
2023-02-27 00:00:00+00:00,0.04294933
2023-02-28 00:00:00+00:00,0.08431013
2023-03-01 00:00:00+00:00,-0.04614314
2023-03-02 00:00:00+00:00,-0.05781807
2023-03-03 00:00:00+00:00,-0.02591170
2023-03-06 00:00:00+00:00,0.03174846
2023-03-07 00:00:00+00:00,-0.01939511
2023-03-08 00:00:00+00:00,-0.00117088
2023-03-09 00:00:00+00:00,-0.00020117
2023-03-10 00:00:00+00:00,-0.01458851
2023-03-13 00:00:00+00:00,0.03069186
2023-03-14 00:00:00+00:00,0.01203795
2023-03-15 00:00:00+00:00,-0.02966001
2023-03-16 00:00:00+00:00,0.08298479
2023-03-17 00:00:00+00:00,-0.00287163
2023-03-20 00:00:00+00:00,-0.04163177
2023-03-21 00:00:00+00:00,-0.00203395
2023-03-22 00:00:00+00:00,-0.00203470
2023-03-23 00:00:00+00:00,-0.06839451
2023-03-24 00:00:00+00:00,0.00458784
2023-03-27 00:00:00+00:00,-0.01725855
2023-03-28 00:00:00+00:00,-0.03843544
2023-03-29 00:00:00+00:00,-0.01878558
2023-03-30 00:00:00+00:00,0.02470468
2023-03-31 00:00:00+00:00,0.00666736
2023-04-03 00:00:00+00:00,-0.00313482
2023-04-04 00:00:00+00:00,0.00964483
2023-04-05 00:00:00+00:00,0.00766952
2023-04-06 00:00:00+00:00,-0.02958065
2023-04-10 00:00:00+00:00,0.01270869
2023-04-11 00:00:00+00:00,0.02944244
2023-04-12 00:00:00+00:00,0.01622387
2023-04-13 00:00:00+00:00,0.04306756
2023-04-14 00:00:00+00:00,0.00917731
2023-04-17 00:00:00+00:00,0.01101053
2023-04-18 00:00:00+00:00,-0.09111526
2023-04-19 00:00:00+00:00,-0.02644423
2023-04-20 00:00:00+00:00,0.00175517
2023-04-21 00:00:00+00:00,0.03012854
2023-04-24 00:00:00+00:00,-0.01086150
2023-04-25 00:00:00+00:00,0.00659850
2023-04-26 00:00:00+00:00,-0.02544758
2023-04-27 00:00:00+00:00,0.01457202
2023-04-28 00:00:00+00:00,-0.00410241
2023-05-01 00:00:00+00:00,0.01742747
2023-05-02 00:00:00+00:00,-0.01771692
2023-05-03 00:00:00+00:00,-0.05138916
2023-05-04 00:00:00+00:00,0.02295380
2023-05-05 00:00:00+00:00,-0.00518833
2023-05-08 00:00:00+00:00,0.04779205
2023-05-09 00:00:00+00:00,-0.01384063
2023-05-10 00:00:00+00:00,0.05464086
2023-05-11 00:00:00+00:00,-0.01925362
2023-05-12 00:00:00+00:00,-0.03001458
2023-05-15 00:00:00+00:00,-0.00804123
2023-05-16 00:00:00+00:00,-0.00610668
2023-05-17 00:00:00+00:00,-0.00904822
2023-05-18 00:00:00+00:00,-0.00219713
2023-05-19 00:00:00+00:00,-0.00914549
2023-05-22 00:00:00+00:00,0.00577344
2023-05-23 00:00:00+00:00,0.02568641
2023-05-24 00:00:00+00:00,0.00171241
2023-05-25 00:00:00+00:00,-0.02614782
2023-05-26 00:00:00+00:00,-0.00800710
2023-05-30 00:00:00+00:00,-0.02467137
2023-05-31 00:00:00+00:00,-0.00317397
2023-06-01 00:00:00+00:00,0.00777121
2023-06-02 00:00:00+00:00,-0.01401851
2023-06-05 00:00:00+00:00,-0.00319194
2023-06-06 00:00:00+00:00,0.03358705
2023-06-07 00:00:00+00:00,0.03896755
2023-06-08 00:00:00+00:00,0.02661167
2023-06-09 00:00:00+00:00,-0.02381543
2023-06-12 00:00:00+00:00,0.00745475
2023-06-13 00:00:00+00:00,0.04376886
2023-06-14 00:00:00+00:00,-0.02249204
2023-06-15 00:00:00+00:00,0.00542672
