Date,EUROSTX200-LARGE
2013-03-13 00:00:00+00:00,
2013-03-14 00:00:00+00:00,0.02327496
2013-03-15 00:00:00+00:00,-0.00725459
2013-03-18 00:00:00+00:00,-0.00042198
2013-03-19 00:00:00+00:00,-0.00729649
2013-03-20 00:00:00+00:00,0.00778939
2013-03-21 00:00:00+00:00,-0.01580171
2013-03-22 00:00:00+00:00,-0.00009490
2013-03-25 00:00:00+00:00,-0.00857731
2013-03-26 00:00:00+00:00,0.00056582
2013-03-27 00:00:00+00:00,-0.00736332
2013-03-28 00:00:00+00:00,0.00388381
2013-04-02 00:00:00+00:00,0.03034830
2013-04-03 00:00:00+00:00,-0.01769573
2013-04-04 00:00:00+00:00,-0.02245604
2013-04-05 00:00:00+00:00,-0.03002499
2013-04-08 00:00:00+00:00,0.00260605
2013-04-09 00:00:00+00:00,0.00125365
2013-04-10 00:00:00+00:00,0.03966244
2013-04-11 00:00:00+00:00,0.01113734
2013-04-12 00:00:00+00:00,-0.01913605
2013-04-15 00:00:00+00:00,-0.00904405
2013-04-16 00:00:00+00:00,-0.01275278
2013-04-17 00:00:00+00:00,-0.03294738
2013-04-18 00:00:00+00:00,-0.00009455
2013-04-19 00:00:00+00:00,0.00954188
2013-04-22 00:00:00+00:00,0.00533293
2013-04-23 00:00:00+00:00,0.05000708
2013-04-24 00:00:00+00:00,0.01707850
2013-04-25 00:00:00+00:00,0.01365791
2013-04-26 00:00:00+00:00,-0.00594814
2013-04-29 00:00:00+00:00,0.01294765
2013-04-30 00:00:00+00:00,-0.00268508
2013-05-02 00:00:00+00:00,0.01384838
2013-05-03 00:00:00+00:00,0.01697483
2013-05-06 00:00:00+00:00,0.00118294
2013-05-07 00:00:00+00:00,0.00437294
2013-05-08 00:00:00+00:00,0.01900793
2013-05-09 00:00:00+00:00,0.00116717
2013-05-10 00:00:00+00:00,0.00494842
2013-05-13 00:00:00+00:00,-0.00323899
2013-05-14 00:00:00+00:00,0.00935448
2013-05-15 00:00:00+00:00,0.01808769
2013-05-16 00:00:00+00:00,-0.00071523
2013-05-17 00:00:00+00:00,0.00549955
2013-05-20 00:00:00+00:00,0.00982206
2013-05-21 00:00:00+00:00,-0.00317783
2013-05-22 00:00:00+00:00,0.00917085
2013-05-23 00:00:00+00:00,-0.04005731
2013-05-24 00:00:00+00:00,-0.00385831
2013-05-27 00:00:00+00:00,0.01561919
2013-05-28 00:00:00+00:00,-0.00196525
2013-05-29 00:00:00+00:00,-0.02069359
2013-05-30 00:00:00+00:00,0.00558253
2013-05-31 00:00:00+00:00,-0.01455946
2013-06-03 00:00:00+00:00,-0.01846621
2013-06-04 00:00:00+00:00,0.01013584
2013-06-05 00:00:00+00:00,-0.03253715
2013-06-06 00:00:00+00:00,-0.02983899
2013-06-07 00:00:00+00:00,0.03075575
2013-06-10 00:00:00+00:00,-0.00203350
2013-06-11 00:00:00+00:00,-0.02144658
2013-06-12 00:00:00+00:00,-0.00761559
2013-06-13 00:00:00+00:00,-0.00066032
2013-06-14 00:00:00+00:00,0.00386091
2013-06-17 00:00:00+00:00,0.01339258
2013-06-18 00:00:00+00:00,-0.00238206
2013-06-19 00:00:00+00:00,-0.00794524
2013-06-20 00:00:00+00:00,-0.05853170
2013-06-21 00:00:00+00:00,-0.01971538
2013-06-24 00:00:00+00:00,-0.03733419
2013-06-25 00:00:00+00:00,0.02491392
2013-06-26 00:00:00+00:00,0.03421063
2013-06-27 00:00:00+00:00,0.01879247
2013-06-28 00:00:00+00:00,-0.00477157
2013-07-01 00:00:00+00:00,0.01872308
2013-07-02 00:00:00+00:00,-0.00808348
2013-07-03 00:00:00+00:00,-0.01212621
2013-07-04 00:00:00+00:00,0.05236048
2013-07-05 00:00:00+00:00,-0.02696176
2013-07-08 00:00:00+00:00,0.02913190
2013-07-09 00:00:00+00:00,0.01234443
2013-07-10 00:00:00+00:00,-0.00204598
2013-07-11 00:00:00+00:00,0.01488471
2013-07-12 00:00:00+00:00,-0.00461894
2013-07-15 00:00:00+00:00,0.00897617
2013-07-16 00:00:00+00:00,-0.01299735
2013-07-17 00:00:00+00:00,0.01094504
2013-07-18 00:00:00+00:00,0.01605081
2013-07-19 00:00:00+00:00,0.00182814
2013-07-22 00:00:00+00:00,0.00342601
2013-07-23 00:00:00+00:00,-0.00488305
2013-07-24 00:00:00+00:00,0.01014957
2013-07-25 00:00:00+00:00,-0.01028479
2013-07-26 00:00:00+00:00,-0.00809612
2013-07-29 00:00:00+00:00,0.00119150
2013-07-30 00:00:00+00:00,0.00375958
2013-07-31 00:00:00+00:00,-0.00265816
2013-08-01 00:00:00+00:00,0.03199830
2013-08-02 00:00:00+00:00,0.00180115
2013-08-05 00:00:00+00:00,0.00116796
2013-08-06 00:00:00+00:00,-0.00892443
2013-08-07 00:00:00+00:00,-0.00262832
2013-08-08 00:00:00+00:00,0.00371149
2013-08-09 00:00:00+00:00,0.01604987
2013-08-12 00:00:00+00:00,0.00084730
2013-08-13 00:00:00+00:00,0.00963552
2013-08-14 00:00:00+00:00,0.00833519
2013-08-15 00:00:00+00:00,-0.02248247
2013-08-16 00:00:00+00:00,0.00650951
2013-08-19 00:00:00+00:00,-0.01137982
2013-08-20 00:00:00+00:00,-0.01396585
2013-08-21 00:00:00+00:00,-0.01280478
2013-08-22 00:00:00+00:00,0.01588045
2013-08-23 00:00:00+00:00,0.01068270
2013-08-26 00:00:00+00:00,-0.00009413
2013-08-27 00:00:00+00:00,-0.02900491
2013-08-28 00:00:00+00:00,-0.01288989
2013-08-29 00:00:00+00:00,0.01471620
2013-08-30 00:00:00+00:00,-0.01926916
2013-09-02 00:00:00+00:00,0.03411074
2013-09-03 00:00:00+00:00,-0.00643888
2013-09-04 00:00:00+00:00,0.00499866
2013-09-05 00:00:00+00:00,0.01133487
2013-09-06 00:00:00+00:00,0.01127007
2013-09-09 00:00:00+00:00,-0.00072145
2013-09-10 00:00:00+00:00,0.02690801
2013-09-11 00:00:00+00:00,0.00207482
2013-09-12 00:00:00+00:00,-0.00287915
2013-09-13 00:00:00+00:00,0.00558610
2013-09-16 00:00:00+00:00,0.01321529
2013-09-17 00:00:00+00:00,-0.00808590
2013-09-18 00:00:00+00:00,0.00669684
2013-09-19 00:00:00+00:00,0.01282582
2013-09-20 00:00:00+00:00,-0.00437215
2013-09-23 00:00:00+00:00,-0.00438147
2013-09-24 00:00:00+00:00,0.00483241
2013-09-25 00:00:00+00:00,-0.00193632
2013-09-26 00:00:00+00:00,-0.00070796
2013-09-27 00:00:00+00:00,-0.00439861
2013-09-30 00:00:00+00:00,-0.01057108
2013-10-01 00:00:00+00:00,0.01043899
2013-10-02 00:00:00+00:00,-0.01180410
2013-10-03 00:00:00+00:00,-0.00753340
2013-10-04 00:00:00+00:00,-0.00911680
2013-10-07 00:00:00+00:00,0.00052946
2013-10-08 00:00:00+00:00,-0.01255949
2013-10-09 00:00:00+00:00,-0.01514601
2013-10-10 00:00:00+00:00,0.03276492
2013-10-11 00:00:00+00:00,0.01171735
2013-10-14 00:00:00+00:00,0.00299533
2013-10-15 00:00:00+00:00,0.01779905
2013-10-16 00:00:00+00:00,0.00296243
2013-10-17 00:00:00+00:00,0.00479116
2013-10-18 00:00:00+00:00,0.01330853
2013-10-21 00:00:00+00:00,0.00777274
2013-10-22 00:00:00+00:00,0.00894746
2013-10-23 00:00:00+00:00,-0.01269525
2013-10-24 00:00:00+00:00,0.01017171
2013-10-25 00:00:00+00:00,-0.00069477
2013-10-28 00:00:00+00:00,-0.00249804
2013-10-29 00:00:00+00:00,0.00772763
2013-10-30 00:00:00+00:00,-0.00189215
2013-10-31 00:00:00+00:00,0.00950402
2013-11-01 00:00:00+00:00,-0.00666129
2013-11-04 00:00:00+00:00,0.00739286
2013-11-05 00:00:00+00:00,-0.00427227
2013-11-06 00:00:00+00:00,0.00887688
2013-11-07 00:00:00+00:00,0.00109628
2013-11-08 00:00:00+00:00,-0.00426012
2013-11-11 00:00:00+00:00,0.00706095
2013-11-12 00:00:00+00:00,-0.01257283
2013-11-13 00:00:00+00:00,-0.00906372
2013-11-14 00:00:00+00:00,0.01732230
2013-11-15 00:00:00+00:00,0.00407272
2013-11-18 00:00:00+00:00,0.01059979
2013-11-19 00:00:00+00:00,-0.01309783
2013-11-20 00:00:00+00:00,0.00287917
