Date,HANG
2000-01-04 00:00:00+00:00,
2000-01-05 00:00:00+00:00,-0.15867694
2000-01-06 00:00:00+00:00,-0.08893624
2000-01-07 00:00:00+00:00,0.03593824
2000-01-10 00:00:00+00:00,0.08449911
2000-01-11 00:00:00+00:00,0.01244709
2000-01-12 00:00:00+00:00,-0.03644326
2000-01-13 00:00:00+00:00,-0.00779496
2000-01-14 00:00:00+00:00,-0.02701819
2000-01-17 00:00:00+00:00,0.01930846
2000-01-18 00:00:00+00:00,0.02393825
2000-01-19 00:00:00+00:00,-0.07151018
2000-01-20 00:00:00+00:00,0.01498285
2000-01-21 00:00:00+00:00,-0.04162465
2000-01-24 00:00:00+00:00,0.01452769
2000-01-25 00:00:00+00:00,-0.01001193
2000-01-26 00:00:00+00:00,0.04411699
2000-01-27 00:00:00+00:00,0.05802557
2000-01-28 00:00:00+00:00,0.04195869
2000-01-31 00:00:00+00:00,-0.07800071
2000-02-01 00:00:00+00:00,-0.00880866
2000-02-02 00:00:00+00:00,0.04386967
2000-02-03 00:00:00+00:00,0.00865240
2000-02-08 00:00:00+00:00,0.02739738
2000-02-09 00:00:00+00:00,0.09682000
2000-02-10 00:00:00+00:00,-0.02371777
2000-02-11 00:00:00+00:00,0.12524912
2000-02-14 00:00:00+00:00,-0.06958638
2000-02-15 00:00:00+00:00,-0.06374469
2000-02-16 00:00:00+00:00,0.05176545
2000-02-17 00:00:00+00:00,-0.01016147
2000-02-18 00:00:00+00:00,-0.05068529
2000-02-21 00:00:00+00:00,-0.02580464
2000-02-22 00:00:00+00:00,-0.00412957
2000-02-23 00:00:00+00:00,0.00443660
2000-02-24 00:00:00+00:00,0.04496556
2000-02-25 00:00:00+00:00,0.00159418
2000-02-28 00:00:00+00:00,-0.02869454
2000-02-29 00:00:00+00:00,0.01902854
2000-03-01 00:00:00+00:00,-0.03780261
2000-03-02 00:00:00+00:00,0.01543109
2000-03-03 00:00:00+00:00,0.04743343
2000-03-06 00:00:00+00:00,0.06637298
2000-03-07 00:00:00+00:00,0.00124731
2000-03-08 00:00:00+00:00,0.00827099
2000-03-09 00:00:00+00:00,-0.03821067
2000-03-10 00:00:00+00:00,0.02494066
2000-03-13 00:00:00+00:00,-0.07905493
2000-03-14 00:00:00+00:00,-0.03225098
2000-03-15 00:00:00+00:00,-0.00033783
2000-03-16 00:00:00+00:00,-0.06455994
2000-03-17 00:00:00+00:00,0.13292709
2000-03-20 00:00:00+00:00,-0.03020081
2000-03-21 00:00:00+00:00,-0.00162659
2000-03-22 00:00:00+00:00,0.04239911
2000-03-23 00:00:00+00:00,0.01794861
2000-03-24 00:00:00+00:00,0.00379312
2000-03-27 00:00:00+00:00,0.03639987
2000-03-28 00:00:00+00:00,-0.00178667
2000-03-29 00:00:00+00:00,-0.01320264
2000-03-30 00:00:00+00:00,-0.03016962
2000-03-31 00:00:00+00:00,-0.00895821
2000-04-03 00:00:00+00:00,-0.05170445
2000-04-05 00:00:00+00:00,-0.07540905
2000-04-06 00:00:00+00:00,0.01083595
2000-04-07 00:00:00+00:00,0.05968196
2000-04-10 00:00:00+00:00,-0.01992326
2000-04-11 00:00:00+00:00,-0.03591524
2000-04-12 00:00:00+00:00,0.02502364
2000-04-13 00:00:00+00:00,-0.04329746
2000-04-14 00:00:00+00:00,-0.02863304
2000-04-17 00:00:00+00:00,-0.16413301
2000-04-18 00:00:00+00:00,0.06919260
2000-04-19 00:00:00+00:00,0.01977668
2000-04-20 00:00:00+00:00,-0.01440146
2000-04-25 00:00:00+00:00,0.00636154
2000-04-26 00:00:00+00:00,-0.03642471
2000-04-27 00:00:00+00:00,-0.00840163
2000-04-28 00:00:00+00:00,0.05116629
2000-05-02 00:00:00+00:00,0.04438415
2000-05-03 00:00:00+00:00,-0.03995826
2000-05-04 00:00:00+00:00,-0.03689875
2000-05-05 00:00:00+00:00,0.00771222
2000-05-08 00:00:00+00:00,-0.06212482
2000-05-09 00:00:00+00:00,-0.00738553
2000-05-10 00:00:00+00:00,-0.04248207
2000-05-12 00:00:00+00:00,0.09215708
2000-05-15 00:00:00+00:00,-0.05535441
2000-05-16 00:00:00+00:00,0.04813110
2000-05-17 00:00:00+00:00,-0.02704786
2000-05-18 00:00:00+00:00,-0.08777849
2000-05-19 00:00:00+00:00,0.04153052
2000-05-22 00:00:00+00:00,-0.04602174
2000-05-23 00:00:00+00:00,0.01042249
2000-05-24 00:00:00+00:00,-0.02914017
2000-05-25 00:00:00+00:00,0.00027372
2000-05-26 00:00:00+00:00,-0.01676251
2000-05-29 00:00:00+00:00,0.02140738
2000-05-30 00:00:00+00:00,0.01558684
2000-05-31 00:00:00+00:00,0.04775197
2000-06-01 00:00:00+00:00,0.02404696
2000-06-02 00:00:00+00:00,0.03637337
2000-06-05 00:00:00+00:00,0.07466073
2000-06-07 00:00:00+00:00,0.00046823
2000-06-08 00:00:00+00:00,-0.00217233
2000-06-09 00:00:00+00:00,0.04426979
2000-06-12 00:00:00+00:00,-0.02731250
2000-06-13 00:00:00+00:00,-0.04014733
2000-06-14 00:00:00+00:00,0.04824949
2000-06-15 00:00:00+00:00,0.00643358
2000-06-16 00:00:00+00:00,0.04017642
2000-06-19 00:00:00+00:00,-0.02687446
2000-06-20 00:00:00+00:00,-0.02572566
2000-06-21 00:00:00+00:00,0.02822641
2000-06-22 00:00:00+00:00,-0.04147363
2000-06-23 00:00:00+00:00,-0.00906739
2000-06-26 00:00:00+00:00,0.02320017
2000-06-27 00:00:00+00:00,0.00621350
2000-06-28 00:00:00+00:00,0.00893955
2000-06-29 00:00:00+00:00,-0.00825864
2000-06-30 00:00:00+00:00,-0.00292189
2000-07-03 00:00:00+00:00,-0.01438386
2000-07-04 00:00:00+00:00,0.01552928
2000-07-05 00:00:00+00:00,0.03251433
2000-07-06 00:00:00+00:00,0.01073576
2000-07-07 00:00:00+00:00,0.02958611
2000-07-10 00:00:00+00:00,0.04908752
2000-07-11 00:00:00+00:00,0.00776952
2000-07-12 00:00:00+00:00,0.03496601
2000-07-13 00:00:00+00:00,-0.02488689
2000-07-14 00:00:00+00:00,0.01929315
2000-07-17 00:00:00+00:00,0.03229465
2000-07-18 00:00:00+00:00,-0.04721592
2000-07-19 00:00:00+00:00,0.03165042
2000-07-20 00:00:00+00:00,-0.00146462
2000-07-21 00:00:00+00:00,0.02941333
2000-07-24 00:00:00+00:00,-0.01267391
2000-07-25 00:00:00+00:00,-0.03287198
2000-07-26 00:00:00+00:00,0.02372112
