Date,LEAD_LME
2023-06-02 00:00:00+00:00,
2023-06-05 00:00:00+00:00,-0.00409977
2023-06-06 00:00:00+00:00,-0.00164074
2023-06-07 00:00:00+00:00,0.01836124
2023-06-08 00:00:00+00:00,-0.00700909
2023-06-09 00:00:00+00:00,0.01727387
2023-06-12 00:00:00+00:00,0.01662841
2023-06-13 00:00:00+00:00,0.00756227
2023-06-14 00:00:00+00:00,0.03528219
2023-06-15 00:00:00+00:00,0.01164697
2023-06-16 00:00:00+00:00,0.01028687
2023-06-19 00:00:00+00:00,-0.00727780
2023-06-20 00:00:00+00:00,0.01108860
2023-06-21 00:00:00+00:00,0.02627684
2023-06-22 00:00:00+00:00,-0.00820449
2023-06-23 00:00:00+00:00,-0.03917938
2023-06-26 00:00:00+00:00,-0.05058890
2023-06-27 00:00:00+00:00,0.02691309
2023-06-28 00:00:00+00:00,-0.02483486
2023-06-29 00:00:00+00:00,-0.02031934
2023-06-30 00:00:00+00:00,0.04984055
2023-07-03 00:00:00+00:00,-0.00337128
2023-07-04 00:00:00+00:00,0.00009111
2023-07-05 00:00:00+00:00,-0.02616846
2023-07-06 00:00:00+00:00,-0.01515304
2023-07-07 00:00:00+00:00,0.00142255
2023-07-10 00:00:00+00:00,0.00945748
2023-07-11 00:00:00+00:00,-0.01034014
2023-07-12 00:00:00+00:00,0.03247754
2023-07-13 00:00:00+00:00,0.03962275
2023-07-14 00:00:00+00:00,-0.00415664
2023-07-17 00:00:00+00:00,-0.02206175
2023-07-18 00:00:00+00:00,-0.00337516
2023-07-19 00:00:00+00:00,-0.00195024
2023-07-20 00:00:00+00:00,0.01678726
2023-07-21 00:00:00+00:00,0.03160648
2023-07-24 00:00:00+00:00,0.03342021
2023-07-25 00:00:00+00:00,0.00339451
2023-07-26 00:00:00+00:00,-0.02571495
2023-07-27 00:00:00+00:00,0.00680176
2023-07-28 00:00:00+00:00,-0.00074007
2023-07-31 00:00:00+00:00,-0.00466194
2023-08-01 00:00:00+00:00,-0.00108042
2023-08-02 00:00:00+00:00,-0.00503555
2023-08-03 00:00:00+00:00,0.00890547
2023-08-04 00:00:00+00:00,-0.02354704
2023-08-07 00:00:00+00:00,0.00453498
2023-08-08 00:00:00+00:00,-0.01300820
2023-08-09 00:00:00+00:00,-0.00086838
2023-08-10 00:00:00+00:00,0.01041596
2023-08-11 00:00:00+00:00,-0.02261831
2023-08-14 00:00:00+00:00,-0.01297682
2023-08-15 00:00:00+00:00,0.02537419
2023-08-16 00:00:00+00:00,-0.00086992
2023-08-17 00:00:00+00:00,0.02034897
2023-08-18 00:00:00+00:00,0.00777394
